year,crop_type,production_thousand_tonnes
1984,Vegetables,34.2
1985,Vegetables,41.3
1986,Vegetables,46.4
1987,Vegetables,48.0
1988,Vegetables,56.3
1989,Vegetables,59.5
1990,Vegetables,41.7
1991,Vegetables,23.3
1992,Vegetables,16.4
1941,Wheat,
1943,Wheat,15.6
1952,Wheat,9.6
1953,Wheat,11.8
1955,Wheat,14.1
1956,Wheat,20.2
1957,Wheat,19.4
1958,Wheat,37.5
1959,Wheat,104.4
1960,Wheat,195.4
1961,Wheat,98.4
1962,Wheat,288.4
1963,Wheat,289.3
1964,Wheat,335.2
1965,Wheat,291.2
1966,Wheat,252.9
1967,Wheat,310.9
1970,Wheat,250.2
1971,Wheat,316.4
1972,Wheat,169.7
1973,Wheat,339.6
1974,Wheat,250.2
1975,Wheat,365.7
1976,Wheat,280.3
1977,Wheat,318.0
1978,Wheat,279.3
1979,Wheat,239.6
1980,Wheat,206.9
1981,Wheat,275.1
1982,Wheat,410.6
1983,Wheat,647.6
1984,Wheat,458.7
1985,Wheat,692.3
1986,Wheat,663.7
1987,Wheat,543.3
1988,Wheat,672.2
1989,Wheat,686.9
1990,Wheat,596.2
1991,Wheat,538.3
1992,Wheat,453.2
