Indicator,Region,Year,value
Marriage,Total,2025,12582
Marriage,Total,2024,14225
Marriage,Total,2023,17408
Marriage,Total,2022,17574
Marriage,Total,2021,16118
Marriage,Total,2020,14252
Marriage,Total,2019,20043
Marriage,Total,2018,21020
Marriage,Total,2017,20470
Marriage,Total,2016,16778
Marriage,Total,2015,17586
Marriage,Total,2014,17332
Marriage,Total,2013,15785
Marriage,Total,2011,11869
Marriage,Total,2010,9349
Marriage,Total,2009,34071
Marriage,Total,2008,32982
Marriage,Total,2007,40965
Marriage,Total,2006,48996
Marriage,Western region,2025,1633
Marriage,Western region,2024,1793
Marriage,Western region,2023,2037
Marriage,Western region,2022,2052
Marriage,Western region,2021,2838
Marriage,Western region,2020,2683
Marriage,Western region,2019,2685
Marriage,Western region,2018,2694
Marriage,Western region,2017,3004
Marriage,Western region,2016,2437
Marriage,Western region,2015,2917
Marriage,Western region,2014,2933
Marriage,Western region,2013,3047
Marriage,Western region,2011,1953
Marriage,Western region,2010,1424
Marriage,Western region,2009,3685
Marriage,Western region,2008,3648
Marriage,Western region,2007,5416
Marriage,Western region,2006,6871
Marriage,Bayan-Ulgii,2025,559
Marriage,Bayan-Ulgii,2024,617
Marriage,Bayan-Ulgii,2023,597
Marriage,Bayan-Ulgii,2022,685
Marriage,Bayan-Ulgii,2021,870
Marriage,Bayan-Ulgii,2020,874
Marriage,Bayan-Ulgii,2019,772
Marriage,Bayan-Ulgii,2018,836
Marriage,Bayan-Ulgii,2017,993
Marriage,Bayan-Ulgii,2016,800
Marriage,Bayan-Ulgii,2015,992
Marriage,Bayan-Ulgii,2014,968
Marriage,Bayan-Ulgii,2013,974
Marriage,Bayan-Ulgii,2011,592
Marriage,Bayan-Ulgii,2010,428
Marriage,Bayan-Ulgii,2009,893
Marriage,Bayan-Ulgii,2008,805
Marriage,Bayan-Ulgii,2007,1343
Marriage,Bayan-Ulgii,2006,1725
Marriage,Ulgii,2025,207
Marriage,Ulgii,2024,280
Marriage,Ulgii,2023,300
Marriage,Ulgii,2022,305
Marriage,Ulgii,2021,417
Marriage,Ulgii,2020,344
Marriage,Ulgii,2019,366
Marriage,Ulgii,2018,354
Marriage,Ulgii,2017,358
Marriage,Ulgii,2016,291
Marriage,Ulgii,2015,360
Marriage,Ulgii,2014,344
Marriage,Ulgii,2013,362
Marriage,Ulgii,2011,236
Marriage,Ulgii,2010,154
Marriage,Ulgii,2009,379
Marriage,Ulgii,2008,295
Marriage,Ulgii,2007,399
Marriage,Ulgii,2006,546
Marriage,Altai,2025,19
Marriage,Altai,2024,12
Marriage,Altai,2023,9
Marriage,Altai,2022,21
Marriage,Altai,2021,34
Marriage,Altai,2020,28
Marriage,Altai,2019,26
Marriage,Altai,2018,22
Marriage,Altai,2017,33
Marriage,Altai,2016,34
Marriage,Altai,2015,35
Marriage,Altai,2014,40
Marriage,Altai,2013,55
Marriage,Altai,2011,22
Marriage,Altai,2010,17
Marriage,Altai,2009,36
Marriage,Altai,2008,33
Marriage,Altai,2007,43
Marriage,Altai,2006,57
Marriage,Altantsugts,2025,32
Marriage,Altantsugts,2024,24
Marriage,Altantsugts,2023,34
Marriage,Altantsugts,2022,16
Marriage,Altantsugts,2021,22
Marriage,Altantsugts,2020,25
Marriage,Altantsugts,2019,20
Marriage,Altantsugts,2018,13
Marriage,Altantsugts,2017,28
Marriage,Altantsugts,2016,22
Marriage,Altantsugts,2015,33
Marriage,Altantsugts,2014,37
Marriage,Altantsugts,2013,20
Marriage,Altantsugts,2011,7
Marriage,Altantsugts,2010,6
Marriage,Altantsugts,2009,31
Marriage,Altantsugts,2008,21
Marriage,Altantsugts,2007,93
Marriage,Altantsugts,2006,37
Marriage,Bayannuur,2025,16
Marriage,Bayannuur,2024,9
Marriage,Bayannuur,2023,15
Marriage,Bayannuur,2022,31
Marriage,Bayannuur,2021,39
Marriage,Bayannuur,2020,24
Marriage,Bayannuur,2019,28
Marriage,Bayannuur,2018,20
Marriage,Bayannuur,2017,40
Marriage,Bayannuur,2016,34
Marriage,Bayannuur,2015,43
Marriage,Bayannuur,2014,45
Marriage,Bayannuur,2013,37
Marriage,Bayannuur,2011,31
Marriage,Bayannuur,2010,41
Marriage,Bayannuur,2009,36
Marriage,Bayannuur,2008,45
Marriage,Bayannuur,2007,64
Marriage,Bayannuur,2006,100
Marriage,Bugat,2025,42
Marriage,Bugat,2024,44
Marriage,Bugat,2023,22
Marriage,Bugat,2022,39
Marriage,Bugat,2021,34
Marriage,Bugat,2020,29
Marriage,Bugat,2019,30
Marriage,Bugat,2018,31
Marriage,Bugat,2017,47
Marriage,Bugat,2016,37
Marriage,Bugat,2015,45
Marriage,Bugat,2014,42
Marriage,Bugat,2013,29
Marriage,Bugat,2011,18
Marriage,Bugat,2010,25
Marriage,Bugat,2009,23
Marriage,Bugat,2008,22
Marriage,Bugat,2007,38
Marriage,Bugat,2006,66
Marriage,Bulgan,2025,11
Marriage,Bulgan,2024,13
Marriage,Bulgan,2023,20
Marriage,Bulgan,2022,27
Marriage,Bulgan,2021,31
Marriage,Bulgan,2020,46
Marriage,Bulgan,2019,32
Marriage,Bulgan,2018,41
Marriage,Bulgan,2017,67
Marriage,Bulgan,2016,31
Marriage,Bulgan,2015,50
Marriage,Bulgan,2014,38
Marriage,Bulgan,2013,33
Marriage,Bulgan,2011,26
Marriage,Bulgan,2010,27
Marriage,Bulgan,2009,59
Marriage,Bulgan,2008,34
Marriage,Bulgan,2007,53
Marriage,Bulgan,2006,103
Marriage,Buyant,2025,13
Marriage,Buyant,2024,16
Marriage,Buyant,2023,12
