indicator,year,pupils
High,2010,73727
Of which: Female,2010,257302
Primary,2010,265639
Private,2010,27335
Public,2010,484878
Secondary,2010,172847
Total,2010,512213
High,2011,79550
Of which: Female,2011,253456
Primary,2011,256584
Private,2011,28336
Public,2011,477073
Secondary,2011,169275
Total,2011,505409
High,2012,95418
Of which: Female,2012,248974
Primary,2012,245387
Private,2012,28205
Public,2012,467918
Secondary,2012,155318
Total,2012,496123
High,2013,93100
Of which: Female,2013,248960
Primary,2013,239289
Private,2013,28652
Public,2013,468370
Secondary,2013,164633
Total,2013,497022
High,2014,95978
Of which: Female,2014,253505
Primary,2014,251204
Private,2014,29140
Public,2014,476676
Secondary,2014,158634
Total,2014,505816
High,2015,116337
Of which: Female,2015,269384
Primary,2015,271687
Private,2015,30985
Public,2015,504070
Secondary,2015,147031
Total,2015,535055
High,2016,96244
Of which: Female,2016,277047
Primary,2016,288345
Private,2016,31752
Public,2016,520201
Secondary,2016,167364
Total,2016,551953
High,2017,87187
Of which: Female,2017,286014
Primary,2017,309355
Private,2017,35012
Public,2017,537740
Secondary,2017,176210
Total,2017,572752
High,2018,82114
Of which: Female,2018,295558
Primary,2018,327019
Private,2018,39588
Public,2018,553562
Secondary,2018,184017
Total,2018,593150
High,2019,97009
Of which: Female,2019,319912
Primary,2019,342634
Private,2019,47011
Public,2019,593438
Secondary,2019,200806
Total,2019,640449
High,2020,101780
Of which: Female,2020,339681
Primary,2020,356904
Private,2020,48338
Public,2020,632499
Secondary,2020,222153
Total,2020,680837
High,2021,102525
Of which: Female,2021,355170
Primary,2021,371480
Private,2021,53719
Public,2021,658634
Secondary,2021,238348
Total,2021,712353
High,2022,113056
Of which: Female,2022,371533
Primary,2022,382002
Private,2022,62697
Public,2022,683708
Secondary,2022,251347
Total,2022,746405
High,2023,127975
Of which: Female,2023,383583
Primary,2023,381481
Private,2023,70657
Public,2023,701065
Secondary,2023,262266
Total,2023,771722
High,2024,144315
Of which: Female,2024,396663
Primary,2024,379647
Private,2024,76147
Public,2024,721758
Secondary,2024,273943
Total,2024,797905
High,2025,150871
Of which: Female,2025,407097
Primary,2025,378408
Private,2025,80525
Public,2025,739382
Secondary,2025,290628
Total,2025,819907
