unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
19,Багахангай,0,162,0,0,0,1,0,0,2,3,0,3,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,19,249,0,20,0,0,0,2,40,140,7,55,14,0,614,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,1,0,0,50682
13,Баянзүрх,10,66629,397,27,43,13,241,20,80,52,163,68,29,5,54,45,28,74,40,16,54,13,32,768,2,5,1,33,49,8,29,25,119,16,0,2,25,232,1015,25,243,1260,13,700,28,1242,5258,100,744,473,3,1421,24,0,3,12,9,1,3,1,1,10,0,0,0,2,0,0,0,103,97,5931347
14,Сүхбаатар,12,41456,58,7,21,9,160,30,100,42,50,60,40,5,30,27,58,66,44,14,47,30,32,15,2,1,0,7,34,18,48,12,86,22,0,0,23,387,294,19,198,520,5,249,20,696,1512,63,575,268,0,702,36,0,0,2,2,1,1,0,0,3,0,0,0,0,0,0,0,18,0,3357203
12,Багануур,0,594,0,0,1,1,5,0,11,9,0,7,0,3,3,9,9,0,0,5,0,0,0,0,0,0,0,4,6,2,0,0,0,2,0,1,3,0,0,0,0,0,0,0,3,216,429,17,66,40,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,104,7,0,0,234347
16,Баянгол,2,28908,0,13,30,7,227,5,14,40,79,59,17,1,29,20,27,71,45,0,90,16,22,345,1,0,0,23,33,6,25,18,52,5,1,0,4,1558,882,38,48,336,6,321,25,713,1475,77,430,325,1,517,21,0,0,4,4,1,0,0,0,2,0,0,0,1,0,0,0,23,12,4053421
17,Хан-Уул,5,37015,51,6,24,5,103,13,45,36,83,42,13,2,46,40,25,37,27,15,9,5,19,90,1,2,1,11,42,40,31,8,80,15,0,2,10,507,597,36,423,723,9,875,21,956,10237,126,1201,793,7,1717,31,3,1,8,7,2,0,0,1,7,0,0,0,1,1,75,3,161,9,6207049
18,Сонгинохайрхан,0,91448,160,34,53,5,178,3,19,66,71,43,5,5,26,20,13,37,23,15,13,0,21,339,1,4,2,10,12,3,18,14,167,14,0,5,14,355,1348,13,900,2004,12,955,42,884,2912,102,554,475,13,1041,41,0,2,10,7,4,3,0,1,7,1,1,475,2,0,2,0,20,72,6007952
11,Налайх,0,1297,139,0,4,2,10,0,7,11,4,10,1,4,0,11,9,0,0,46,0,0,0,0,1,0,0,0,9,1,10,0,3,2,0,1,1,40,418,0,473,0,0,0,7,113,2521,28,97,98,5,529,1,0,3,3,2,0,1,1,0,0,0,0,0,5,2,81,2,0,157,422140
15,Чингэлтэй,10,57562,22,20,16,3,92,11,40,37,27,31,7,3,24,14,83,43,49,3,28,11,18,24,1,1,0,7,20,7,24,11,100,15,0,0,9,72,387,12,51,547,4,217,19,494,632,49,245,173,1,280,14,0,0,2,3,2,0,0,0,7,0,0,0,1,0,0,0,2,25,2813070
_unmatched,Outside all boundaries,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,116,0,6,0,0,0,0,8,58,3,5,4,0,69,0,0,1,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
