unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
13300,Улаанхуаран-1,1,161,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,3,0,1,0,12,9,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24024
13301,Улаанхуаран-2,0,1107,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,1,0,0,0,1,1,9,0,0,19,0,7,0,24,135,2,9,9,0,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,120678
13270,Амгалан-2,1,1924,0,0,4,0,6,2,2,2,1,0,0,0,2,3,0,3,0,0,0,0,2,22,0,0,0,0,0,1,0,0,5,0,0,0,3,9,22,0,8,19,0,19,2,32,95,0,20,11,0,42,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,163522
13280,Шар хад-1,0,6827,0,0,1,1,7,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0,1,0,1,0,3,1,0,0,0,3,71,0,3,52,1,34,0,59,106,13,32,28,0,40,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,339015
13380,12-р хороолол-1,0,262,0,2,3,0,8,1,2,2,9,5,0,0,2,2,2,2,0,0,1,1,4,11,0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,4,0,7,0,8,1,33,31,0,24,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,84275
13381,12-р хороолол-2,0,430,0,0,0,2,14,0,5,2,4,4,4,0,3,2,4,10,4,0,9,3,4,17,1,0,0,3,3,0,2,1,3,0,0,0,0,0,0,1,0,21,1,3,1,75,101,1,24,9,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,140515
13321,16-р хороолол-2,0,640,0,0,1,1,9,0,0,4,4,0,0,0,2,1,0,2,3,0,4,0,0,15,0,0,0,1,0,0,1,0,1,0,0,0,0,1,7,1,1,9,0,2,0,12,70,1,9,3,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,99970
13320,16-р хороолол-1,0,300,0,0,0,0,7,0,0,1,4,3,0,0,2,1,0,1,0,0,1,0,0,17,0,0,0,1,3,0,0,0,2,0,0,0,0,3,7,0,0,4,0,8,1,21,31,0,21,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58794
13120,Баян дөхөм,0,513,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,5,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48397
13218,Улиастай гол,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
