он,утга
1997,56218
1998,66492
1999,67426
2000,108011
2001,111119
2002,156159
2003,178866
2004,185989
2005,172421
2006,200179
2007,263681
2008,363594
2009,402525
2010,448027
2011,573541
2012,819996
2013,959247
2014,1080145
2015,1047255
2016,944153
2017,1035506
2018,1181067
2019,1343428
2020,1508837
2021,1621454
2022,1860584
2023,2162342
2024,2572619
2025,3046637
