year,region_code,region_en,region_mn,animal_code,animal_en,animal_mn,losses_thousand,starting_herd_thousand,loss_rate_percent,loss_status,herd_status
2010,267,Khuvsgul,Хөвсгөл,3,Camel,Тэмээ,0.1,2.4,4.166667,,
2010,267,Khuvsgul,Хөвсгөл,4,Sheep,Хонь,327.7,1732.7,18.91268,,
2010,267,Khuvsgul,Хөвсгөл,5,Goat,Ямаа,304.3,1674.8,18.169334,,
2010,341,Tuv,Төв,0,Total,Бүгд,560.9,3464.2,16.191328,,
2010,341,Tuv,Төв,1,Horse,Адуу,30.9,233.1,13.256113,,
2010,341,Tuv,Төв,2,Cattle,Үхэр,27.1,194.2,13.954686,,
2010,341,Tuv,Төв,3,Camel,Тэмээ,0.2,2.6,7.692308,,
2010,341,Tuv,Төв,4,Sheep,Хонь,268.3,1714.5,15.648877,,
2010,341,Tuv,Төв,5,Goat,Ямаа,234.5,1319.9,17.766497,,
2010,342,Govisumber,Говьсүмбэр,0,Total,Бүгд,15.3,168.7,9.069354,,
2010,342,Govisumber,Говьсүмбэр,1,Horse,Адуу,0.3,7,4.285714,,
2010,342,Govisumber,Говьсүмбэр,2,Cattle,Үхэр,0.2,3.4,5.882353,,
2010,342,Govisumber,Говьсүмбэр,3,Camel,Тэмээ,,0.5,,..,
2010,342,Govisumber,Говьсүмбэр,4,Sheep,Хонь,6,69.7,8.608321,,
2010,342,Govisumber,Говьсүмбэр,5,Goat,Ямаа,8.9,88.2,10.090703,,
2010,343,Selenge,Сэлэнгэ,0,Total,Бүгд,102.7,1510.5,6.799073,,
2010,343,Selenge,Сэлэнгэ,1,Horse,Адуу,1.5,57.6,2.604167,,
2010,343,Selenge,Сэлэнгэ,2,Cattle,Үхэр,10.6,153.2,6.91906,,
2010,343,Selenge,Сэлэнгэ,3,Camel,Тэмээ,,0.7,,..,
2010,343,Selenge,Сэлэнгэ,4,Sheep,Хонь,42.7,732.1,5.832537,,
2010,343,Selenge,Сэлэнгэ,5,Goat,Ямаа,48,609.8,7.871433,,
2010,344,Dornogovi,Дорноговь,0,Total,Бүгд,51.3,1076.9,4.763674,,
2010,344,Dornogovi,Дорноговь,1,Horse,Адуу,0.9,72.8,1.236264,,
2010,344,Dornogovi,Дорноговь,2,Cattle,Үхэр,1.8,40,4.5,,
2010,344,Dornogovi,Дорноговь,3,Camel,Тэмээ,0.3,26.1,1.149425,,
2010,344,Dornogovi,Дорноговь,4,Sheep,Хонь,10.7,408.7,2.618057,,
2010,344,Dornogovi,Дорноговь,5,Goat,Ямаа,37.6,529.4,7.10238,,
2010,345,Darkhan-Uul,Дархан-Уул,0,Total,Бүгд,46.1,361.5,12.75242,,
2010,345,Darkhan-Uul,Дархан-Уул,1,Horse,Адуу,0.4,11.1,3.603604,,
2010,345,Darkhan-Uul,Дархан-Уул,2,Cattle,Үхэр,4.2,37.6,11.170213,,
