Region,Year,value
Total,2025,16093.0
Total,2024,15973.0
Total,2023,14978.0
Total,2022,13983.0
Total,2021,12970.0
Total,2020,12431.0
Total,2019,11788.0
Total,2018,11169.0
Total,2017,10576.0
Total,2016,10000.0
Total,2015,9563.0
Total,2014,9300.0
Total,2013,8911.0
Total,2012,8597.0
Total,2011,7943.0
Total,2010,7497.0
Total,2009,7140.0
Total,2008,7584.0
Total,2007,7336.0
Total,2006,7079.0
Total,2005,6788.0
Total,2004,6590.0
Total,2003,6637.0
Total,2002,6823.0
Total,2001,6639.0
Total,2000,6498.0
Total,1999,6162.0
Total,1998,5831.0
Total,1997,5918.0
Total,1996,5987.0
Total,1995,5500.0
Total,1994,5674.0
Total,1993,5122.0
Total,1992,5381.0
Total,1991,5851.0
Total,1990,5875.0
Total,1989,5464.0
    Western region,2025,1347.0
    Western region,2024,1317.0
    Western region,2023,1284.0
    Western region,2022,1203.0
    Western region,2021,1143.0
    Western region,2020,1126.0
    Western region,2019,1065.0
    Western region,2018,1004.0
    Western region,2017,971.0
    Western region,2016,923.0
    Western region,2015,862.0
    Western region,2014,791.0
    Western region,2013,761.0
    Western region,2012,742.0
    Western region,2011,680.0
    Western region,2010,658.0
    Western region,2009,604.0
    Western region,2008,642.0
    Western region,2007,629.0
    Western region,2006,607.0
    Western region,2005,606.0
    Western region,2004,608.0
    Western region,2003,647.0
    Western region,2002,640.0
    Western region,2001,650.0
    Western region,2000,651.0
    Western region,1999,660.0
    Western region,1998,633.0
    Western region,1997,659.0
    Western region,1996,659.0
    Western region,1995,644.0
    Western region,1994,632.0
    Western region,1993,663.0
    Western region,1992,668.0
    Western region,1991,691.0
    Western region,1990,680.0
    Western region,1989,649.0
            Bayan-Ulgii,2025,321.0
            Bayan-Ulgii,2024,332.0
            Bayan-Ulgii,2023,313.0
            Bayan-Ulgii,2022,287.0
            Bayan-Ulgii,2021,267.0
            Bayan-Ulgii,2020,255.0
            Bayan-Ulgii,2019,238.0
            Bayan-Ulgii,2018,213.0
            Bayan-Ulgii,2017,203.0
            Bayan-Ulgii,2016,186.0
            Bayan-Ulgii,2015,166.0
            Bayan-Ulgii,2014,156.0
            Bayan-Ulgii,2013,149.0
            Bayan-Ulgii,2012,145.0
            Bayan-Ulgii,2011,145.0
            Bayan-Ulgii,2010,144.0
            Bayan-Ulgii,2009,132.0
            Bayan-Ulgii,2008,141.0
            Bayan-Ulgii,2007,142.0
            Bayan-Ulgii,2006,141.0
            Bayan-Ulgii,2005,141.0
            Bayan-Ulgii,2004,141.0
            Bayan-Ulgii,2003,153.0
            Bayan-Ulgii,2002,147.0
            Bayan-Ulgii,2001,140.0
            Bayan-Ulgii,2000,132.0
            Bayan-Ulgii,1999,138.0
            Bayan-Ulgii,1998,122.0
            Bayan-Ulgii,1997,126.0
            Bayan-Ulgii,1996,123.0
            Bayan-Ulgii,1995,121.0
            Bayan-Ulgii,1994,114.0
            Bayan-Ulgii,1993,122.0
            Bayan-Ulgii,1992,127.0
            Bayan-Ulgii,1991,149.0
            Bayan-Ulgii,1990,146.0
            Bayan-Ulgii,1989,133.0
            Govi-Altai,2025,209.0
            Govi-Altai,2024,216.0
            Govi-Altai,2023,215.0
            Govi-Altai,2022,211.0
            Govi-Altai,2021,206.0
            Govi-Altai,2020,205.0
            Govi-Altai,2019,185.0
            Govi-Altai,2018,193.0
            Govi-Altai,2017,187.0
            Govi-Altai,2016,177.0
            Govi-Altai,2015,172.0
            Govi-Altai,2014,161.0
            Govi-Altai,2013,157.0
            Govi-Altai,2012,149.0
            Govi-Altai,2011,138.0
            Govi-Altai,2010,124.0
            Govi-Altai,2009,115.0
            Govi-Altai,2008,113.0
            Govi-Altai,2007,109.0
            Govi-Altai,2006,106.0
            Govi-Altai,2005,112.0
            Govi-Altai,2004,116.0
            Govi-Altai,2003,119.0
            Govi-Altai,2002,120.0
            Govi-Altai,2001,115.0
