Бүс,Он,value
Улсын дүн,2025,16093.0
Улсын дүн,2024,15973.0
Улсын дүн,2023,14978.0
Улсын дүн,2022,13983.0
Улсын дүн,2021,12970.0
Улсын дүн,2020,12431.0
Улсын дүн,2019,11788.0
Улсын дүн,2018,11169.0
Улсын дүн,2017,10576.0
Улсын дүн,2016,10000.0
Улсын дүн,2015,9563.0
Улсын дүн,2014,9300.0
Улсын дүн,2013,8911.0
Улсын дүн,2012,8597.0
Улсын дүн,2011,7943.0
Улсын дүн,2010,7497.0
Улсын дүн,2009,7140.0
Улсын дүн,2008,7584.0
Улсын дүн,2007,7336.0
Улсын дүн,2006,7079.0
Улсын дүн,2005,6788.0
Улсын дүн,2004,6590.0
Улсын дүн,2003,6637.0
Улсын дүн,2002,6823.0
Улсын дүн,2001,6639.0
Улсын дүн,2000,6498.0
Улсын дүн,1999,6162.0
Улсын дүн,1998,5831.0
Улсын дүн,1997,5918.0
Улсын дүн,1996,5987.0
Улсын дүн,1995,5500.0
Улсын дүн,1994,5674.0
Улсын дүн,1993,5122.0
Улсын дүн,1992,5381.0
Улсын дүн,1991,5851.0
Улсын дүн,1990,5875.0
Улсын дүн,1989,5464.0
    Баруун бүс,2025,1347.0
    Баруун бүс,2024,1317.0
    Баруун бүс,2023,1284.0
    Баруун бүс,2022,1203.0
    Баруун бүс,2021,1143.0
    Баруун бүс,2020,1126.0
    Баруун бүс,2019,1065.0
    Баруун бүс,2018,1004.0
    Баруун бүс,2017,971.0
    Баруун бүс,2016,923.0
    Баруун бүс,2015,862.0
    Баруун бүс,2014,791.0
    Баруун бүс,2013,761.0
    Баруун бүс,2012,742.0
    Баруун бүс,2011,680.0
    Баруун бүс,2010,658.0
    Баруун бүс,2009,604.0
    Баруун бүс,2008,642.0
    Баруун бүс,2007,629.0
    Баруун бүс,2006,607.0
    Баруун бүс,2005,606.0
    Баруун бүс,2004,608.0
    Баруун бүс,2003,647.0
    Баруун бүс,2002,640.0
    Баруун бүс,2001,650.0
    Баруун бүс,2000,651.0
    Баруун бүс,1999,660.0
    Баруун бүс,1998,633.0
    Баруун бүс,1997,659.0
    Баруун бүс,1996,659.0
    Баруун бүс,1995,644.0
    Баруун бүс,1994,632.0
    Баруун бүс,1993,663.0
    Баруун бүс,1992,668.0
    Баруун бүс,1991,691.0
    Баруун бүс,1990,680.0
    Баруун бүс,1989,649.0
            Баян-Өлгий,2025,321.0
            Баян-Өлгий,2024,332.0
            Баян-Өлгий,2023,313.0
            Баян-Өлгий,2022,287.0
            Баян-Өлгий,2021,267.0
