year,vehicles
1940,1298
1941,1358
1942,1357
1943,1357
1944,1097
1945,1130
1946,1398
1947,1341
1948,1497
1949,1633
1950,1769
1951,1910
1952,2139
1953,2352
1954,3384
1955,4436
1956,5767
1957,6445
2012,608274
2013,673106
2014,740445
2015,789720
2016,841552
2017,900145
2018,970880
2019,1043028
2020,1136734
2021,1234701
2022,1264892
2023,1192520
2024,1339005
2025,1418891
