year,type,personnel
2015,Physicians,9563
2015,Nurses,11357
2016,Physicians,10000
2016,Nurses,11486
2017,Physicians,10576
2017,Nurses,11939
2018,Physicians,11169
2018,Nurses,12344
2019,Physicians,11788
2019,Nurses,12773
2020,Physicians,12431
2020,Nurses,13112
2021,Physicians,12970
2021,Nurses,13473
2022,Physicians,13983
2022,Nurses,13947
2023,Physicians,14978
2023,Nurses,14494
2024,Physicians,15973
2024,Nurses,15152
