он,бүс,утга
1971,Завхан,67.5
1971,Говь-Алтай,43.9
1971,Баян-Өлгий,45.3
1971,Ховд,63.2
1971,Увс,82.8
1971,Орхон,
1971,Өвөрхангай,120.1
1971,Булган,41.5
1971,Баянхонгор,90
1971,Архангай,87.1
1971,Хөвсгөл,75.8
1971,Төв,89.4
1971,Говьсүмбэр,
1971,Сэлэнгэ,28.3
1971,Дорноговь,38.7
1971,Дархан-Уул,0.1
1971,Өмнөговь,67.7
1971,Дундговь,180.9
1971,Дорнод,45.5
1971,Сүхбаатар,105
1971,Хэнтий,73.4
1971,Улаанбаатар,1.8
1972,Завхан,63.1
1972,Говь-Алтай,47.7
1972,Баян-Өлгий,53.8
1972,Ховд,72.3
1972,Увс,104.7
1972,Орхон,
1972,Өвөрхангай,93.7
1972,Булган,52.3
1972,Баянхонгор,71.3
1972,Архангай,99.6
1972,Хөвсгөл,86
1972,Төв,57.9
1972,Говьсүмбэр,
1972,Сэлэнгэ,31.3
1972,Дорноговь,35.3
1972,Дархан-Уул,0.1
1972,Өмнөговь,38.5
1972,Дундговь,31.7
1972,Дорнод,72.1
1972,Сүхбаатар,50.5
1972,Хэнтий,87.1
1972,Улаанбаатар,1.2
1973,Завхан,103.3
1973,Говь-Алтай,48.9
1973,Баян-Өлгий,35.9
1973,Ховд,69.2
1973,Увс,79
1973,Орхон,
1973,Өвөрхангай,85.1
1973,Булган,55
1973,Баянхонгор,80.7
1973,Архангай,94.6
1973,Хөвсгөл,83.5
1973,Төв,71.7
1973,Говьсүмбэр,
1973,Сэлэнгэ,26.1
1973,Дорноговь,53.3
1973,Дархан-Уул,0.1
1973,Өмнөговь,108.1
1973,Дундговь,51.4
1973,Дорнод,36.6
1973,Сүхбаатар,35.3
1973,Хэнтий,66.3
1973,Улаанбаатар,2.3
1974,Завхан,41.7
1974,Говь-Алтай,32.7
1974,Баян-Өлгий,25.7
1974,Ховд,57.5
1974,Увс,70.7
1974,Орхон,
1974,Өвөрхангай,52
1974,Булган,40.5
1974,Баянхонгор,66.5
1974,Архангай,60.6
1974,Хөвсгөл,51.1
1974,Төв,47.4
1974,Говьсүмбэр,
1974,Сэлэнгэ,23.6
1974,Дорноговь,33.9
1974,Дархан-Уул,0.3
1974,Өмнөговь,19.5
1974,Дундговь,31.1
1974,Дорнод,38.1
1974,Сүхбаатар,87.7
1974,Хэнтий,66.8
1974,Улаанбаатар,1.6
1975,Завхан,54.7
1975,Говь-Алтай,44
1975,Баян-Өлгий,67.5
1975,Ховд,69.2
