location,year,expenditure_mnt
Rural,1997,50401.0
National,1997,56311.0
Urban,1997,61989.0
National,1998,69098.0
Urban,1998,80189.0
Rural,1998,57083.0
Rural,1999,59439.0
National,1999,71804.0
Urban,1999,84158.0
Urban,2000,113644.0
Rural,2000,102666.0
National,2000,108011.0
Urban,2001,133579.0
Rural,2001,85994.0
National,2001,111119.0
Urban,2002,174847.0
National,2002,163654.0
Rural,2002,151101.0
Urban,2003,173493.0
National,2003,165552.0
Rural,2003,158021.0
National,2004,182630.0
Urban,2004,180291.0
Rural,2004,186250.0
Urban,2005,205109.0
Rural,2005,162479.0
National,2005,194078.0
Urban,2006,232188.0
Rural,2006,211644.0
National,2006,228172.0
Rural,2007,266768.0
National,2007,292488.0
Urban,2007,308016.0
Rural,2008,293653.0
National,2008,367466.0
Urban,2008,421924.0
National,2009,437602.0
Urban,2009,471336.0
Rural,2009,391883.0
Rural,2010,387937.0
National,2010,450206.0
Urban,2010,501042.0
Rural,2011,497633.0
Urban,2011,648829.0
National,2011,577406.0
Urban,2012,905269.0
Rural,2012,657836.0
National,2012,820263.0
Rural,2013,833997.0
Urban,2013,1036809.0
National,2013,961677.0
National,2014,1076557.0
Urban,2014,1145363.0
Rural,2014,955939.0
National,2015,1064808.0
Urban,2015,1100058.0
Rural,2015,999615.0
Rural,2016,889681.0
Urban,2016,1003893.0
National,2016,966197.0
National,2017,1092384.0
Rural,2017,986406.0
Urban,2017,1150764.0
Rural,2018,1096030.0
National,2018,1240731.0
Urban,2018,1320376.0
National,2019,1416640.0
Urban,2019,1476833.0
Rural,2019,1299329.0
National,2020,1519398.0
Urban,2020,1610308.0
Rural,2020,1344028.0
Urban,2021,1545828.0
Rural,2021,1410755.0
National,2021,1499180.0
Rural,2022,1687923.0
National,2022,1851637.0
Urban,2022,1935522.0
Urban,2023,2314620.0
Rural,2023,1933596.0
National,2023,2196615.0
Urban,2024,2818937.0
Rural,2024,2235728.0
National,2024,2631689.0
