он,төрөл,ор
2025,Арьс харшил,363
2025,Хөнгөвчлөх эмчилгээ,493
2025,Сүрьеэ,509
2025,"Эрчимт эмчилгээ, сэхээн амьдруулах",518
2025,Сэтгэц,1014
2025,Бусад,1091
2025,Халдварт,1112
2025,Гэмтэл,1222
2025,Эмэгтэйчүүд,1353
2025,Төрөх,1947
2025,Мэдрэл,2180
2025,Мэс засал,2265
2025,Уламжлалт эмчилгээ,2638
2025,Хүүхэд,4094
2025,Дотор,7635
