хүйс,мэргэжил,жил,цалин_мнт
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2018,1308.5
Эрэгтэй,Улсын дундаж,2018,1100.3
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2018,783.0
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2018,505.7
Эрэгтэй,"Энгийн ажил, мэргэжил",2018,771.7
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2018,1082.9
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2019,1234.6
Бүгд,"Контор, үйлчилгээний ажилтан",2019,1099.2
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2019,1296.9
Бүгд,Менежер,2019,1201.0
Бүгд,Мэргэжилтэн,2019,1344.9
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2019,1350.8
Бүгд,Улсын дундаж,2019,1124.3
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2019,776.6
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2019,633.9
Бүгд,"Энгийн ажил, мэргэжил",2019,821.9
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2019,1250.7
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2019,1150.5
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2019,981.0
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2019,1388.1
Эмэгтэй,Менежер,2019,1137.8
Эмэгтэй,Мэргэжилтэн,2019,1211.5
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2019,1174.1
Эмэгтэй,Улсын дундаж,2019,1021.3
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2019,704.2
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2019,649.0
Эмэгтэй,"Энгийн ажил, мэргэжил",2019,741.8
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2019,1140.0
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2019,1261.2
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2019,1299.4
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2019,1284.4
Эрэгтэй,Менежер,2019,1258.9
Эрэгтэй,Мэргэжилтэн,2019,1611.1
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2019,1483.2
Эрэгтэй,Улсын дундаж,2019,1222.6
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2019,873.9
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2019,623.9
Эрэгтэй,"Энгийн ажил, мэргэжил",2019,896.9
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2019,1303.6
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2020,1327.9
Бүгд,"Контор, үйлчилгээний ажилтан",2020,1235.4
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2020,1419.8
Бүгд,Менежер,2020,1366.8
Бүгд,Мэргэжилтэн,2020,1391.8
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2020,1470.6
Бүгд,Улсын дундаж,2020,1220.6
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2020,864.6
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2020,701.3
Бүгд,"Энгийн ажил, мэргэжил",2020,939.8
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2020,1257.1
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2020,1246.5
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2020,1092.2
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2020,1451.3
Эмэгтэй,Менежер,2020,1308.9
Эмэгтэй,Мэргэжилтэн,2020,1283.0
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2020,1303.4
Эмэгтэй,Улсын дундаж,2020,1109.6
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2020,777.4
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2020,718.3
Эмэгтэй,"Энгийн ажил, мэргэжил",2020,856.7
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2020,1019.7
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2020,1355.7
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2020,1466.3
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2020,1415.6
Эрэгтэй,Менежер,2020,1418.1
Эрэгтэй,Мэргэжилтэн,2020,1603.1
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2020,1592.2
Эрэгтэй,Улсын дундаж,2020,1326.2
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2020,982.2
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2020,690.2
Эрэгтэй,"Энгийн ажил, мэргэжил",2020,1020.9
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2020,1362.8
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2021,1359.5
Бүгд,"Контор, үйлчилгээний ажилтан",2021,1298.1
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2021,1493.2
Бүгд,Менежер,2021,1385.8
Бүгд,Мэргэжилтэн,2021,1480.2
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2021,1541.7
Бүгд,Улсын дундаж,2021,1279.4
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2021,913.7
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2021,752.5
Бүгд,"Энгийн ажил, мэргэжил",2021,997.5
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2021,1329.8
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2021,1306.0
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2021,1130.7
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2021,1501.8
Эмэгтэй,Менежер,2021,1309.0
Эмэгтэй,Мэргэжилтэн,2021,1358.3
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2021,1372.0
Эмэгтэй,Улсын дундаж,2021,1163.1
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2021,819.8
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2021,780.4
Эмэгтэй,"Энгийн ажил, мэргэжил",2021,918.1
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2021,1123.6
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2021,1375.8
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2021,1578.0
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2021,1492.1
Эрэгтэй,Менежер,2021,1453.9
Эрэгтэй,Мэргэжилтэн,2021,1719.4
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2021,1675.0
Эрэгтэй,Улсын дундаж,2021,1390.1
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2021,1041.9
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2021,734.7
Эрэгтэй,"Энгийн ажил, мэргэжил",2021,1073.0
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2021,1419.6
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2022,1548.8
Бүгд,"Контор, үйлчилгээний ажилтан",2022,1593.6
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2022,1903.5
Бүгд,Менежер,2022,1691.4
Бүгд,Мэргэжилтэн,2022,1714.3
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2022,1749.7
Бүгд,Улсын дундаж,2022,1503.8
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2022,1038.7
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2022,851.4
Бүгд,"Энгийн ажил, мэргэжил",2022,1148.2
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2022,1549.9
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2022,1519.5
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2022,1366.9
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2022,1853.4
Эмэгтэй,Менежер,2022,1633.3
Эмэгтэй,Мэргэжилтэн,2022,1574.3
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2022,1580.0
Эмэгтэй,Улсын дундаж,2022,1360.5
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2022,945.8
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2022,910.7
Эмэгтэй,"Энгийн ажил, мэргэжил",2022,1058.7
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2022,1283.1
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2022,1557.4
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2022,2010.2
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2022,1910.4
Эрэгтэй,Менежер,2022,1742.3
Эрэгтэй,Мэргэжилтэн,2022,1996.4
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2022,1888.7
Эрэгтэй,Улсын дундаж,2022,1642.8
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2022,1164.2
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2022,810.9
Эрэгтэй,"Энгийн ажил, мэргэжил",2022,1234.3
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2022,1662.2
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2023,2362.5
Бүгд,"Контор, үйлчилгээний ажилтан",2023,2036.3
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2023,2335.6
Бүгд,Менежер,2023,1964.5
Бүгд,Мэргэжилтэн,2023,2128.2
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2023,2250.6
Бүгд,Улсын дундаж,2023,1881.8
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2023,1299.1
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2023,1084.0
Бүгд,"Энгийн ажил, мэргэжил",2023,1435.1
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2023,1976.3
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2023,2223.7
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2023,1686.8
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2023,2281.8
Эмэгтэй,Менежер,2023,1780.6
Эмэгтэй,Мэргэжилтэн,2023,1915.3
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2023,1972.4
Эмэгтэй,Улсын дундаж,2023,1651.9
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2023,1165.0
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2023,1156.9
Эмэгтэй,"Энгийн ажил, мэргэжил",2023,1301.4
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2023,1556.1
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2023,2404.5
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2023,2707.2
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2023,2342.5
Эрэгтэй,Менежер,2023,2131.3
Эрэгтэй,Мэргэжилтэн,2023,2564.1
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2023,2490.9
Эрэгтэй,Улсын дундаж,2023,2103.4
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2023,1475.8
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2023,1036.4
Эрэгтэй,"Энгийн ажил, мэргэжил",2023,1559.6
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2023,2152.7
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2024,2504.1
Бүгд,"Контор, үйлчилгээний ажилтан",2024,2274.3
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2768.3
Бүгд,Менежер,2024,3037.5
Бүгд,Мэргэжилтэн,2024,2622.0
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2024,2470.2
Бүгд,Улсын дундаж,2024,2332.4
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2024,1465.0
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1254.4
Бүгд,"Энгийн ажил, мэргэжил",2024,1499.4
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,2224.8
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2024,2374.3
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2024,2063.4
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2669.6
Эмэгтэй,Менежер,2024,2689.7
Эмэгтэй,Мэргэжилтэн,2024,2398.1
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2024,2263.3
Эмэгтэй,Улсын дундаж,2024,2077.1
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2024,1346.8
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1340.7
Эмэгтэй,"Энгийн ажил, мэргэжил",2024,1378.8
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,1643.0
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2024,2536.7
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2024,2738.1
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2024,2775.9
Эрэгтэй,Менежер,2024,3344.5
Эрэгтэй,Мэргэжилтэн,2024,3081.7
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2024,2706.3
Эрэгтэй,Улсын дундаж,2024,2576.9
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2024,1622.0
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2024,1206.5
Эрэгтэй,"Энгийн ажил, мэргэжил",2024,1633.4
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2024,2378.2
Бүгд,"Зэвсэгт хүчний ажил, мэргэжил",2025,2495.7
Бүгд,"Контор, үйлчилгээний ажилтан",2025,2564.9
Бүгд,"Машин механизм, төхөөргийн операторч, угсрагч",2025,3411.3
Бүгд,Менежер,2025,3091.8
Бүгд,Мэргэжилтэн,2025,2982.9
Бүгд,Техникч болон туслах/ дэд мэргэжилтэн,2025,2841.0
Бүгд,Улсын дундаж,2025,2726.9
Бүгд,"Худалдаа, үйлчилгээний ажилтан",2025,1888.7
Бүгд,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2025,1566.9
Бүгд,"Энгийн ажил, мэргэжил",2025,1893.8
Бүгд,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2025,2743.2
Эмэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2025,2534.6
Эмэгтэй,"Контор, үйлчилгээний ажилтан",2025,2382.7
Эмэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2025,3121.3
Эмэгтэй,Менежер,2025,2862.7
Эмэгтэй,Мэргэжилтэн,2025,2728.7
Эмэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2025,2579.2
Эмэгтэй,Улсын дундаж,2025,2429.7
Эмэгтэй,"Худалдаа, үйлчилгээний ажилтан",2025,1696.5
Эмэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2025,1626.6
Эмэгтэй,"Энгийн ажил, мэргэжил",2025,1728.1
Эмэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2025,1905.8
Эрэгтэй,"Зэвсэгт хүчний ажил, мэргэжил",2025,2487.0
Эрэгтэй,"Контор, үйлчилгээний ажилтан",2025,3022.5
Эрэгтэй,"Машин механизм, төхөөргийн операторч, угсрагч",2025,3437.5
Эрэгтэй,Менежер,2025,3303.7
Эрэгтэй,Мэргэжилтэн,2025,3542.3
Эрэгтэй,Техникч болон туслах/ дэд мэргэжилтэн,2025,3159.7
Эрэгтэй,Улсын дундаж,2025,3035.5
Эрэгтэй,"Худалдаа, үйлчилгээний ажилтан",2025,2155.0
Эрэгтэй,"Хөдөө аж ахуй, ой, загас агнуурын мэргэшсэн ажилтан",2025,1531.8
Эрэгтэй,"Энгийн ажил, мэргэжил",2025,2100.2
Эрэгтэй,"Үйлдвэрлэл, барилга, гар урлал, холбогдох ажил, үйлчилгээний ажилтан",2025,2984.0
