sex,year,value
Female,1956,425190
Male,1956,420291
Female,1963,509129
Male,1963,508029
Female,1969,600236
Male,1969,597359
Female,1979,796138
Male,1979,798868
Female,1989,1023285
Male,1989,1020669
Female,1990,1079819
Male,1990,1073647
Female,1991,1091813
Male,1991,1085404
Female,1992,1082367
Male,1992,1075995
Female,1993,1089403
Male,1993,1082495
Female,1994,1110095
Male,1994,1096797
Female,1995,1128628
Male,1995,1114370
Female,1996,1146168
Male,1996,1129848
Female,1997,1161916
Male,1997,1145568
Female,1998,1178468
Male,1998,1161666
Female,1999,1195512
Male,1999,1177981
Female,2000,1212861
Male,2000,1190244
Female,2001,1227695
Male,2001,1204702
Female,2002,1242422
Male,2002,1223235
Female,2003,1257253
Male,2003,1237838
Female,2004,1270681
Male,2004,1251052
Female,2005,1285467
Male,2005,1265614
Female,2006,1323601
Male,2006,1259653
Female,2007,1343197
Male,2007,1277249
Female,2008,1364650
Male,2008,1301305
Female,2009,1388135
Male,2009,1328140
Female,2010,1418887
Male,2010,1342081
Female,2011,1446943
Male,2011,1364723
Female,2012,1474291
Male,2012,1393453
Female,2013,1504434
Male,2013,1425843
Female,2014,1529494
Male,2014,1466455
Female,2015,1554166
Male,2015,1503612
Female,2016,1585952
Male,2016,1533983
Female,2017,1615529
Male,2017,1562370
Female,2018,1646631
Male,2018,1591848
Female,2019,1677293
Male,2019,1619573
Female,2020,1708563
Male,2020,1648979
Female,2021,1735881
Male,2021,1674058
Female,2022,1761400
Male,2022,1696148
Female,2023,1786466
Male,2023,1718275
Female,2024,1808475
Male,2024,1736360
