он,бараа_бүтээгдэхүүн,хэмжих_нэгж,утга
2011,Алт,кг,5457.0
2011,Газрын тос,мян.баррель,2548.9
2011,Зэсийн баяжмал (35%),мян.тонн,347.4
2011,Молибдений баяжмал (47%),тонн,4163.1
2011,Нүүрс,мян.тонн,32029.7
2011,Төмрийн хүдэр,мян.тонн,5193.9
2011,Цахилгаан эрчим хүч,сая кВт.ц,4536.4
2012,Алт,кг,5977.1
2012,Газрын тос,мян.баррель,3636.0
2012,Зэсийн баяжмал (35%),мян.тонн,347.6
2012,Молибдений баяжмал (47%),тонн,4050.2
2012,Нүүрс,мян.тонн,29926.1
2012,Төмрийн хүдэр,мян.тонн,6898.0
2012,Цахилгаан эрчим хүч,сая кВт.ц,4815.6
2013,Алт,кг,8900.9
2013,Газрын тос,мян.баррель,5128.9
2013,Зэсийн баяжмал (35%),мян.тонн,533.3
2013,Молибдений баяжмал (47%),тонн,3869.2
2013,Нүүрс,мян.тонн,30123.3
2013,Төмрийн хүдэр,мян.тонн,5011.9
2013,Цахилгаан эрчим хүч,сая кВт.ц,5019.5
2014,Алт,кг,11503.8
2014,Газрын тос,мян.баррель,7405.3
2014,Зэсийн баяжмал (35%),мян.тонн,712.0
2014,Молибдений баяжмал (47%),тонн,4254.0
2014,Нүүрс,мян.тонн,25287.8
2014,Төмрийн хүдэр,мян.тонн,6293.1
2014,Цахилгаан эрчим хүч,сая кВт.ц,5375.8
2015,Алт,кг,14532.8
2015,Газрын тос,мян.баррель,8769.3
2015,Зэсийн баяжмал (35%),мян.тонн,890.7
2015,Молибдений баяжмал (47%),тонн,5441.0
2015,Нүүрс,мян.тонн,24205.9
2015,Төмрийн хүдэр,мян.тонн,4273.6
2015,Цахилгаан эрчим хүч,сая кВт.ц,5513.2
2016,Алт,кг,18435.7
2016,Газрын тос,мян.баррель,8249.8
2016,Зэсийн баяжмал (35%),мян.тонн,400.4
2016,Молибдений баяжмал (47%),тонн,5718.1
2016,Нүүрс,мян.тонн,35522.3
2016,Төмрийн хүдэр,мян.тонн,4936.2
2016,Цахилгаан эрчим хүч,сая кВт.ц,5667.1
2017,Алт,кг,19849.0
2017,Газрын тос,мян.баррель,7624.1
2017,Зэсийн баяжмал (35%),мян.тонн,397.2
2017,Молибдений баяжмал (47%),тонн,6220.4
2017,Нүүрс,мян.тонн,48145.1
2017,Төмрийн хүдэр,мян.тонн,7694.7
2017,Цахилгаан эрчим хүч,сая кВт.ц,6027.3
2018,Алт,кг,20655.2
2018,Газрын тос,мян.баррель,6388.6
2018,Зэсийн баяжмал (35%),мян.тонн,388.4
2018,Молибдений баяжмал (47%),тонн,5836.4
2018,Нүүрс,мян.тонн,51401.3
2018,Төмрийн хүдэр,мян.тонн,6225.4
2018,Цахилгаан эрчим хүч,сая кВт.ц,6535.3
2019,Алт,кг,16234.9
2019,Газрын тос,мян.баррель,6876.1
2019,Зэсийн баяжмал (35%),мян.тонн,377.0
2019,Молибдений баяжмал (47%),тонн,5722.3
2019,Нүүрс,мян.тонн,55799.4
2019,Төмрийн хүдэр,мян.тонн,8572.2
2019,Цахилгаан эрчим хүч,сая кВт.ц,6900.4
2020,Алт,кг,20225.5
2020,Газрын тос,мян.баррель,4105.9
2020,Зэсийн баяжмал (35%),мян.тонн,0.0
2020,Молибдений баяжмал (47%),тонн,0.0
2020,Нүүрс,мян.тонн,42863.6
2020,Төмрийн хүдэр,мян.тонн,9224.4
2020,Цахилгаан эрчим хүч,сая кВт.ц,7069.7
2021,Алт,кг,19054.4
2021,Газрын тос,мян.баррель,4667.1
2021,Зэсийн баяжмал (35%),мян.тонн,0.0
2021,Молибдений баяжмал (47%),тонн,0.0
2021,Нүүрс,мян.тонн,28645.0
2021,Төмрийн хүдэр,мян.тонн,9171.9
2021,Цахилгаан эрчим хүч,сая кВт.ц,7825.3
2022,Алт,кг,19382.7
2022,Газрын тос,мян.баррель,2565.4
2022,Зэсийн баяжмал (35%),мян.тонн,0.0
2022,Молибдений баяжмал (47%),тонн,0.0
2022,Нүүрс,мян.тонн,34708.1
2022,Төмрийн хүдэр,мян.тонн,7659.9
2022,Цахилгаан эрчим хүч,сая кВт.ц,8035.0
2023,Алт,кг,14854.8
2023,Газрын тос,мян.баррель,4888.9
2023,Зэсийн баяжмал (35%),мян.тонн,0.0
