сар,бохирдуулагч,утга_мг_м3
2008-02,Тоосонцор РМ10,
2008-02,Тоосонцор РМ2.5,
2008-03,Тоосонцор РМ10,
2008-03,Тоосонцор РМ2.5,
2008-04,Тоосонцор РМ10,
2008-04,Тоосонцор РМ2.5,
2008-05,Тоосонцор РМ10,
2008-05,Тоосонцор РМ2.5,
2008-06,Тоосонцор РМ10,
2008-06,Тоосонцор РМ2.5,
2008-07,Тоосонцор РМ10,
2008-07,Тоосонцор РМ2.5,
2008-08,Тоосонцор РМ10,
2008-08,Тоосонцор РМ2.5,
2008-09,Тоосонцор РМ10,
2008-09,Тоосонцор РМ2.5,
2008-10,Тоосонцор РМ10,
2008-10,Тоосонцор РМ2.5,
2008-11,Тоосонцор РМ10,
2008-11,Тоосонцор РМ2.5,
2008-12,Тоосонцор РМ10,0.58
2008-12,Тоосонцор РМ2.5,
2009-01,Тоосонцор РМ10,0.512
2009-01,Тоосонцор РМ2.5,
2009-02,Тоосонцор РМ10,0.076
2009-02,Тоосонцор РМ2.5,
2009-03,Тоосонцор РМ10,0.072
2009-03,Тоосонцор РМ2.5,
2009-04,Тоосонцор РМ10,
2009-04,Тоосонцор РМ2.5,
2009-05,Тоосонцор РМ10,0.079
2009-05,Тоосонцор РМ2.5,
2009-06,Тоосонцор РМ10,0.0383
2009-06,Тоосонцор РМ2.5,
2009-07,Тоосонцор РМ10,0.023
2009-07,Тоосонцор РМ2.5,
2009-08,Тоосонцор РМ10,0.0225
2009-08,Тоосонцор РМ2.5,
2009-09,Тоосонцор РМ10,0.069
2009-09,Тоосонцор РМ2.5,
2009-10,Тоосонцор РМ10,0.098
2009-10,Тоосонцор РМ2.5,
2009-11,Тоосонцор РМ10,0.2
2009-11,Тоосонцор РМ2.5,
2009-12,Тоосонцор РМ10,0.3202
2009-12,Тоосонцор РМ2.5,
2010-01,Тоосонцор РМ10,0.2667
2010-01,Тоосонцор РМ2.5,
2010-02,Тоосонцор РМ10,0.1937
2010-02,Тоосонцор РМ2.5,
2010-03,Тоосонцор РМ10,0.153
2010-03,Тоосонцор РМ2.5,
2010-04,Тоосонцор РМ10,0.0597
2010-04,Тоосонцор РМ2.5,
2010-05,Тоосонцор РМ10,0.0453
2010-05,Тоосонцор РМ2.5,
2010-06,Тоосонцор РМ10,0.037
2010-06,Тоосонцор РМ2.5,
2010-07,Тоосонцор РМ10,0.052
