улс,он,импорт_сая_ам_дол
АНУ,2005,37054.1
Австрали,2005,29824.6
Австри,2005,875.9
Азербайжан,2005,0.0
Албани,2005,0.0
Алжир,2005,0.0
Арабын Нэгдсэн Эмират,2005,367.1
Аргентин,2005,3788.6
Армен,2005,0.0
Аруба,2005,0.9
Афганистан,2005,0.0
БНАСAУ,2005,35.1
БНСУ,2005,63723.8
БНХАУ,2005,303248.1
Багамын арал,2005,0.0
Балба,2005,1.1
Бангладеш,2005,430.6
Бахрейн,2005,0.1
Беларусь,2005,5075.6
Бельги,2005,4677.5
Болгар,2005,1633.7
Босни Герцоговин,2005,0.0
Бразил,2005,2378.7
Бүгд Найрамдах Доминикан Улс,2005,2.8
Вануату,2005,0.0
Венесуэл,2005,0.0
Вьетнам,2005,2568.9
Гайти,2005,0.0
Гватемал,2005,686.5
Гондурас,2005,0.0
Грек,2005,82.7
Гренланд,2005,0.0
Гүрж,2005,403.6
Дани,2005,3273.2
Доминик,2005,2.0
Дүн,2005,1177271.1
Европын холбоо,2005,113611.4
Египет,2005,48.7
Зимбабве,2005,0.0
Зүүн Хойд Ази,2005,444975.3
Зүүн Өмнөд Ази,2005,31174.2
Израиль,2005,8142.5
Индонез,2005,3227.1
Иордан,2005,0.0
Иран,2005,598.9
Ирланд,2005,288.0
Исланд,2005,96.9
Испани,2005,888.3
Итали,2005,3430.3
Их Британи,2005,8688.2
Казакстан,2005,40537.9
Камбож,2005,0.8
Канад,2005,17301.6
Катар,2005,0.0
Кени,2005,0.0
Кипр,2005,161.1
Киргизстан,2005,1132.2
Колумби,2005,0.0
Коста Рика,2005,2.5
Куба,2005,4.2
Кувейт,2005,54.2
Лаос,2005,0.0
Латви,2005,1705.9
Литва,2005,456.9
Лихтенштейн Вант улс,2005,0.0
Люксембург,2005,71.6
Мавритани,2005,0.0
Мавритус,2005,0.0
Мадагаскар,2005,0.0
Македони,2005,0.0
Малайз,2005,6966.1
Мали,2005,0.0
Мальта,2005,28.6
Марокко,2005,0.5
Мексик,2005,112.8
Молдав,2005,13.1
Монако,2005,1.3
Мьянмар,2005,0.0
Намиби,2005,0.0
Нидерланд,2005,3115.3
Никарагуа,2005,0.9
Норвеги,2005,584.3
ОХУ,2005,417926.8
Оман,2005,0.0
Пакистан,2005,40.3
Перу,2005,3.8
Польш,2005,10004.9
Португаль,2005,20.9
Пуэрто-Рико,2005,0.0
Румын,2005,69.3
Саудын Араб,2005,3.1
Свазиленд,2005,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2005,39.4
Сенегал,2005,0.0
Серби,2005,0.0
Сингапур,2005,16276.0
Сири,2005,1.7
Словак,2005,161.4
Словени,2005,516.0
Съерра Леон,2005,0.0
Тажикстан,2005,0.0
Тайвань,2005,2467.4
Тайланд,2005,864.9
Тунис,2005,5.4
Турк,2005,2266.7
Уганда,2005,0.0
Узбикистан,2005,310.9
Украйн,2005,19590.4
Унгар,2005,3363.4
Уругвай,2005,0.0
Фижи,2005,0.0
Филиппин,2005,1270.4
Финлянд,2005,2824.2
Франц,2005,29352.3
ХБНГУ,2005,37600.7
Хорват,2005,0.0
Чад,2005,0.0
Чехийн БНУ,2005,5103.3
Чили,2005,20.7
Швед,2005,2125.1
Швейцарь,2005,1071.9
Шинэ Зеланд,2005,1547.2
Шри Ланк,2005,1051.8
Эквадор,2005,0.0
Эл Сальвадор,2005,0.0
Энэтхэг,2005,1518.2
Эстон,2005,1780.9
Этиоп,2005,0.0
Ямайка,2005,0.0
Япон,2005,75500.9
Өмнөд Африкийн Бүгд Найрамдах Улс,2005,211.5
АНУ,2006,43556.1
Австрали,2006,36105.1
Австри,2006,1352.3
Азербайжан,2006,13.9
Албани,2006,0.0
Алжир,2006,0.0
Арабын Нэгдсэн Эмират,2006,302.5
Аргентин,2006,3688.5
Армен,2006,0.0
Аруба,2006,10.8
Афганистан,2006,0.0
БНАСAУ,2006,61.3
БНСУ,2006,82511.4
БНХАУ,2006,368156.9
Багамын арал,2006,1.8
Балба,2006,2.0
Бангладеш,2006,404.7
Бахрейн,2006,0.0
Беларусь,2006,5645.2
Бельги,2006,2903.0
Болгар,2006,1607.3
Босни Герцоговин,2006,0.0
Бразил,2006,2361.6
Бүгд Найрамдах Доминикан Улс,2006,2.0
Вануату,2006,0.0
Венесуэл,2006,1.0
Вьетнам,2006,2961.6
Гайти,2006,0.0
Гватемал,2006,30.4
Гондурас,2006,0.0
Грек,2006,39.1
Гренланд,2006,0.0
Гүрж,2006,420.2
Дани,2006,1951.2
Доминик,2006,0.0
Дүн,2006,1435052.5
Европын холбоо,2006,112770.0
Египет,2006,1.5
Зимбабве,2006,0.0
Зүүн Хойд Ази,2006,548326.2
Зүүн Өмнөд Ази,2006,40587.7
Израиль,2006,7272.2
Индонез,2006,3879.7
Иордан,2006,0.0
Иран,2006,1.6
Ирланд,2006,414.3
Исланд,2006,2.7
Испани,2006,1752.3
Итали,2006,6858.6
Их Британи,2006,9005.5
Казакстан,2006,49805.2
Камбож,2006,4.2
Канад,2006,9852.1
Катар,2006,0.0
Кени,2006,6.8
Кипр,2006,211.0
Киргизстан,2006,1233.8
Колумби,2006,44.9
Коста Рика,2006,139.7
Куба,2006,14.9
Кувейт,2006,7.2
Лаос,2006,0.7
Латви,2006,353.1
Литва,2006,89.5
Лихтенштейн Вант улс,2006,0.3
Люксембург,2006,52.8
Мавритани,2006,0.0
Мавритус,2006,0.0
Мадагаскар,2006,0.0
Македони,2006,0.0
Малайз,2006,9752.1
Мали,2006,0.0
Мальта,2006,1.2
Марокко,2006,4.2
Мексик,2006,804.6
Молдав,2006,76.4
Монако,2006,0.3
Мьянмар,2006,0.0
Намиби,2006,0.0
Нидерланд,2006,3896.4
Никарагуа,2006,5.2
Норвеги,2006,278.3
ОХУ,2006,547798.0
Оман,2006,0.0
Пакистан,2006,90.9
Перу,2006,0.0
Польш,2006,12630.8
Португаль,2006,122.2
Пуэрто-Рико,2006,1.0
Румын,2006,0.0
Саудын Араб,2006,1.3
Свазиленд,2006,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2006,33.0
Сенегал,2006,0.0
Серби,2006,124.4
Сингапур,2006,20727.0
Сири,2006,0.0
Словак,2006,402.1
Словени,2006,770.6
Съерра Леон,2006,0.0
Тажикстан,2006,0.0
Тайвань,2006,3167.2
Тайланд,2006,2101.0
Тунис,2006,1.9
Турк,2006,3499.2
Уганда,2006,0.0
Узбикистан,2006,435.0
Украйн,2006,22849.4
Унгар,2006,4156.0
Уругвай,2006,0.0
Фижи,2006,0.0
Филиппин,2006,1161.4
Финлянд,2006,3172.8
Франц,2006,16770.0
ХБНГУ,2006,42988.9
Хорват,2006,0.3
Чад,2006,0.0
Чехийн БНУ,2006,5944.2
Чили,2006,229.5
Швед,2006,3144.4
Швейцарь,2006,1411.1
Шинэ Зеланд,2006,1048.1
Шри Ланк,2006,415.0
Эквадор,2006,9.8
Эл Сальвадор,2006,0.0
Энэтхэг,2006,2395.5
Эстон,2006,1185.6
Этиоп,2006,0.0
Ямайка,2006,0.0
Япон,2006,97596.6
Өмнөд Африкийн Бүгд Найрамдах Улс,2006,187.1
АНУ,2007,55741.3
Австрали,2007,38509.9
Австри,2007,5410.4
Азербайжан,2007,24.3
Албани,2007,0.0
Алжир,2007,0.0
Арабын Нэгдсэн Эмират,2007,2398.7
Аргентин,2007,3170.7
Армен,2007,23.9
Аруба,2007,10.6
Афганистан,2007,46.3
БНАСAУ,2007,238.4
БНСУ,2007,119580.7
БНХАУ,2007,572624.1
Багамын арал,2007,0.4
Балба,2007,21.6
Бангладеш,2007,477.0
Бахрейн,2007,0.0
Беларусь,2007,7399.5
Бельги,2007,7060.7
Болгар,2007,2921.4
Босни Герцоговин,2007,0.0
Бразил,2007,3117.4
Бүгд Найрамдах Доминикан Улс,2007,10.7
Вануату,2007,0.0
Венесуэл,2007,0.0
Вьетнам,2007,6323.7
Гайти,2007,0.0
Гватемал,2007,0.0
Гондурас,2007,0.0
Грек,2007,41.1
Гренланд,2007,0.0
Гүрж,2007,394.1
Дани,2007,2849.1
Доминик,2007,23.6
Дүн,2007,2061837.5
Европын холбоо,2007,205501.1
Египет,2007,56.0
Зимбабве,2007,0.0
Зүүн Хойд Ази,2007,832660.9
Зүүн Өмнөд Ази,2007,66926.8
Израиль,2007,5861.8
Индонез,2007,3885.3
Иордан,2007,1.9
Иран,2007,101.9
Ирланд,2007,449.9
Исланд,2007,35.0
Испани,2007,8445.8
Итали,2007,9838.6
Их Британи,2007,13787.8
Казакстан,2007,30197.5
Камбож,2007,24.1
Канад,2007,10636.3
Катар,2007,0.0
Кени,2007,0.0
Кипр,2007,308.0
Киргизстан,2007,1817.4
Колумби,2007,904.3
Коста Рика,2007,98.4
Куба,2007,27.6
Кувейт,2007,32.0
Лаос,2007,0.6
Латви,2007,7360.8
Литва,2007,314.1
Лихтенштейн Вант улс,2007,0.9
Люксембург,2007,28.6
Мавритани,2007,0.0
Мавритус,2007,0.3
Мадагаскар,2007,0.0
Македони,2007,0.0
Малайз,2007,19808.6
Мали,2007,0.0
Мальта,2007,1.8
Марокко,2007,2.9
Мексик,2007,2069.5
Молдав,2007,140.4
Монако,2007,0.6
Мьянмар,2007,0.0
Намиби,2007,0.0
Нидерланд,2007,5548.6
Никарагуа,2007,3.2
Норвеги,2007,91.7
ОХУ,2007,745046.4
Оман,2007,0.0
Пакистан,2007,6.2
Перу,2007,0.0
Польш,2007,24276.1
Португаль,2007,53.0
Пуэрто-Рико,2007,4.8
Румын,2007,570.1
Саудын Араб,2007,39.7
Свазиленд,2007,0.0
Сейшелийн аралын Бүгд Найрамдах Улс,2007,51.4
Сенегал,2007,0.0
Серби,2007,0.0
Сингапур,2007,29279.0
Сири,2007,0.0
Словак,2007,440.3
Словени,2007,1190.3
Съерра Леон,2007,0.0
Тажикстан,2007,0.0
Тайвань,2007,3685.5
Тайланд,2007,6610.9
Тунис,2007,7.3
Турк,2007,5274.8
Уганда,2007,0.4
Узбикистан,2007,1118.6
Украйн,2007,35001.1
Унгар,2007,3934.9
Уругвай,2007,0.0
Фижи,2007,0.0
Филиппин,2007,994.6
Финлянд,2007,7512.6
Франц,2007,24046.2
ХБНГУ,2007,76473.1
Хорват,2007,37.8
Чад,2007,0.0
Чехийн БНУ,2007,6305.8
Чили,2007,605.4
Швед,2007,7481.3
Швейцарь,2007,1050.3
Шинэ Зеланд,2007,1407.9
Шри Ланк,2007,518.6
Эквадор,2007,7.0
Эл Сальвадор,2007,0.0
Энэтхэг,2007,8447.2
Эстон,2007,2600.7
Этиоп,2007,0.0
Ямайка,2007,0.1
Япон,2007,140217.7
Өмнөд Африкийн Бүгд Найрамдах Улс,2007,494.2
АНУ,2008,84115.2
Австрали,2008,36459.8
Австри,2008,6296.9
