region,month,births
Uvurkhangai,2019-09,228
Zavkhan,2019-09,99
Arkhangai,2019-10,149
Bayan-Ulgii,2019-10,283
Bayankhongor,2019-10,174
Bulgan,2019-10,57
Darkhan-Uul,2019-10,199
Dornod,2019-10,160
Dornogovi,2019-10,125
Dundgovi,2019-10,76
Govi-Altai,2019-10,109
Govisumber,2019-10,33
Khentii,2019-10,128
Khovd,2019-10,223
Khuvsgul,2019-10,208
Orkhon,2019-10,213
Selenge,2019-10,177
Sukhbaatar,2019-10,110
Tuv,2019-10,110
Ulaanbaatar,2019-10,3504
Umnugovi,2019-10,149
Uvs,2019-10,168
Uvurkhangai,2019-10,272
Zavkhan,2019-10,118
Arkhangai,2019-11,163
Bayan-Ulgii,2019-11,199
Bayankhongor,2019-11,182
Bulgan,2019-11,47
Darkhan-Uul,2019-11,190
Dornod,2019-11,150
Dornogovi,2019-11,119
Dundgovi,2019-11,91
Govi-Altai,2019-11,111
Govisumber,2019-11,34
Khentii,2019-11,125
Khovd,2019-11,190
Khuvsgul,2019-11,207
Orkhon,2019-11,246
Selenge,2019-11,113
Sukhbaatar,2019-11,101
Tuv,2019-11,72
Ulaanbaatar,2019-11,3426
Umnugovi,2019-11,131
Uvs,2019-11,157
Uvurkhangai,2019-11,206
Zavkhan,2019-11,92
Arkhangai,2019-12,138
Bayan-Ulgii,2019-12,258
Bayankhongor,2019-12,186
Bulgan,2019-12,78
Darkhan-Uul,2019-12,188
Dornod,2019-12,160
Dornogovi,2019-12,139
Dundgovi,2019-12,85
Govi-Altai,2019-12,99
Govisumber,2019-12,23
Khentii,2019-12,129
Khovd,2019-12,188
Khuvsgul,2019-12,239
Orkhon,2019-12,223
Selenge,2019-12,156
Sukhbaatar,2019-12,86
Tuv,2019-12,99
Ulaanbaatar,2019-12,3520
Umnugovi,2019-12,161
Uvs,2019-12,141
Uvurkhangai,2019-12,195
Zavkhan,2019-12,110
Arkhangai,2020-01,114
Bayan-Ulgii,2020-01,229
Bayankhongor,2020-01,160
Bulgan,2020-01,59
Darkhan-Uul,2020-01,199
Dornod,2020-01,179
Dornogovi,2020-01,149
Dundgovi,2020-01,81
Govi-Altai,2020-01,101
Govisumber,2020-01,43
Khentii,2020-01,134
Khovd,2020-01,173
Khuvsgul,2020-01,202
Orkhon,2020-01,216
Selenge,2020-01,145
Sukhbaatar,2020-01,118
Tuv,2020-01,86
Ulaanbaatar,2020-01,3265
Umnugovi,2020-01,156
Uvs,2020-01,152
Uvurkhangai,2020-01,187
Zavkhan,2020-01,112
Arkhangai,2020-02,127
Bayan-Ulgii,2020-02,181
Bayankhongor,2020-02,149
Bulgan,2020-02,62
Darkhan-Uul,2020-02,155
Dornod,2020-02,148
Dornogovi,2020-02,107
Dundgovi,2020-02,60
Govi-Altai,2020-02,101
Govisumber,2020-02,27
Khentii,2020-02,120
Khovd,2020-02,167
Khuvsgul,2020-02,230
Orkhon,2020-02,185
Selenge,2020-02,123
Sukhbaatar,2020-02,87
Tuv,2020-02,101
Ulaanbaatar,2020-02,2989
Umnugovi,2020-02,145
Uvs,2020-02,168
Uvurkhangai,2020-02,192
Zavkhan,2020-02,91
Arkhangai,2020-03,167
Bayan-Ulgii,2020-03,249
Bayankhongor,2020-03,192
Bulgan,2020-03,69
Darkhan-Uul,2020-03,194
Dornod,2020-03,214
Dornogovi,2020-03,105
Dundgovi,2020-03,80
Govi-Altai,2020-03,139
Govisumber,2020-03,33
Khentii,2020-03,157
Khovd,2020-03,211
Khuvsgul,2020-03,226
Orkhon,2020-03,232
Selenge,2020-03,150
Sukhbaatar,2020-03,122
Tuv,2020-03,80
Ulaanbaatar,2020-03,3416
Umnugovi,2020-03,125
Uvs,2020-03,188
Uvurkhangai,2020-03,213
Zavkhan,2020-03,126
Arkhangai,2020-04,156
Bayan-Ulgii,2020-04,274
Bayankhongor,2020-04,162
Bulgan,2020-04,78
Darkhan-Uul,2020-04,212
Dornod,2020-04,156
Dornogovi,2020-04,120
Dundgovi,2020-04,80
Govi-Altai,2020-04,111
Govisumber,2020-04,45
Khentii,2020-04,144
Khovd,2020-04,181
Khuvsgul,2020-04,193
Orkhon,2020-04,213
Selenge,2020-04,137
Sukhbaatar,2020-04,102
Tuv,2020-04,83
Ulaanbaatar,2020-04,3367
Umnugovi,2020-04,131
Uvs,2020-04,169
Uvurkhangai,2020-04,227
Zavkhan,2020-04,111
Arkhangai,2020-05,122
Bayan-Ulgii,2020-05,236
Bayankhongor,2020-05,179
Bulgan,2020-05,67
Darkhan-Uul,2020-05,186
Dornod,2020-05,153
Dornogovi,2020-05,104
Dundgovi,2020-05,91
Govi-Altai,2020-05,125
Govisumber,2020-05,41
Khentii,2020-05,135
Khovd,2020-05,181
Khuvsgul,2020-05,217
Orkhon,2020-05,217
Selenge,2020-05,139
Sukhbaatar,2020-05,111
Tuv,2020-05,108
Ulaanbaatar,2020-05,3442
Umnugovi,2020-05,131
Uvs,2020-05,176
Uvurkhangai,2020-05,201
Zavkhan,2020-05,116
Arkhangai,2020-06,148
Bayan-Ulgii,2020-06,232
Bayankhongor,2020-06,183
Bulgan,2020-06,64
Darkhan-Uul,2020-06,170
Dornod,2020-06,165
Dornogovi,2020-06,103
Dundgovi,2020-06,74
Govi-Altai,2020-06,138
Govisumber,2020-06,41
Khentii,2020-06,125
Khovd,2020-06,215
Khuvsgul,2020-06,220
Orkhon,2020-06,203
Selenge,2020-06,126
Sukhbaatar,2020-06,116
Tuv,2020-06,101
Ulaanbaatar,2020-06,3248
Umnugovi,2020-06,138
Uvs,2020-06,161
Uvurkhangai,2020-06,177
Zavkhan,2020-06,128
Arkhangai,2020-07,145
Bayan-Ulgii,2020-07,244
Bayankhongor,2020-07,166
Bulgan,2020-07,71
Darkhan-Uul,2020-07,203
Dornod,2020-07,165
Dornogovi,2020-07,143
Dundgovi,2020-07,88
Govi-Altai,2020-07,121
Govisumber,2020-07,38
Khentii,2020-07,122
Khovd,2020-07,225
Khuvsgul,2020-07,247
Orkhon,2020-07,238
Selenge,2020-07,137
Sukhbaatar,2020-07,124
Tuv,2020-07,106
Ulaanbaatar,2020-07,3559
Umnugovi,2020-07,141
Uvs,2020-07,179
Uvurkhangai,2020-07,225
Zavkhan,2020-07,128
Arkhangai,2020-08,135
Bayan-Ulgii,2020-08,259
Bayankhongor,2020-08,186
Bulgan,2020-08,57
Darkhan-Uul,2020-08,218
Dornod,2020-08,160
Dornogovi,2020-08,108
Dundgovi,2020-08,61
Govi-Altai,2020-08,140
Govisumber,2020-08,30
Khentii,2020-08,147
Khovd,2020-08,202
Khuvsgul,2020-08,262
Orkhon,2020-08,223
Selenge,2020-08,172
Sukhbaatar,2020-08,103
Tuv,2020-08,77
Ulaanbaatar,2020-08,3422
Umnugovi,2020-08,153
Uvs,2020-08,171
Uvurkhangai,2020-08,196
Zavkhan,2020-08,104
Arkhangai,2020-09,136
Bayan-Ulgii,2020-09,251
Bayankhongor,2020-09,178
Bulgan,2020-09,54
Darkhan-Uul,2020-09,192
Dornod,2020-09,184
Dornogovi,2020-09,129
Dundgovi,2020-09,58
Govi-Altai,2020-09,114
Govisumber,2020-09,33
Khentii,2020-09,99
Khovd,2020-09,186
Khuvsgul,2020-09,240
Orkhon,2020-09,201
Selenge,2020-09,134
Sukhbaatar,2020-09,104
Tuv,2020-09,88
Ulaanbaatar,2020-09,3202
Umnugovi,2020-09,122
Uvs,2020-09,179
Uvurkhangai,2020-09,237
Zavkhan,2020-09,99
Arkhangai,2020-10,124
Bayan-Ulgii,2020-10,253
Bayankhongor,2020-10,156
Bulgan,2020-10,47
Darkhan-Uul,2020-10,177
Dornod,2020-10,162
Dornogovi,2020-10,144
Dundgovi,2020-10,71
Govi-Altai,2020-10,92
Govisumber,2020-10,35
Khentii,2020-10,131
Khovd,2020-10,169
Khuvsgul,2020-10,234
Orkhon,2020-10,213
Selenge,2020-10,152
Sukhbaatar,2020-10,131
Tuv,2020-10,69
Ulaanbaatar,2020-10,3417
Umnugovi,2020-10,121
Uvs,2020-10,148
Uvurkhangai,2020-10,181
Zavkhan,2020-10,120
Arkhangai,2020-11,130
Bayan-Ulgii,2020-11,207
Bayankhongor,2020-11,161
Bulgan,2020-11,49
Darkhan-Uul,2020-11,182
Dornod,2020-11,161
Dornogovi,2020-11,113
Dundgovi,2020-11,73
Govi-Altai,2020-11,118
Govisumber,2020-11,39
Khentii,2020-11,133
Khovd,2020-11,171
Khuvsgul,2020-11,246
Orkhon,2020-11,219
Selenge,2020-11,57
Sukhbaatar,2020-11,118
Tuv,2020-11,84
Ulaanbaatar,2020-11,3227
Umnugovi,2020-11,152
Uvs,2020-11,150
Uvurkhangai,2020-11,182
Zavkhan,2020-11,105
Arkhangai,2020-12,135
Bayan-Ulgii,2020-12,249
Bayankhongor,2020-12,179
Bulgan,2020-12,83
Darkhan-Uul,2020-12,158
Dornod,2020-12,158
Dornogovi,2020-12,136
Dundgovi,2020-12,79
Govi-Altai,2020-12,106
Govisumber,2020-12,36
Khentii,2020-12,132
Khovd,2020-12,193
Khuvsgul,2020-12,211
Orkhon,2020-12,195
Selenge,2020-12,183
Sukhbaatar,2020-12,109
Tuv,2020-12,91
Ulaanbaatar,2020-12,3225
Umnugovi,2020-12,165
Uvs,2020-12,183
Uvurkhangai,2020-12,210
Zavkhan,2020-12,131
Arkhangai,2021-01,139
Bayan-Ulgii,2021-01,212
Bayankhongor,2021-01,121
Bulgan,2021-01,80
Darkhan-Uul,2021-01,165
Dornod,2021-01,148
Dornogovi,2021-01,123
Dundgovi,2021-01,70
Govi-Altai,2021-01,108
Govisumber,2021-01,34
Khentii,2021-01,108
Khovd,2021-01,177
Khuvsgul,2021-01,206
Orkhon,2021-01,199
Selenge,2021-01,122
Sukhbaatar,2021-01,112
Tuv,2021-01,107
Ulaanbaatar,2021-01,3007
Umnugovi,2021-01,137
Uvs,2021-01,133
Uvurkhangai,2021-01,160
Zavkhan,2021-01,103
Arkhangai,2021-02,159
Bayan-Ulgii,2021-02,216
Bayankhongor,2021-02,134
Bulgan,2021-02,84
Darkhan-Uul,2021-02,187
Dornod,2021-02,136
Dornogovi,2021-02,99
Dundgovi,2021-02,58
Govi-Altai,2021-02,104
Govisumber,2021-02,35
Khentii,2021-02,122
Khovd,2021-02,158
Khuvsgul,2021-02,221
Orkhon,2021-02,174
Selenge,2021-02,121
Sukhbaatar,2021-02,121
Tuv,2021-02,96
Ulaanbaatar,2021-02,2840
Umnugovi,2021-02,130
Uvs,2021-02,143
Uvurkhangai,2021-02,169
Zavkhan,2021-02,117
Arkhangai,2021-03,128
Bayan-Ulgii,2021-03,263
Bayankhongor,2021-03,176
Bulgan,2021-03,71
Darkhan-Uul,2021-03,207
Dornod,2021-03,154
Dornogovi,2021-03,157
Dundgovi,2021-03,102
Govi-Altai,2021-03,110
Govisumber,2021-03,41
Khentii,2021-03,153
Khovd,2021-03,177
Khuvsgul,2021-03,227
Orkhon,2021-03,226
Selenge,2021-03,144
Sukhbaatar,2021-03,123
Tuv,2021-03,105
Ulaanbaatar,2021-03,3145
Umnugovi,2021-03,161
Uvs,2021-03,163
Uvurkhangai,2021-03,201
Zavkhan,2021-03,123
Arkhangai,2021-04,145
Bayan-Ulgii,2021-04,239
Bayankhongor,2021-04,182
Bulgan,2021-04,91
Darkhan-Uul,2021-04,191
Dornod,2021-04,144
Dornogovi,2021-04,95
Dundgovi,2021-04,76
Govi-Altai,2021-04,122
Govisumber,2021-04,38
Khentii,2021-04,148
Khovd,2021-04,163
Khuvsgul,2021-04,236
Orkhon,2021-04,228
Selenge,2021-04,135
Sukhbaatar,2021-04,123
Tuv,2021-04,89
Ulaanbaatar,2021-04,3178
Umnugovi,2021-04,151
Uvs,2021-04,150
Uvurkhangai,2021-04,169
Zavkhan,2021-04,114
Arkhangai,2021-05,168
Bayan-Ulgii,2021-05,261
Bayankhongor,2021-05,168
Bulgan,2021-05,84
Darkhan-Uul,2021-05,197
Dornod,2021-05,162
Dornogovi,2021-05,128
Dundgovi,2021-05,79
Govi-Altai,2021-05,124
Govisumber,2021-05,29
Khentii,2021-05,141
Khovd,2021-05,191
Khuvsgul,2021-05,195
Orkhon,2021-05,212
Selenge,2021-05,162
Sukhbaatar,2021-05,106
Tuv,2021-05,102
Ulaanbaatar,2021-05,3115
Umnugovi,2021-05,162
Uvs,2021-05,152
Uvurkhangai,2021-05,187
Zavkhan,2021-05,156
Arkhangai,2021-06,152
Bayan-Ulgii,2021-06,239
Bayankhongor,2021-06,146
Bulgan,2021-06,68
Darkhan-Uul,2021-06,172
Dornod,2021-06,164
Dornogovi,2021-06,141
Dundgovi,2021-06,82
Govi-Altai,2021-06,100
Govisumber,2021-06,49
Khentii,2021-06,134
Khovd,2021-06,172
Khuvsgul,2021-06,233
Orkhon,2021-06,217
Selenge,2021-06,178
Sukhbaatar,2021-06,124
Tuv,2021-06,79
Ulaanbaatar,2021-06,3270
Umnugovi,2021-06,140
Uvs,2021-06,182
Uvurkhangai,2021-06,189
Zavkhan,2021-06,130
Arkhangai,2021-07,159
Bayan-Ulgii,2021-07,274
Bayankhongor,2021-07,163
Bulgan,2021-07,75
Darkhan-Uul,2021-07,204
Dornod,2021-07,158
Dornogovi,2021-07,131
Dundgovi,2021-07,65
Govi-Altai,2021-07,98
Govisumber,2021-07,50
Khentii,2021-07,141
Khovd,2021-07,171
Khuvsgul,2021-07,269
Orkhon,2021-07,245
Selenge,2021-07,164
Sukhbaatar,2021-07,125
Tuv,2021-07,103
Ulaanbaatar,2021-07,3224
Umnugovi,2021-07,127
Uvs,2021-07,150
Uvurkhangai,2021-07,211
Zavkhan,2021-07,128
Arkhangai,2021-08,127
Bayan-Ulgii,2021-08,250
Bayankhongor,2021-08,176
Bulgan,2021-08,69
Darkhan-Uul,2021-08,185
Dornod,2021-08,132
Dornogovi,2021-08,104
Dundgovi,2021-08,61
Govi-Altai,2021-08,117
Govisumber,2021-08,41
Khentii,2021-08,117
Khovd,2021-08,166
Khuvsgul,2021-08,218
Orkhon,2021-08,203
Selenge,2021-08,98
Sukhbaatar,2021-08,100
Tuv,2021-08,86
Ulaanbaatar,2021-08,2972
Umnugovi,2021-08,111
Uvs,2021-08,163
Uvurkhangai,2021-08,185
Zavkhan,2021-08,102
Arkhangai,2021-09,113
Bayan-Ulgii,2021-09,273
Bayankhongor,2021-09,180
Bulgan,2021-09,74
Darkhan-Uul,2021-09,181
Dornod,2021-09,159
Dornogovi,2021-09,126
Dundgovi,2021-09,70
Govi-Altai,2021-09,100
Govisumber,2021-09,38
Khentii,2021-09,110
Khovd,2021-09,178
Khuvsgul,2021-09,208
Orkhon,2021-09,228
Selenge,2021-09,132
Sukhbaatar,2021-09,132
Tuv,2021-09,100
Ulaanbaatar,2021-09,3098
Umnugovi,2021-09,117
Uvs,2021-09,170
Uvurkhangai,2021-09,192
Zavkhan,2021-09,98
Arkhangai,2021-10,147
Bayan-Ulgii,2021-10,243
Bayankhongor,2021-10,127
Bulgan,2021-10,67
Darkhan-Uul,2021-10,183
Dornod,2021-10,144
Dornogovi,2021-10,127
Dundgovi,2021-10,62
Govi-Altai,2021-10,112
Govisumber,2021-10,46
Khentii,2021-10,119
Khovd,2021-10,171
Khuvsgul,2021-10,251
Orkhon,2021-10,212
Selenge,2021-10,132
Sukhbaatar,2021-10,121
Tuv,2021-10,89
Ulaanbaatar,2021-10,3036
Umnugovi,2021-10,129
Uvs,2021-10,168
Uvurkhangai,2021-10,195
Zavkhan,2021-10,74
Arkhangai,2021-11,117
Bayan-Ulgii,2021-11,226
Bayankhongor,2021-11,144
Bulgan,2021-11,48
Darkhan-Uul,2021-11,152
Dornod,2021-11,136
Dornogovi,2021-11,116
Dundgovi,2021-11,64
Govi-Altai,2021-11,96
Govisumber,2021-11,40
Khentii,2021-11,129
Khovd,2021-11,159
Khuvsgul,2021-11,214
Orkhon,2021-11,197
Selenge,2021-11,132
Sukhbaatar,2021-11,92
Tuv,2021-11,88
Ulaanbaatar,2021-11,2852
Umnugovi,2021-11,131
Uvs,2021-11,131
Uvurkhangai,2021-11,199
Zavkhan,2021-11,93
Arkhangai,2021-12,96
Bayan-Ulgii,2021-12,231
Bayankhongor,2021-12,141
Bulgan,2021-12,31
Darkhan-Uul,2021-12,170
Dornod,2021-12,153
Dornogovi,2021-12,111
Dundgovi,2021-12,66
Govi-Altai,2021-12,105
Govisumber,2021-12,37
Khentii,2021-12,102
Khovd,2021-12,152
Khuvsgul,2021-12,178
Orkhon,2021-12,176
Selenge,2021-12,104
Sukhbaatar,2021-12,97
Tuv,2021-12,85
Ulaanbaatar,2021-12,2679
Umnugovi,2021-12,143
Uvs,2021-12,154
Uvurkhangai,2021-12,149
Zavkhan,2021-12,92
Arkhangai,2022-01,96
Bayan-Ulgii,2022-01,202
Bayankhongor,2022-01,111
Bulgan,2022-01,50
Darkhan-Uul,2022-01,101
Dornod,2022-01,121
Dornogovi,2022-01,104
Dundgovi,2022-01,56
Govi-Altai,2022-01,66
Govisumber,2022-01,31
Khentii,2022-01,82
Khovd,2022-01,125
Khuvsgul,2022-01,190
Orkhon,2022-01,177
Selenge,2022-01,79
Sukhbaatar,2022-01,79
Tuv,2022-01,53
Ulaanbaatar,2022-01,2212
Umnugovi,2022-01,85
Uvs,2022-01,113
Uvurkhangai,2022-01,147
Zavkhan,2022-01,72
Arkhangai,2022-02,97
Bayan-Ulgii,2022-02,189
Bayankhongor,2022-02,107
Bulgan,2022-02,45
Darkhan-Uul,2022-02,125
Dornod,2022-02,99
Dornogovi,2022-02,84
Dundgovi,2022-02,48
Govi-Altai,2022-02,62
Govisumber,2022-02,25
Khentii,2022-02,94
Khovd,2022-02,112
Khuvsgul,2022-02,152
Orkhon,2022-02,171
Selenge,2022-02,86
Sukhbaatar,2022-02,72
Tuv,2022-02,62
Ulaanbaatar,2022-02,1934
Umnugovi,2022-02,81
Uvs,2022-02,109
Uvurkhangai,2022-02,138
Zavkhan,2022-02,58
Arkhangai,2022-03,116
Bayan-Ulgii,2022-03,238
Bayankhongor,2022-03,139
Bulgan,2022-03,48
Darkhan-Uul,2022-03,167
Dornod,2022-03,128
Dornogovi,2022-03,92
Dundgovi,2022-03,53
Govi-Altai,2022-03,79
Govisumber,2022-03,19
Khentii,2022-03,101
Khovd,2022-03,126
Khuvsgul,2022-03,176
Orkhon,2022-03,173
Selenge,2022-03,125
Sukhbaatar,2022-03,79
Tuv,2022-03,69
Ulaanbaatar,2022-03,3127
Umnugovi,2022-03,95
Uvs,2022-03,102
Uvurkhangai,2022-03,149
Zavkhan,2022-03,82
Arkhangai,2022-04,120
Bayan-Ulgii,2022-04,211
Bayankhongor,2022-04,126
Bulgan,2022-04,56
Darkhan-Uul,2022-04,152
Dornod,2022-04,134
Dornogovi,2022-04,95
Dundgovi,2022-04,53
Govi-Altai,2022-04,103
Govisumber,2022-04,30
Khentii,2022-04,128
Khovd,2022-04,128
Khuvsgul,2022-04,204
Orkhon,2022-04,189
Selenge,2022-04,118
Sukhbaatar,2022-04,86
Tuv,2022-04,55
Ulaanbaatar,2022-04,2926
Umnugovi,2022-04,107
Uvs,2022-04,163
Uvurkhangai,2022-04,162
Zavkhan,2022-04,98
Arkhangai,2022-05,123
Bayan-Ulgii,2022-05,240
Bayankhongor,2022-05,131
Bulgan,2022-05,53
Darkhan-Uul,2022-05,159
Dornod,2022-05,120
Dornogovi,2022-05,111
Dundgovi,2022-05,70
Govi-Altai,2022-05,88
Govisumber,2022-05,30
Khentii,2022-05,118
Khovd,2022-05,146
Khuvsgul,2022-05,181
Orkhon,2022-05,176
Selenge,2022-05,98
Sukhbaatar,2022-05,94
Tuv,2022-05,83
Ulaanbaatar,2022-05,3087
Umnugovi,2022-05,89
Uvs,2022-05,128
Uvurkhangai,2022-05,154
Zavkhan,2022-05,83
Arkhangai,2022-06,89
Bayan-Ulgii,2022-06,237
Bayankhongor,2022-06,121
Bulgan,2022-06,61
Darkhan-Uul,2022-06,181
Dornod,2022-06,109
Dornogovi,2022-06,93
Dundgovi,2022-06,48
Govi-Altai,2022-06,84
Govisumber,2022-06,34
Khentii,2022-06,107
Khovd,2022-06,171
Khuvsgul,2022-06,174
Orkhon,2022-06,177
Selenge,2022-06,110
Sukhbaatar,2022-06,95
Tuv,2022-06,81
Ulaanbaatar,2022-06,2976
Umnugovi,2022-06,97
Uvs,2022-06,143
Uvurkhangai,2022-06,134
Zavkhan,2022-06,107
Arkhangai,2022-07,109
Bayan-Ulgii,2022-07,234
Bayankhongor,2022-07,156
Bulgan,2022-07,55
Darkhan-Uul,2022-07,188
Dornod,2022-07,130
Dornogovi,2022-07,86
Dundgovi,2022-07,50
Govi-Altai,2022-07,94
Govisumber,2022-07,28
Khentii,2022-07,107
Khovd,2022-07,159
Khuvsgul,2022-07,226
Orkhon,2022-07,200
Selenge,2022-07,118
Sukhbaatar,2022-07,88
Tuv,2022-07,55
Ulaanbaatar,2022-07,3170
Umnugovi,2022-07,98
Uvs,2022-07,134
Uvurkhangai,2022-07,188
Zavkhan,2022-07,111
Arkhangai,2022-08,115
Bayan-Ulgii,2022-08,249
Bayankhongor,2022-08,184
Bulgan,2022-08,59
Darkhan-Uul,2022-08,195
Dornod,2022-08,165
Dornogovi,2022-08,116
Dundgovi,2022-08,64
Govi-Altai,2022-08,87
Govisumber,2022-08,31
Khentii,2022-08,111
Khovd,2022-08,174
Khuvsgul,2022-08,180
Orkhon,2022-08,206
Selenge,2022-08,134
Sukhbaatar,2022-08,117
Tuv,2022-08,77
Ulaanbaatar,2022-08,3197
Umnugovi,2022-08,130
Uvs,2022-08,166
Uvurkhangai,2022-08,192
Zavkhan,2022-08,96
Arkhangai,2022-09,107
Bayan-Ulgii,2022-09,255
Bayankhongor,2022-09,152
Bulgan,2022-09,50
Darkhan-Uul,2022-09,175
Dornod,2022-09,140
Dornogovi,2022-09,114
Dundgovi,2022-09,54
Govi-Altai,2022-09,98
Govisumber,2022-09,45
Khentii,2022-09,118
Khovd,2022-09,160
Khuvsgul,2022-09,223
Orkhon,2022-09,222
Selenge,2022-09,128
Sukhbaatar,2022-09,99
Tuv,2022-09,54
Ulaanbaatar,2022-09,3265
Umnugovi,2022-09,127
Uvs,2022-09,149
Uvurkhangai,2022-09,195
Zavkhan,2022-09,105
Arkhangai,2022-10,124
Bayan-Ulgii,2022-10,235
Bayankhongor,2022-10,159
Bulgan,2022-10,72
Darkhan-Uul,2022-10,172
Dornod,2022-10,150
Dornogovi,2022-10,111
Dundgovi,2022-10,61
Govi-Altai,2022-10,101
Govisumber,2022-10,40
Khentii,2022-10,123
Khovd,2022-10,163
Khuvsgul,2022-10,210
Orkhon,2022-10,229
Selenge,2022-10,120
Sukhbaatar,2022-10,92
Tuv,2022-10,75
Ulaanbaatar,2022-10,3202
Umnugovi,2022-10,118
Uvs,2022-10,182
Uvurkhangai,2022-10,192
Zavkhan,2022-10,103
Arkhangai,2022-11,114
Bayan-Ulgii,2022-11,252
Bayankhongor,2022-11,125
Bulgan,2022-11,50
Darkhan-Uul,2022-11,205
Dornod,2022-11,141
Dornogovi,2022-11,127
Dundgovi,2022-11,69
Govi-Altai,2022-11,90
Govisumber,2022-11,25
Khentii,2022-11,98
Khovd,2022-11,178
Khuvsgul,2022-11,180
Orkhon,2022-11,183
Selenge,2022-11,107
Sukhbaatar,2022-11,93
Tuv,2022-11,76
Ulaanbaatar,2022-11,2914
Umnugovi,2022-11,125
Uvs,2022-11,134
Uvurkhangai,2022-11,170
Zavkhan,2022-11,96
Arkhangai,2022-12,132
Bayan-Ulgii,2022-12,232
Bayankhongor,2022-12,166
Bulgan,2022-12,80
Darkhan-Uul,2022-12,183
Dornod,2022-12,151
Dornogovi,2022-12,117
Dundgovi,2022-12,50
Govi-Altai,2022-12,91
Govisumber,2022-12,40
Khentii,2022-12,111
Khovd,2022-12,163
Khuvsgul,2022-12,203
Orkhon,2022-12,206
Selenge,2022-12,114
Sukhbaatar,2022-12,116
Tuv,2022-12,60
Ulaanbaatar,2022-12,3187
Umnugovi,2022-12,107
Uvs,2022-12,155
Uvurkhangai,2022-12,166
Zavkhan,2022-12,86
Arkhangai,2023-01,128
Bayan-Ulgii,2023-01,217
Bayankhongor,2023-01,138
Bulgan,2023-01,53
Darkhan-Uul,2023-01,168
Dornod,2023-01,134
Dornogovi,2023-01,89
Dundgovi,2023-01,64
Govi-Altai,2023-01,94
Govisumber,2023-01,35
Khentii,2023-01,92
Khovd,2023-01,160
Khuvsgul,2023-01,198
Orkhon,2023-01,194
Selenge,2023-01,123
Sukhbaatar,2023-01,105
Tuv,2023-01,66
Ulaanbaatar,2023-01,2965
Umnugovi,2023-01,111
Uvs,2023-01,149
Uvurkhangai,2023-01,170
Zavkhan,2023-01,95
Arkhangai,2023-02,112
Bayan-Ulgii,2023-02,202
Bayankhongor,2023-02,131
Bulgan,2023-02,56
Darkhan-Uul,2023-02,149
Dornod,2023-02,122
Dornogovi,2023-02,101
Dundgovi,2023-02,61
Govi-Altai,2023-02,81
Govisumber,2023-02,21
Khentii,2023-02,113
Khovd,2023-02,139
Khuvsgul,2023-02,156
Orkhon,2023-02,176
Selenge,2023-02,106
Sukhbaatar,2023-02,94
Tuv,2023-02,71
Ulaanbaatar,2023-02,2590
Umnugovi,2023-02,104
Uvs,2023-02,133
Uvurkhangai,2023-02,168
Zavkhan,2023-02,89
Arkhangai,2023-03,135
Bayan-Ulgii,2023-03,253
Bayankhongor,2023-03,153
Bulgan,2023-03,59
Darkhan-Uul,2023-03,180
Dornod,2023-03,132
Dornogovi,2023-03,93
Dundgovi,2023-03,63
Govi-Altai,2023-03,88
Govisumber,2023-03,46
Khentii,2023-03,127
Khovd,2023-03,175
Khuvsgul,2023-03,199
Orkhon,2023-03,227
Selenge,2023-03,120
Sukhbaatar,2023-03,116
Tuv,2023-03,83
Ulaanbaatar,2023-03,3080
Umnugovi,2023-03,114
Uvs,2023-03,166
Uvurkhangai,2023-03,207
Zavkhan,2023-03,113
Arkhangai,2023-04,138
Bayan-Ulgii,2023-04,247
Bayankhongor,2023-04,123
Bulgan,2023-04,46
Darkhan-Uul,2023-04,186
Dornod,2023-04,135
Dornogovi,2023-04,79
Dundgovi,2023-04,56
Govi-Altai,2023-04,86
Govisumber,2023-04,31
Khentii,2023-04,111
Khovd,2023-04,154
Khuvsgul,2023-04,203
Orkhon,2023-04,167
Selenge,2023-04,110
Sukhbaatar,2023-04,121
Tuv,2023-04,86
Ulaanbaatar,2023-04,2945
Umnugovi,2023-04,121
Uvs,2023-04,181
Uvurkhangai,2023-04,156
Zavkhan,2023-04,110
Arkhangai,2023-05,111
Bayan-Ulgii,2023-05,229
Bayankhongor,2023-05,137
Bulgan,2023-05,52
Darkhan-Uul,2023-05,159
Dornod,2023-05,122
Dornogovi,2023-05,94
Dundgovi,2023-05,53
Govi-Altai,2023-05,81
Govisumber,2023-05,32
Khentii,2023-05,102
Khovd,2023-05,162
Khuvsgul,2023-05,186
Orkhon,2023-05,202
Selenge,2023-05,109
Sukhbaatar,2023-05,109
Tuv,2023-05,77
Ulaanbaatar,2023-05,3059
Umnugovi,2023-05,114
Uvs,2023-05,153
Uvurkhangai,2023-05,168
Zavkhan,2023-05,99
Arkhangai,2023-06,96
Bayan-Ulgii,2023-06,220
Bayankhongor,2023-06,137
Bulgan,2023-06,58
Darkhan-Uul,2023-06,169
Dornod,2023-06,123
Dornogovi,2023-06,89
Dundgovi,2023-06,58
Govi-Altai,2023-06,74
Govisumber,2023-06,25
Khentii,2023-06,106
Khovd,2023-06,175
Khuvsgul,2023-06,179
Orkhon,2023-06,181
Selenge,2023-06,116
Sukhbaatar,2023-06,95
Tuv,2023-06,59
Ulaanbaatar,2023-06,2881
Umnugovi,2023-06,129
