region,month,births
Dornod,2016-11,152
Dornogovi,2016-11,147
Dundgovi,2016-11,78
Govi-Altai,2016-11,92
Govisumber,2016-11,35
Khentii,2016-11,131
Khovd,2016-11,173
Khuvsgul,2016-11,271
Orkhon,2016-11,235
Selenge,2016-11,149
Sukhbaatar,2016-11,99
Tuv,2016-11,106
Ulaanbaatar,2016-11,3222
Umnugovi,2016-11,125
Uvs,2016-11,179
Uvurkhangai,2016-11,210
Zavkhan,2016-11,103
Arkhangai,2016-12,131
Bayan-Ulgii,2016-12,249
Bayankhongor,2016-12,142
Bulgan,2016-12,65
Darkhan-Uul,2016-12,171
Dornod,2016-12,155
Dornogovi,2016-12,84
Dundgovi,2016-12,59
Govi-Altai,2016-12,77
Govisumber,2016-12,28
Khentii,2016-12,144
Khovd,2016-12,174
Khuvsgul,2016-12,222
Orkhon,2016-12,198
Selenge,2016-12,122
Sukhbaatar,2016-12,95
Tuv,2016-12,97
Ulaanbaatar,2016-12,3221
Umnugovi,2016-12,113
Uvs,2016-12,143
Uvurkhangai,2016-12,205
Zavkhan,2016-12,99
Arkhangai,2017-01,158
Bayan-Ulgii,2017-01,217
Bayankhongor,2017-01,130
Bulgan,2017-01,67
Darkhan-Uul,2017-01,159
Dornod,2017-01,150
Dornogovi,2017-01,112
Dundgovi,2017-01,67
Govi-Altai,2017-01,87
Govisumber,2017-01,33
Khentii,2017-01,110
Khovd,2017-01,155
Khuvsgul,2017-01,209
Orkhon,2017-01,183
Selenge,2017-01,120
Sukhbaatar,2017-01,104
Tuv,2017-01,102
Ulaanbaatar,2017-01,2823
Umnugovi,2017-01,92
Uvs,2017-01,134
Uvurkhangai,2017-01,193
Zavkhan,2017-01,97
Arkhangai,2017-02,134
Bayan-Ulgii,2017-02,220
Bayankhongor,2017-02,134
Bulgan,2017-02,70
Darkhan-Uul,2017-02,148
Dornod,2017-02,126
Dornogovi,2017-02,77
Dundgovi,2017-02,68
Govi-Altai,2017-02,63
Govisumber,2017-02,30
Khentii,2017-02,101
Khovd,2017-02,142
Khuvsgul,2017-02,170
Orkhon,2017-02,149
Selenge,2017-02,91
Sukhbaatar,2017-02,68
Tuv,2017-02,83
Ulaanbaatar,2017-02,2428
Umnugovi,2017-02,69
Uvs,2017-02,143
Uvurkhangai,2017-02,159
Zavkhan,2017-02,98
Arkhangai,2017-03,190
Bayan-Ulgii,2017-03,257
Bayankhongor,2017-03,176
Bulgan,2017-03,58
Darkhan-Uul,2017-03,209
Dornod,2017-03,181
Dornogovi,2017-03,119
Dundgovi,2017-03,82
Govi-Altai,2017-03,112
Govisumber,2017-03,34
Khentii,2017-03,103
Khovd,2017-03,193
Khuvsgul,2017-03,220
Orkhon,2017-03,209
Selenge,2017-03,181
Sukhbaatar,2017-03,109
Tuv,2017-03,100
Ulaanbaatar,2017-03,3247
Umnugovi,2017-03,108
Uvs,2017-03,171
Uvurkhangai,2017-03,197
Zavkhan,2017-03,113
Arkhangai,2017-04,165
Bayan-Ulgii,2017-04,248
Bayankhongor,2017-04,152
Bulgan,2017-04,70
Darkhan-Uul,2017-04,183
Dornod,2017-04,161
Dornogovi,2017-04,102
Dundgovi,2017-04,63
Govi-Altai,2017-04,101
Govisumber,2017-04,24
Khentii,2017-04,124
Khovd,2017-04,188
Khuvsgul,2017-04,271
Orkhon,2017-04,204
Selenge,2017-04,127
Sukhbaatar,2017-04,109
Tuv,2017-04,115
Ulaanbaatar,2017-04,3183
Umnugovi,2017-04,105
Uvs,2017-04,161
Uvurkhangai,2017-04,197
Zavkhan,2017-04,95
Arkhangai,2017-05,148
Bayan-Ulgii,2017-05,237
Bayankhongor,2017-05,190
Bulgan,2017-05,76
Darkhan-Uul,2017-05,179
Dornod,2017-05,141
Dornogovi,2017-05,113
Dundgovi,2017-05,75
Govi-Altai,2017-05,106
Govisumber,2017-05,36
Khentii,2017-05,142
Khovd,2017-05,224
Khuvsgul,2017-05,220
Orkhon,2017-05,220
Selenge,2017-05,154
Sukhbaatar,2017-05,105
Tuv,2017-05,111
Ulaanbaatar,2017-05,3288
Umnugovi,2017-05,102
Uvs,2017-05,203
Uvurkhangai,2017-05,181
Zavkhan,2017-05,102
Arkhangai,2017-06,151
Bayan-Ulgii,2017-06,268
Bayankhongor,2017-06,167
Bulgan,2017-06,73
Darkhan-Uul,2017-06,178
Dornod,2017-06,158
Dornogovi,2017-06,115
Dundgovi,2017-06,76
Govi-Altai,2017-06,108
Govisumber,2017-06,42
Khentii,2017-06,128
Khovd,2017-06,188
Khuvsgul,2017-06,239
Orkhon,2017-06,213
Selenge,2017-06,132
Sukhbaatar,2017-06,94
Tuv,2017-06,100
Ulaanbaatar,2017-06,3340
Umnugovi,2017-06,86
Uvs,2017-06,188
Uvurkhangai,2017-06,189
Zavkhan,2017-06,160
Arkhangai,2017-07,188
Bayan-Ulgii,2017-07,249
Bayankhongor,2017-07,163
Bulgan,2017-07,74
Darkhan-Uul,2017-07,204
