сар,аймаг_үзүүлэлт,утга
2021-05,Хөвсгөл — Нийт зөвшөөрөл (тоо),22.0
2021-05,Хөвсгөл — Хайгуулын зөвшөөрөл (тоо),1.0
2021-05,Хөвсгөл — Хайгуулын талбай (мян.га),0.3
2021-05,Өвөрхангай — Ашиглалтын зөвшөөрөл (тоо),27.0
2021-05,Өвөрхангай — Ашиглалтын талбай (мян.га),15.3
2021-05,Өвөрхангай — Нийт зөвшөөрөгдсөн талбай (мян.га),97.2
2021-05,Өвөрхангай — Нийт зөвшөөрөл (тоо),41.0
2021-05,Өвөрхангай — Хайгуулын зөвшөөрөл (тоо),14.0
2021-05,Өвөрхангай — Хайгуулын талбай (мян.га),81.9
2021-05,Өмнөговь — Ашиглалтын зөвшөөрөл (тоо),104.0
2021-05,Өмнөговь — Ашиглалтын талбай (мян.га),479.7
2021-05,Өмнөговь — Нийт зөвшөөрөгдсөн талбай (мян.га),925.0
2021-05,Өмнөговь — Нийт зөвшөөрөл (тоо),161.0
2021-05,Өмнөговь — Хайгуулын зөвшөөрөл (тоо),57.0
2021-05,Өмнөговь — Хайгуулын талбай (мян.га),445.3
2021-06,Архангай — Ашиглалтын зөвшөөрөл (тоо),18.0
2021-06,Архангай — Ашиглалтын талбай (мян.га),10.7
2021-06,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),24.5
2021-06,Архангай — Нийт зөвшөөрөл (тоо),26.0
2021-06,Архангай — Хайгуулын зөвшөөрөл (тоо),8.0
2021-06,Архангай — Хайгуулын талбай (мян.га),13.8
2021-06,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),29.0
2021-06,Баян-Өлгий — Ашиглалтын талбай (мян.га),16.4
2021-06,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),151.4
2021-06,Баян-Өлгий — Нийт зөвшөөрөл (тоо),54.0
2021-06,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),25.0
2021-06,Баян-Өлгий — Хайгуулын талбай (мян.га),135.0
2021-06,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),91.0
2021-06,Баянхонгор — Ашиглалтын талбай (мян.га),124.7
2021-06,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),345.4
2021-06,Баянхонгор — Нийт зөвшөөрөл (тоо),137.0
2021-06,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),46.0
2021-06,Баянхонгор — Хайгуулын талбай (мян.га),220.7
2021-06,Булган — Ашиглалтын зөвшөөрөл (тоо),78.0
2021-06,Булган — Ашиглалтын талбай (мян.га),41.6
2021-06,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),88.7
2021-06,Булган — Нийт зөвшөөрөл (тоо),103.0
2021-06,Булган — Хайгуулын зөвшөөрөл (тоо),25.0
2021-06,Булган — Хайгуулын талбай (мян.га),47.1
2021-06,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-06,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-06,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),581.9
2021-06,Говь-Алтай — Нийт зөвшөөрөл (тоо),134.0
2021-06,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),79.0
2021-06,Говь-Алтай — Хайгуулын талбай (мян.га),489.7
2021-06,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-06,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-06,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-06,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-06,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-06,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-06,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-06,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-06,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),9.1
2021-06,Дархан-Уул — Нийт зөвшөөрөл (тоо),66.0
2021-06,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),5.0
2021-06,Дархан-Уул — Хайгуулын талбай (мян.га),1.5
2021-06,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),203.0
2021-06,Дорноговь — Ашиглалтын талбай (мян.га),261.9
2021-06,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1069.9
2021-06,Дорноговь — Нийт зөвшөөрөл (тоо),333.0
2021-06,Дорноговь — Хайгуулын зөвшөөрөл (тоо),130.0
2021-06,Дорноговь — Хайгуулын талбай (мян.га),808.0
2021-06,Дорнод — Ашиглалтын зөвшөөрөл (тоо),73.0
2021-06,Дорнод — Ашиглалтын талбай (мян.га),63.7
2021-06,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),540.5
2021-06,Дорнод — Нийт зөвшөөрөл (тоо),154.0
2021-06,Дорнод — Хайгуулын зөвшөөрөл (тоо),81.0
2021-06,Дорнод — Хайгуулын талбай (мян.га),476.9
2021-06,Дундговь — Ашиглалтын зөвшөөрөл (тоо),113.0
2021-06,Дундговь — Ашиглалтын талбай (мян.га),175.6
2021-06,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),592.6
2021-06,Дундговь — Нийт зөвшөөрөл (тоо),192.0
2021-06,Дундговь — Хайгуулын зөвшөөрөл (тоо),79.0
2021-06,Дундговь — Хайгуулын талбай (мян.га),417.1
2021-06,Завхан — Ашиглалтын зөвшөөрөл (тоо),12.0
2021-06,Завхан — Ашиглалтын талбай (мян.га),18.6
2021-06,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),166.2
2021-06,Завхан — Нийт зөвшөөрөл (тоо),46.0
2021-06,Завхан — Хайгуулын зөвшөөрөл (тоо),34.0
2021-06,Завхан — Хайгуулын талбай (мян.га),147.6
2021-06,Орхон — Ашиглалтын зөвшөөрөл (тоо),8.0
2021-06,Орхон — Ашиглалтын талбай (мян.га),11.0
2021-06,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.0
2021-06,Орхон — Нийт зөвшөөрөл (тоо),8.0
2021-06,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-06,Орхон — Хайгуулын талбай (мян.га),0.0
2021-06,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),140.0
2021-06,Сэлэнгэ — Ашиглалтын талбай (мян.га),42.2
2021-06,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),84.7
2021-06,Сэлэнгэ — Нийт зөвшөөрөл (тоо),172.0
2021-06,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),32.0
2021-06,Сэлэнгэ — Хайгуулын талбай (мян.га),42.5
2021-06,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-06,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-06,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),248.0
2021-06,Сүхбаатар — Нийт зөвшөөрөл (тоо),91.0
2021-06,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),19.0
2021-06,Сүхбаатар — Хайгуулын талбай (мян.га),179.8
2021-06,Төв — Ашиглалтын зөвшөөрөл (тоо),307.0
2021-06,Төв — Ашиглалтын талбай (мян.га),158.5
2021-06,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),349.5
2021-06,Төв — Нийт зөвшөөрөл (тоо),382.0
2021-06,Төв — Хайгуулын зөвшөөрөл (тоо),75.0
2021-06,Төв — Хайгуулын талбай (мян.га),191.0
2021-06,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-06,Увс — Ашиглалтын талбай (мян.га),19.9
2021-06,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),283.6
2021-06,Увс — Нийт зөвшөөрөл (тоо),107.0
2021-06,Увс — Хайгуулын зөвшөөрөл (тоо),65.0
2021-06,Увс — Хайгуулын талбай (мян.га),263.7
2021-06,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),150.0
2021-06,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-06,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),14.0
2021-06,Улаанбаатар — Нийт зөвшөөрөл (тоо),156.0
2021-06,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),6.0
2021-06,Улаанбаатар — Хайгуулын талбай (мян.га),0.9
2021-06,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-06,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-06,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),217.2
2021-06,Ховд — Нийт зөвшөөрөл (тоо),89.0
2021-06,Ховд — Хайгуулын зөвшөөрөл (тоо),52.0
2021-06,Ховд — Хайгуулын талбай (мян.га),200.0
2021-06,Хэнтий — Ашиглалтын зөвшөөрөл (тоо),125.0
2021-06,Хэнтий — Ашиглалтын талбай (мян.га),54.3
2021-06,Хэнтий — Нийт зөвшөөрөгдсөн талбай (мян.га),299.3
2021-06,Хэнтий — Нийт зөвшөөрөл (тоо),212.0
2021-06,Хэнтий — Хайгуулын зөвшөөрөл (тоо),87.0
2021-06,Хэнтий — Хайгуулын талбай (мян.га),245.0
2021-06,Хөвсгөл — Ашиглалтын зөвшөөрөл (тоо),21.0
2021-06,Хөвсгөл — Ашиглалтын талбай (мян.га),10.3
2021-06,Хөвсгөл — Нийт зөвшөөрөгдсөн талбай (мян.га),10.6
2021-06,Хөвсгөл — Нийт зөвшөөрөл (тоо),22.0
2021-06,Хөвсгөл — Хайгуулын зөвшөөрөл (тоо),1.0
2021-06,Хөвсгөл — Хайгуулын талбай (мян.га),0.3
2021-06,Өвөрхангай — Ашиглалтын зөвшөөрөл (тоо),27.0
2021-06,Өвөрхангай — Ашиглалтын талбай (мян.га),15.3
2021-06,Өвөрхангай — Нийт зөвшөөрөгдсөн талбай (мян.га),101.2
2021-06,Өвөрхангай — Нийт зөвшөөрөл (тоо),43.0
2021-06,Өвөрхангай — Хайгуулын зөвшөөрөл (тоо),16.0
2021-06,Өвөрхангай — Хайгуулын талбай (мян.га),85.9
2021-06,Өмнөговь — Ашиглалтын зөвшөөрөл (тоо),104.0
2021-06,Өмнөговь — Ашиглалтын талбай (мян.га),479.7
2021-06,Өмнөговь — Нийт зөвшөөрөгдсөн талбай (мян.га),926.4
2021-06,Өмнөговь — Нийт зөвшөөрөл (тоо),159.0
2021-06,Өмнөговь — Хайгуулын зөвшөөрөл (тоо),55.0
2021-06,Өмнөговь — Хайгуулын талбай (мян.га),446.6
2021-07,Архангай — Ашиглалтын зөвшөөрөл (тоо),19.0
2021-07,Архангай — Ашиглалтын талбай (мян.га),11.5
2021-07,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),25.2
2021-07,Архангай — Нийт зөвшөөрөл (тоо),27.0
2021-07,Архангай — Хайгуулын зөвшөөрөл (тоо),8.0
2021-07,Архангай — Хайгуулын талбай (мян.га),13.8
2021-07,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),29.0
2021-07,Баян-Өлгий — Ашиглалтын талбай (мян.га),16.4
2021-07,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),154.7
2021-07,Баян-Өлгий — Нийт зөвшөөрөл (тоо),57.0
2021-07,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),28.0
2021-07,Баян-Өлгий — Хайгуулын талбай (мян.га),138.3
2021-07,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),91.0
2021-07,Баянхонгор — Ашиглалтын талбай (мян.га),124.7
2021-07,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),345.4
2021-07,Баянхонгор — Нийт зөвшөөрөл (тоо),137.0
2021-07,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),46.0
2021-07,Баянхонгор — Хайгуулын талбай (мян.га),220.7
2021-07,Булган — Ашиглалтын зөвшөөрөл (тоо),79.0
2021-07,Булган — Ашиглалтын талбай (мян.га),41.6
2021-07,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),92.1
2021-07,Булган — Нийт зөвшөөрөл (тоо),106.0
2021-07,Булган — Хайгуулын зөвшөөрөл (тоо),27.0
2021-07,Булган — Хайгуулын талбай (мян.га),50.5
2021-07,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-07,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-07,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),580.6
2021-07,Говь-Алтай — Нийт зөвшөөрөл (тоо),132.0
2021-07,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),77.0
2021-07,Говь-Алтай — Хайгуулын талбай (мян.га),488.4
2021-07,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-07,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-07,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-07,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-07,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-07,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-07,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-07,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-07,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),9.1
2021-07,Дархан-Уул — Нийт зөвшөөрөл (тоо),66.0
2021-07,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),5.0
2021-07,Дархан-Уул — Хайгуулын талбай (мян.га),1.5
2021-07,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),204.0
2021-07,Дорноговь — Ашиглалтын талбай (мян.га),262.0
2021-07,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1100.8
2021-07,Дорноговь — Нийт зөвшөөрөл (тоо),339.0
2021-07,Дорноговь — Хайгуулын зөвшөөрөл (тоо),135.0
2021-07,Дорноговь — Хайгуулын талбай (мян.га),838.8
2021-07,Дорнод — Ашиглалтын зөвшөөрөл (тоо),74.0
2021-07,Дорнод — Ашиглалтын талбай (мян.га),68.9
2021-07,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),539.7
2021-07,Дорнод — Нийт зөвшөөрөл (тоо),156.0
2021-07,Дорнод — Хайгуулын зөвшөөрөл (тоо),82.0
2021-07,Дорнод — Хайгуулын талбай (мян.га),470.7
2021-07,Дундговь — Ашиглалтын зөвшөөрөл (тоо),114.0
2021-07,Дундговь — Ашиглалтын талбай (мян.га),176.0
2021-07,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),592.6
2021-07,Дундговь — Нийт зөвшөөрөл (тоо),193.0
2021-07,Дундговь — Хайгуулын зөвшөөрөл (тоо),79.0
2021-07,Дундговь — Хайгуулын талбай (мян.га),416.7
2021-07,Завхан — Ашиглалтын зөвшөөрөл (тоо),12.0
2021-07,Завхан — Ашиглалтын талбай (мян.га),18.6
2021-07,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),166.7
2021-07,Завхан — Нийт зөвшөөрөл (тоо),49.0
2021-07,Завхан — Хайгуулын зөвшөөрөл (тоо),37.0
2021-07,Завхан — Хайгуулын талбай (мян.га),148.2
2021-07,Орхон — Ашиглалтын зөвшөөрөл (тоо),8.0
2021-07,Орхон — Ашиглалтын талбай (мян.га),11.0
2021-07,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.0
2021-07,Орхон — Нийт зөвшөөрөл (тоо),8.0
2021-07,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-07,Орхон — Хайгуулын талбай (мян.га),0.0
2021-07,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),140.0
2021-07,Сэлэнгэ — Ашиглалтын талбай (мян.га),42.2
2021-07,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),84.8
2021-07,Сэлэнгэ — Нийт зөвшөөрөл (тоо),173.0
2021-07,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),33.0
2021-07,Сэлэнгэ — Хайгуулын талбай (мян.га),42.6
2021-07,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-07,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-07,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),248.0
2021-07,Сүхбаатар — Нийт зөвшөөрөл (тоо),91.0
2021-07,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),19.0
2021-07,Сүхбаатар — Хайгуулын талбай (мян.га),179.8
2021-07,Төв — Ашиглалтын зөвшөөрөл (тоо),307.0
2021-07,Төв — Ашиглалтын талбай (мян.га),158.5
2021-07,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),379.8
2021-07,Төв — Нийт зөвшөөрөл (тоо),388.0
2021-07,Төв — Хайгуулын зөвшөөрөл (тоо),81.0
2021-07,Төв — Хайгуулын талбай (мян.га),221.3
2021-07,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-07,Увс — Ашиглалтын талбай (мян.га),19.9
2021-07,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),291.3
2021-07,Увс — Нийт зөвшөөрөл (тоо),107.0
2021-07,Увс — Хайгуулын зөвшөөрөл (тоо),65.0
2021-07,Увс — Хайгуулын талбай (мян.га),271.4
2021-07,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),150.0
2021-07,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-07,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),13.3
2021-07,Улаанбаатар — Нийт зөвшөөрөл (тоо),155.0
2021-07,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),5.0
2021-07,Улаанбаатар — Хайгуулын талбай (мян.га),0.2
2021-07,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-07,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-07,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),217.2
2021-07,Ховд — Нийт зөвшөөрөл (тоо),89.0
2021-07,Ховд — Хайгуулын зөвшөөрөл (тоо),52.0
2021-07,Ховд — Хайгуулын талбай (мян.га),200.0
2021-07,Хэнтий — Ашиглалтын зөвшөөрөл (тоо),125.0
2021-07,Хэнтий — Ашиглалтын талбай (мян.га),54.3
2021-07,Хэнтий — Нийт зөвшөөрөгдсөн талбай (мян.га),300.0
2021-07,Хэнтий — Нийт зөвшөөрөл (тоо),213.0
2021-07,Хэнтий — Хайгуулын зөвшөөрөл (тоо),88.0
2021-07,Хэнтий — Хайгуулын талбай (мян.га),245.7
2021-07,Хөвсгөл — Ашиглалтын зөвшөөрөл (тоо),21.0
2021-07,Хөвсгөл — Ашиглалтын талбай (мян.га),10.3
2021-07,Хөвсгөл — Нийт зөвшөөрөгдсөн талбай (мян.га),10.6
2021-07,Хөвсгөл — Нийт зөвшөөрөл (тоо),22.0
2021-07,Хөвсгөл — Хайгуулын зөвшөөрөл (тоо),1.0
2021-07,Хөвсгөл — Хайгуулын талбай (мян.га),0.3
2021-07,Өвөрхангай — Ашиглалтын зөвшөөрөл (тоо),27.0
2021-07,Өвөрхангай — Ашиглалтын талбай (мян.га),15.3
2021-07,Өвөрхангай — Нийт зөвшөөрөгдсөн талбай (мян.га),114.8
2021-07,Өвөрхангай — Нийт зөвшөөрөл (тоо),47.0
2021-07,Өвөрхангай — Хайгуулын зөвшөөрөл (тоо),20.0
2021-07,Өвөрхангай — Хайгуулын талбай (мян.га),99.5
2021-07,Өмнөговь — Ашиглалтын зөвшөөрөл (тоо),105.0
2021-07,Өмнөговь — Ашиглалтын талбай (мян.га),480.9
2021-07,Өмнөговь — Нийт зөвшөөрөгдсөн талбай (мян.га),932.7
2021-07,Өмнөговь — Нийт зөвшөөрөл (тоо),160.0
2021-07,Өмнөговь — Хайгуулын зөвшөөрөл (тоо),55.0
2021-07,Өмнөговь — Хайгуулын талбай (мян.га),451.8
2021-08,Архангай — Ашиглалтын зөвшөөрөл (тоо),21.0
2021-08,Архангай — Ашиглалтын талбай (мян.га),11.8
2021-08,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),31.7
2021-08,Архангай — Нийт зөвшөөрөл (тоо),31.0
2021-08,Архангай — Хайгуулын зөвшөөрөл (тоо),10.0
2021-08,Архангай — Хайгуулын талбай (мян.га),19.8
2021-08,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),29.0
2021-08,Баян-Өлгий — Ашиглалтын талбай (мян.га),16.4
2021-08,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),156.8
2021-08,Баян-Өлгий — Нийт зөвшөөрөл (тоо),59.0
2021-08,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),30.0
2021-08,Баян-Өлгий — Хайгуулын талбай (мян.га),140.4
2021-08,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),91.0
2021-08,Баянхонгор — Ашиглалтын талбай (мян.га),124.7
2021-08,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),344.8
2021-08,Баянхонгор — Нийт зөвшөөрөл (тоо),136.0
2021-08,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),45.0
2021-08,Баянхонгор — Хайгуулын талбай (мян.га),220.1
2021-08,Булган — Ашиглалтын зөвшөөрөл (тоо),80.0
2021-08,Булган — Ашиглалтын талбай (мян.га),41.6
2021-08,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),91.8
2021-08,Булган — Нийт зөвшөөрөл (тоо),106.0
2021-08,Булган — Хайгуулын зөвшөөрөл (тоо),26.0
2021-08,Булган — Хайгуулын талбай (мян.га),50.3
2021-08,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-08,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-08,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),564.6
2021-08,Говь-Алтай — Нийт зөвшөөрөл (тоо),131.0
2021-08,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),76.0
2021-08,Говь-Алтай — Хайгуулын талбай (мян.га),472.4
2021-08,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-08,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-08,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-08,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-08,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-08,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-08,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-08,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-08,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),9.1
2021-08,Дархан-Уул — Нийт зөвшөөрөл (тоо),66.0
2021-08,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),5.0
2021-08,Дархан-Уул — Хайгуулын талбай (мян.га),1.5
2021-08,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),205.0
2021-08,Дорноговь — Ашиглалтын талбай (мян.га),263.2
2021-08,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1104.6
2021-08,Дорноговь — Нийт зөвшөөрөл (тоо),339.0
2021-08,Дорноговь — Хайгуулын зөвшөөрөл (тоо),134.0
2021-08,Дорноговь — Хайгуулын талбай (мян.га),841.4
2021-08,Дорнод — Ашиглалтын зөвшөөрөл (тоо),74.0
2021-08,Дорнод — Ашиглалтын талбай (мян.га),68.9
2021-08,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),534.2
2021-08,Дорнод — Нийт зөвшөөрөл (тоо),155.0
2021-08,Дорнод — Хайгуулын зөвшөөрөл (тоо),81.0
2021-08,Дорнод — Хайгуулын талбай (мян.га),465.2
2021-08,Дундговь — Ашиглалтын зөвшөөрөл (тоо),114.0
2021-08,Дундговь — Ашиглалтын талбай (мян.га),176.0
2021-08,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),609.9
2021-08,Дундговь — Нийт зөвшөөрөл (тоо),194.0
2021-08,Дундговь — Хайгуулын зөвшөөрөл (тоо),80.0
2021-08,Дундговь — Хайгуулын талбай (мян.га),434.0
2021-08,Завхан — Ашиглалтын зөвшөөрөл (тоо),12.0
2021-08,Завхан — Ашиглалтын талбай (мян.га),18.6
2021-08,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),186.0
2021-08,Завхан — Нийт зөвшөөрөл (тоо),51.0
2021-08,Завхан — Хайгуулын зөвшөөрөл (тоо),39.0
2021-08,Завхан — Хайгуулын талбай (мян.га),167.5
2021-08,Орхон — Ашиглалтын зөвшөөрөл (тоо),9.0
2021-08,Орхон — Ашиглалтын талбай (мян.га),11.1
2021-08,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.1
2021-08,Орхон — Нийт зөвшөөрөл (тоо),9.0
2021-08,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-08,Орхон — Хайгуулын талбай (мян.га),0.0
2021-08,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),139.0
2021-08,Сэлэнгэ — Ашиглалтын талбай (мян.га),42.1
2021-08,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),85.1
2021-08,Сэлэнгэ — Нийт зөвшөөрөл (тоо),173.0
2021-08,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),34.0
2021-08,Сэлэнгэ — Хайгуулын талбай (мян.га),43.0
2021-08,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-08,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-08,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),244.4
2021-08,Сүхбаатар — Нийт зөвшөөрөл (тоо),90.0
2021-08,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),18.0
2021-08,Сүхбаатар — Хайгуулын талбай (мян.га),176.2
2021-08,Төв — Ашиглалтын зөвшөөрөл (тоо),308.0
2021-08,Төв — Ашиглалтын талбай (мян.га),158.7
2021-08,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),374.3
2021-08,Төв — Нийт зөвшөөрөл (тоо),389.0
2021-08,Төв — Хайгуулын зөвшөөрөл (тоо),81.0
2021-08,Төв — Хайгуулын талбай (мян.га),215.6
2021-08,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-08,Увс — Ашиглалтын талбай (мян.га),19.9
2021-08,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),278.1
2021-08,Увс — Нийт зөвшөөрөл (тоо),107.0
2021-08,Увс — Хайгуулын зөвшөөрөл (тоо),65.0
2021-08,Увс — Хайгуулын талбай (мян.га),258.3
2021-08,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),150.0
2021-08,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-08,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),13.3
2021-08,Улаанбаатар — Нийт зөвшөөрөл (тоо),155.0
2021-08,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),5.0
2021-08,Улаанбаатар — Хайгуулын талбай (мян.га),0.2
2021-08,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-08,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-08,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),219.6
2021-08,Ховд — Нийт зөвшөөрөл (тоо),90.0
2021-08,Ховд — Хайгуулын зөвшөөрөл (тоо),53.0
