улс,он,экспорт_сая_ам_дол
Филиппин,2007,0.0
Финлянд,2007,3.0
Франц,2007,5411.4
ХБНГУ,2007,17775.4
Хорват,2007,0.0
Чад,2007,0.0
Чехийн БНУ,2007,72.4
Чили,2007,6.8
Швед,2007,104.6
Швейцарь,2007,1768.5
Шинэ Зеланд,2007,19.1
Шри Ланк,2007,0.0
Эквадор,2007,0.0
Энэтхэг,2007,2211.3
Эстон,2007,3906.3
Этиоп,2007,0.0
Япон,2007,15088.5
Өмнөд Африкийн Бүгд Найрамдах Улс,2007,193.3
АНУ,2008,114232.6
Австрали,2008,1555.9
Австри,2008,1171.4
Азербайжан,2008,7.5
Америкийн Самао,2008,0.0
Ангол,2008,0.0
Арабын Нэгдсэн Эмират,2008,3305.7
Аргентин,2008,0.0
Армен,2008,0.0
Аруба,2008,0.0
БНАСAУ,2008,38.2
БНСУ,2008,29892.0
БНХАУ,2008,1635942.4
Балба,2008,344.5
Бангладеш,2008,0.0
Беларусь,2008,28.3
Бельги,2008,495.6
Болгар,2008,38.2
Боливи,2008,0.0
Бразил,2008,0.0
Буркина-Фасо,2008,0.0
Вануату,2008,0.0
Вьетнам,2008,855.2
Грек,2008,0.0
Гренланд,2008,0.0
Гүрж,2008,39.1
Дани,2008,11.4
Дүн,2008,2534466.4
Европын холбоо,2008,268601.0
Египет,2008,364.9
Зүүн Хойд Ази,2008,1693461.6
Зүүн Өмнөд Ази,2008,2528.9
Израиль,2008,155.7
Индонез,2008,603.9
Иордан,2008,0.0
Иран,2008,0.0
Ирланд,2008,119.6
Испани,2008,169.4
Итали,2008,42218.4
Их Британи,2008,165825.0
Казакстан,2008,1205.2
Камбож,2008,357.8
Канад,2008,174597.0
Катар,2008,1200.8
Кени,2008,0.9
Кипр,2008,0.0
Киргиз,2008,1561.5
Колумби,2008,0.0
Кот д Ивуар,2008,0.0
Куба,2008,765.2
Кувейт,2008,1399.4
Лаос,2008,0.0
Латви,2008,0.0
Ливан,2008,0.0
Литва,2008,5.5
Лихтенштейн Вант улс,2008,0.0
Люксембург,2008,161961.0
Малайз,2008,1.9
Мальта,2008,0.0
Марокко,2008,0.0
Мексик,2008,16.0
Молдав,2008,102.4
Монако,2008,0.0
Мьянмар,2008,0.0
Нигери,2008,0.0
Нидерланд,2008,5963.4
Норвеги,2008,274.6
ОХУ,2008,86318.0
Пакистан,2008,0.1
Панам,2008,0.0
Папуа Шинэ Гвиней,2008,0.0
Перу,2008,0.3
Польш,2008,86.1
Португаль,2008,0.5
Пуэрто-Рико,2008,0.0
Румын,2008,60.2
Саудын Араб,2008,420.4
Свазиленд,2008,0.0
Серби,2008,0.0
Сингапур,2008,363.7
Сири,2008,0.0
Словак,2008,0.0
Словени,2008,0.5
Соломоновын арал,2008,0.0
Судан,2008,0.0
Суринам,2008,0.0
Тажикстан,2008,24.7
Тайвань,2008,51.8
Тайланд,2008,346.4
Танзани,2008,32.2
Турк,2008,0.0
Туркменистан,2008,17.7
Уганда,2008,0.0
Узбикистан,2008,136.7
Украйн,2008,5266.7
Унгар,2008,32.1
Уругвай,2008,0.0
Фижи,2008,0.0
Филиппин,2008,0.0
Финлянд,2008,1.8
Франц,2008,30274.2
ХБНГУ,2008,11012.5
Хорват,2008,0.0
Чад,2008,0.0
Чехийн БНУ,2008,3062.9
Чили,2008,7690.6
Швед,2008,479.6
Швейцарь,2008,2082.0
Шинэ Зеланд,2008,18.5
Шри Ланк,2008,0.0
Эквадор,2008,0.0
Энэтхэг,2008,943.0
Эстон,2008,11436.7
Этиоп,2008,0.0
Япон,2008,27589.0
Өмнөд Африкийн Бүгд Найрамдах Улс,2008,132.8
АНУ,2009,13892.0
Австрали,2009,1655.5
Австри,2009,639.8
Азербайжан,2009,0.0
Америкийн Самао,2009,0.0
Ангол,2009,0.0
Арабын Нэгдсэн Эмират,2009,367.8
Аргентин,2009,18.1
Армен,2009,0.0
Аруба,2009,0.0
БНАСAУ,2009,0.0
БНСУ,2009,15458.1
БНХАУ,2009,1394000.7
Балба,2009,182.6
Бангладеш,2009,0.0
Беларусь,2009,2.6
Бельги,2009,193.2
Болгар,2009,69.5
Боливи,2009,0.0
Бразил,2009,0.0
Буркина-Фасо,2009,0.0
Вануату,2009,0.0
Вьетнам,2009,1229.7
Грек,2009,0.0
Гренланд,2009,1.5
Гүрж,2009,0.0
Дани,2009,19.1
Дүн,2009,1885385.1
Европын холбоо,2009,97132.9
Египет,2009,0.0
Зүүн Хойд Ази,2009,1414023.0
Зүүн Өмнөд Ази,2009,1915.9
Израиль,2009,189.5
Индонез,2009,0.0
Иордан,2009,41.9
Иран,2009,0.0
Ирланд,2009,77.7
Испани,2009,123.8
Итали,2009,31443.0
Их Британи,2009,126885.7
Казакстан,2009,3220.2
Камбож,2009,0.0
Канад,2009,147480.9
Катар,2009,882.9
Кени,2009,0.0
Кипр,2009,0.0
Киргиз,2009,97.8
Колумби,2009,19.9
Кот д Ивуар,2009,0.0
Куба,2009,1066.1
Кувейт,2009,1516.2
Лаос,2009,11.3
Латви,2009,0.0
Ливан,2009,157.0
Литва,2009,0.0
Лихтенштейн Вант улс,2009,0.0
Люксембург,2009,46164.5
Малайз,2009,18.4
Мальта,2009,0.0
Марокко,2009,0.0
Мексик,2009,41.5
Молдав,2009,0.0
Монако,2009,0.0
Мьянмар,2009,0.0
Нигери,2009,0.0
Нидерланд,2009,208.4
Норвеги,2009,232.3
ОХУ,2009,68204.7
Пакистан,2009,17.5
Панам,2009,0.0
Папуа Шинэ Гвиней,2009,0.0
Перу,2009,0.0
Польш,2009,46.8
Португаль,2009,0.0
Пуэрто-Рико,2009,0.0
Румын,2009,14.0
Саудын Араб,2009,252.1
Свазиленд,2009,0.0
Серби,2009,0.0
Сингапур,2009,655.8
Сири,2009,301.6
Словак,2009,1.2
Словени,2009,9.8
Соломоновын арал,2009,0.0
Судан,2009,0.0
Суринам,2009,0.0
Тажикстан,2009,58.8
Тайвань,2009,94.0
Тайланд,2009,0.7
Танзани,2009,21.1
Турк,2009,14.3
Туркменистан,2009,6.6
Уганда,2009,0.0
Узбикистан,2009,120.8
Украйн,2009,2109.3
Унгар,2009,25.2
Уругвай,2009,0.0
Фижи,2009,0.0
Филиппин,2009,0.0
Финлянд,2009,14.5
Франц,2009,2231.6
ХБНГУ,2009,15577.1
Хорват,2009,1.6
Чад,2009,126.0
Чехийн БНУ,2009,115.0
Чили,2009,0.0
Швед,2009,157.1
Швейцарь,2009,2815.6
Шинэ Зеланд,2009,37.9
Шри Ланк,2009,0.0
Эквадор,2009,0.0
Энэтхэг,2009,1023.6
Эстон,2009,0.0
Этиоп,2009,0.0
Япон,2009,4564.2
Өмнөд Африкийн Бүгд Найрамдах Улс,2009,0.2
АНУ,2010,6018.2
Австрали,2010,596.3
Австри,2010,787.8
Азербайжан,2010,0.0
Америкийн Самао,2010,0.0
Ангол,2010,0.0
Арабын Нэгдсэн Эмират,2010,510.5
Аргентин,2010,6.9
Армен,2010,0.0
Аруба,2010,0.0
БНАСAУ,2010,25.5
БНСУ,2010,30519.9
БНХАУ,2010,2466447.5
Балба,2010,106.6
Бангладеш,2010,0.0
Беларусь,2010,0.0
Бельги,2010,510.0
Болгар,2010,836.1
Боливи,2010,0.0
Бразил,2010,0.0
Буркина-Фасо,2010,0.0
Вануату,2010,0.0
Вьетнам,2010,23005.3
Грек,2010,0.5
Гренланд,2010,0.0
Гүрж,2010,0.0
Дани,2010,166.5
Дүн,2010,2908502.2
Европын холбоо,2010,61327.6
Египет,2010,0.0
Зүүн Хойд Ази,2010,2499662.6
Зүүн Өмнөд Ази,2010,26790.0
Израиль,2010,34.7
Индонез,2010,0.0
Иордан,2010,0.0
Иран,2010,6839.3
Ирланд,2010,47.7
Испани,2010,141.3
Итали,2010,31776.6
Их Британи,2010,67387.2
Казакстан,2010,1513.6
Камбож,2010,0.0
Канад,2010,141624.3
Катар,2010,911.1
Кени,2010,38.3
Кипр,2010,5.5
Киргиз,2010,184.2
Колумби,2010,0.0
Кот д Ивуар,2010,0.0
Куба,2010,0.0
Кувейт,2010,1395.3
Лаос,2010,14.2
