month,metric,value
2021-07,Petroleum exports | Actual to date,124837.3
2021-07,Petroleum exports | Annual plan,183200.0
2021-07,Petroleum service revenue | % of plan,118.5
2021-07,Petroleum service revenue | Actual to date,1035.4
2021-07,Petroleum service revenue | Annual plan,873.9
2021-07,Reimbursement for state-funded exploration | % of plan,22.9
2021-07,Reimbursement for state-funded exploration | Actual to date,572.4
2021-07,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-07,Tender revenue | % of plan,129.2
2021-07,Tender revenue | Actual to date,20668.9
2021-07,Tender revenue | Annual plan,16000.0
2021-07,Total | % of plan,70.0
2021-07,Total | Actual to date,164859.1
2021-07,Total | Annual plan,235400.0
2021-08,Mineral licence fees | % of plan,70.1
2021-08,Mineral licence fees | Actual to date,21870.8
2021-08,Mineral licence fees | Annual plan,31200.0
2021-08,Mineral services revenue | % of plan,79.4
2021-08,Mineral services revenue | Actual to date,1290.7
2021-08,Mineral services revenue | Annual plan,1626.1
2021-08,Petroleum exports | % of plan,78.5
2021-08,Petroleum exports | Actual to date,143767.8
2021-08,Petroleum exports | Annual plan,183200.0
2021-08,Petroleum service revenue | % of plan,142.5
2021-08,Petroleum service revenue | Actual to date,1245.2
2021-08,Petroleum service revenue | Annual plan,873.9
2021-08,Reimbursement for state-funded exploration | % of plan,33.0
2021-08,Reimbursement for state-funded exploration | Actual to date,824.8
2021-08,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-08,Tender revenue | % of plan,139.1
2021-08,Tender revenue | Actual to date,22256.1
2021-08,Tender revenue | Annual plan,16000.0
2021-08,Total | % of plan,81.2
2021-08,Total | Actual to date,191255.3
2021-08,Total | Annual plan,235400.0
2021-09,Mineral licence fees | % of plan,78.6
2021-09,Mineral licence fees | Actual to date,24526.9
2021-09,Mineral licence fees | Annual plan,31200.0
2021-09,Mineral services revenue | % of plan,88.7
2021-09,Mineral services revenue | Actual to date,1442.0
2021-09,Mineral services revenue | Annual plan,1626.1
2021-09,Petroleum exports | % of plan,75.8
2021-09,Petroleum exports | Actual to date,161552.2
2021-09,Petroleum exports | Annual plan,213200.0
2021-09,Petroleum service revenue | % of plan,150.7
2021-09,Petroleum service revenue | Actual to date,1317.0
2021-09,Petroleum service revenue | Annual plan,873.9
2021-09,Reimbursement for state-funded exploration | % of plan,126.2
2021-09,Reimbursement for state-funded exploration | Actual to date,3153.8
2021-09,Reimbursement for state-funded exploration | Annual plan,2500.0
2021-09,Tender revenue | % of plan,181.3
2021-09,Tender revenue | Actual to date,29014.9
2021-09,Tender revenue | Annual plan,16000.0
2021-09,Total | % of plan,83.3
2021-09,Total | Actual to date,221006.8
2021-09,Total | Annual plan,265400.0
2021-10,Mineral licence fees | % of plan,89.5
2021-10,Mineral licence fees | Actual to date,27925.5
2021-10,Mineral licence fees | Annual plan,31200.0
2021-10,Mineral services revenue | % of plan,96.5
2021-10,Mineral services revenue | Actual to date,1569.4
2021-10,Mineral services revenue | Annual plan,1626.1
2021-10,Petroleum exports | % of plan,77.2
2021-10,Petroleum exports | Actual to date,164612.1
2021-10,Petroleum exports | Annual plan,213200.0
2021-10,Petroleum service revenue | % of plan,228.6
