month,metric,value
2023-05,Petroleum exports | % of plan,12.5
2023-05,Petroleum exports | Actual to date,53165.8
2023-05,Petroleum exports | Annual plan,424971.2
2023-05,Reimbursement for state-funded exploration | % of plan,24.7
2023-05,Reimbursement for state-funded exploration | Actual to date,730.7
2023-05,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-05,Tender revenue | % of plan,76.0
2023-05,Tender revenue | Actual to date,19000.0
2023-05,Tender revenue | Annual plan,25000.0
2023-05,Total | % of plan,18.2
2023-05,Total | Actual to date,88555.6
2023-05,Total | Annual plan,485780.9
2023-06,Mineral licence fees | % of plan,52.8
2023-06,Mineral licence fees | Actual to date,15682.7
2023-06,Mineral licence fees | Annual plan,29720.9
2023-06,Other revenue | % of plan,111.9
2023-06,Other revenue | Actual to date,3498.0
2023-06,Other revenue | Annual plan,3126.2
2023-06,Petroleum exports | % of plan,33.8
2023-06,Petroleum exports | Actual to date,143667.1
2023-06,Petroleum exports | Annual plan,424971.2
2023-06,Reimbursement for state-funded exploration | % of plan,28.2
2023-06,Reimbursement for state-funded exploration | Actual to date,836.0
2023-06,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-06,Tender revenue | % of plan,98.6
2023-06,Tender revenue | Actual to date,24642.4
2023-06,Tender revenue | Annual plan,25000.0
2023-06,Total | % of plan,38.8
2023-06,Total | Actual to date,188326.2
2023-06,Total | Annual plan,485780.9
2023-07,Mineral licence fees | % of plan,65.3
2023-07,Mineral licence fees | Actual to date,19396.5
2023-07,Mineral licence fees | Annual plan,29720.9
2023-07,Other revenue | % of plan,118.1
2023-07,Other revenue | Actual to date,3691.8
2023-07,Other revenue | Annual plan,3126.2
2023-07,Petroleum exports | % of plan,40.5
2023-07,Petroleum exports | Actual to date,172227.7
2023-07,Petroleum exports | Annual plan,424971.2
2023-07,Reimbursement for state-funded exploration | % of plan,29.5
2023-07,Reimbursement for state-funded exploration | Actual to date,872.5
2023-07,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-07,Tender revenue | % of plan,116.6
2023-07,Tender revenue | Actual to date,29142.9
2023-07,Tender revenue | Annual plan,25000.0
2023-07,Total | % of plan,46.4
2023-07,Total | Actual to date,225331.4
2023-07,Total | Annual plan,485780.9
2023-08,Mineral licence fees | % of plan,73.8
2023-08,Mineral licence fees | Actual to date,21923.7
2023-08,Mineral licence fees | Annual plan,29720.9
2023-08,Other revenue | % of plan,120.7
2023-08,Other revenue | Actual to date,3774.7
2023-08,Other revenue | Annual plan,3126.2
2023-08,Petroleum exports | % of plan,47.1
2023-08,Petroleum exports | Actual to date,199997.9
2023-08,Petroleum exports | Annual plan,424971.2
2023-08,Reimbursement for state-funded exploration | % of plan,30.8
2023-08,Reimbursement for state-funded exploration | Actual to date,913.7
2023-08,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-08,Tender revenue | % of plan,116.6
2023-08,Tender revenue | Actual to date,29142.9
2023-08,Tender revenue | Annual plan,25000.0
2023-08,Total | % of plan,52.6
2023-08,Total | Actual to date,255752.9
2023-08,Total | Annual plan,485780.9
2023-09,Mineral licence fees | % of plan,95.5
2023-09,Mineral licence fees | Actual to date,28389.3
2023-09,Mineral licence fees | Annual plan,29720.9
2023-09,Other revenue | % of plan,122.9
2023-09,Other revenue | Actual to date,3842.2
2023-09,Other revenue | Annual plan,3126.2
2023-09,Petroleum exports | % of plan,50.3
2023-09,Petroleum exports | Actual to date,213602.1
2023-09,Petroleum exports | Annual plan,424971.2
2023-09,Reimbursement for state-funded exploration | % of plan,35.2
2023-09,Reimbursement for state-funded exploration | Actual to date,1042.7
2023-09,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-09,Tender revenue | % of plan,145.9
2023-09,Tender revenue | Actual to date,36467.1
2023-09,Tender revenue | Annual plan,25000.0
2023-09,Total | % of plan,58.3
2023-09,Total | Actual to date,283343.3
2023-09,Total | Annual plan,485780.9
2023-10,Mineral licence fees | % of plan,107.3
2023-10,Mineral licence fees | Actual to date,31890.6
2023-10,Mineral licence fees | Annual plan,29720.9
2023-10,Other revenue | % of plan,147.9
2023-10,Other revenue | Actual to date,4624.1
2023-10,Other revenue | Annual plan,3126.2
2023-10,Petroleum exports | % of plan,59.3
2023-10,Petroleum exports | Actual to date,252002.5
2023-10,Petroleum exports | Annual plan,424971.2
2023-10,Reimbursement for state-funded exploration | % of plan,41.8
2023-10,Reimbursement for state-funded exploration | Actual to date,1239.6
2023-10,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-10,Tender revenue | % of plan,160.0
2023-10,Tender revenue | Actual to date,40000.0
2023-10,Tender revenue | Annual plan,25000.0
2023-10,Total | % of plan,67.9
2023-10,Total | Actual to date,329756.7
2023-10,Total | Annual plan,485780.9
2023-11,Mineral licence fees | % of plan,115.7
2023-11,Mineral licence fees | Actual to date,34391.1
2023-11,Mineral licence fees | Annual plan,29720.9
2023-11,Other revenue | % of plan,150.8
2023-11,Other revenue | Actual to date,4713.2
2023-11,Other revenue | Annual plan,3126.2
2023-11,Petroleum exports | % of plan,66.2
2023-11,Petroleum exports | Actual to date,281416.9
2023-11,Petroleum exports | Annual plan,424971.2
2023-11,Reimbursement for state-funded exploration | % of plan,53.0
2023-11,Reimbursement for state-funded exploration | Actual to date,1569.4
2023-11,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-11,Tender revenue | % of plan,160.0
2023-11,Tender revenue | Actual to date,40000.0
2023-11,Tender revenue | Annual plan,25000.0
2023-11,Total | % of plan,74.5
2023-11,Total | Actual to date,362090.6
2023-11,Total | Annual plan,485780.9
2023-12,Mineral licence fees | % of plan,123.5
2023-12,Mineral licence fees | Actual to date,36691.5
2023-12,Mineral licence fees | Annual plan,29720.9
2023-12,Other revenue | % of plan,155.6
2023-12,Other revenue | Actual to date,4863.4
2023-12,Other revenue | Annual plan,3126.2
2023-12,Petroleum exports | % of plan,71.6
2023-12,Petroleum exports | Actual to date,304157.6
2023-12,Petroleum exports | Annual plan,424971.2
2023-12,Reimbursement for state-funded exploration | % of plan,84.6
2023-12,Reimbursement for state-funded exploration | Actual to date,2506.5
2023-12,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-12,Tender revenue | % of plan,214.9
2023-12,Tender revenue | Actual to date,53729.5
2023-12,Tender revenue | Annual plan,25000.0
2023-12,Total | % of plan,82.7
2023-12,Total | Actual to date,401948.5
2023-12,Total | Annual plan,485780.9
2024-01,Mineral licence fees | % of plan,9.6
2024-01,Mineral licence fees | Actual to date,2847.4
2024-01,Mineral licence fees | Annual plan,29626.4
2024-01,Other revenue | % of plan,22.4
2024-01,Other revenue | Actual to date,693.0
2024-01,Other revenue | Annual plan,3100.0
2024-01,Petroleum exports | % of plan,9.2
2024-01,Petroleum exports | Actual to date,33253.5
2024-01,Petroleum exports | Annual plan,361492.4
2024-01,Reimbursement for state-funded exploration | % of plan,4.2
2024-01,Reimbursement for state-funded exploration | Actual to date,111.9
2024-01,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-01,Tender revenue | % of plan,0.2
2024-01,Tender revenue | Actual to date,51.3
2024-01,Tender revenue | Annual plan,25000.0
2024-01,Total | % of plan,8.8
2024-01,Total | Actual to date,36957.1
2024-01,Total | Annual plan,421903.2
2024-02,Mineral licence fees | % of plan,16.6
2024-02,Mineral licence fees | Actual to date,4904.5
2024-02,Mineral licence fees | Annual plan,29626.4
2024-02,Other revenue | % of plan,44.0
2024-02,Other revenue | Actual to date,1362.5
2024-02,Other revenue | Annual plan,3100.0
2024-02,Petroleum exports | % of plan,15.1
2024-02,Petroleum exports | Actual to date,54591.2
2024-02,Petroleum exports | Annual plan,361492.4
2024-02,Reimbursement for state-funded exploration | % of plan,9.7
2024-02,Reimbursement for state-funded exploration | Actual to date,259.5
2024-02,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-02,Tender revenue | % of plan,0.2
2024-02,Tender revenue | Actual to date,51.3
2024-02,Tender revenue | Annual plan,25000.0
2024-02,Total | % of plan,14.5
2024-02,Total | Actual to date,61169.0
2024-02,Total | Annual plan,421903.2
2024-03,Mineral licence fees | % of plan,23.8
2024-03,Mineral licence fees | Actual to date,7058.9
2024-03,Mineral licence fees | Annual plan,29626.4
2024-03,Other revenue | % of plan,47.5
2024-03,Other revenue | Actual to date,1472.2
2024-03,Other revenue | Annual plan,3100.0
2024-03,Petroleum exports | % of plan,21.0
2024-03,Petroleum exports | Actual to date,76004.7
2024-03,Petroleum exports | Annual plan,361492.4
2024-03,Reimbursement for state-funded exploration | % of plan,28.6
2024-03,Reimbursement for state-funded exploration | Actual to date,767.0
2024-03,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-03,Tender revenue | % of plan,83.6
2024-03,Tender revenue | Actual to date,20908.0
2024-03,Tender revenue | Annual plan,25000.0
2024-03,Total | % of plan,25.2
2024-03,Total | Actual to date,106210.8
2024-03,Total | Annual plan,421903.2
2024-04,Mineral licence fees | % of plan,34.0
2024-04,Mineral licence fees | Actual to date,10082.8
2024-04,Mineral licence fees | Annual plan,29626.4
2024-04,Other revenue | % of plan,52.2
2024-04,Other revenue | Actual to date,1617.0
2024-04,Other revenue | Annual plan,3100.0
2024-04,Petroleum exports | % of plan,27.5
2024-04,Petroleum exports | Actual to date,99526.1
2024-04,Petroleum exports | Annual plan,361492.4
2024-04,Reimbursement for state-funded exploration | % of plan,36.7
2024-04,Reimbursement for state-funded exploration | Actual to date,986.3
2024-04,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-04,Tender revenue | % of plan,141.2
2024-04,Tender revenue | Actual to date,35291.9
2024-04,Tender revenue | Annual plan,25000.0
2024-04,Total | % of plan,35.0
2024-04,Total | Actual to date,147504.1
2024-04,Total | Annual plan,421903.2
2024-05,Mineral licence fees | % of plan,47.9
2024-05,Mineral licence fees | Actual to date,14194.9
2024-05,Mineral licence fees | Annual plan,29626.4
2024-05,Other revenue | % of plan,54.3
2024-05,Other revenue | Actual to date,1683.0
2024-05,Other revenue | Annual plan,3100.0
2024-05,Petroleum exports | % of plan,34.8
2024-05,Petroleum exports | Actual to date,125695.2
2024-05,Petroleum exports | Annual plan,361492.4
2024-05,Reimbursement for state-funded exploration | % of plan,42.9
2024-05,Reimbursement for state-funded exploration | Actual to date,1152.5
2024-05,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-05,Tender revenue | % of plan,141.2
2024-05,Tender revenue | Actual to date,35292.0
2024-05,Tender revenue | Annual plan,25000.0
2024-05,Total | % of plan,42.2
2024-05,Total | Actual to date,178017.6
2024-05,Total | Annual plan,421903.2
2024-06,Mineral licence fees | % of plan,57.6
2024-06,Mineral licence fees | Actual to date,17079.4
2024-06,Mineral licence fees | Annual plan,29626.4
2024-06,Other revenue | % of plan,57.0
2024-06,Other revenue | Actual to date,1765.9
2024-06,Other revenue | Annual plan,3100.0
2024-06,Petroleum exports | % of plan,35.4
2024-06,Petroleum exports | Actual to date,128046.9
2024-06,Petroleum exports | Annual plan,361492.4
2024-06,Reimbursement for state-funded exploration | % of plan,43.4
2024-06,Reimbursement for state-funded exploration | Actual to date,1164.3
2024-06,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-06,Tender revenue | % of plan,141.2
2024-06,Tender revenue | Actual to date,35292.0
2024-06,Tender revenue | Annual plan,25000.0
2024-06,Total | % of plan,43.5
2024-06,Total | Actual to date,183348.5
2024-06,Total | Annual plan,421903.2
2024-07,Mineral licence fees | % of plan,70.9
2024-07,Mineral licence fees | Actual to date,21017.3
2024-07,Mineral licence fees | Annual plan,29626.4
2024-07,Other revenue | % of plan,61.9
2024-07,Other revenue | Actual to date,1920.3
2024-07,Other revenue | Annual plan,3100.0
2024-07,Petroleum exports | % of plan,35.7
2024-07,Petroleum exports | Actual to date,129106.4
2024-07,Petroleum exports | Annual plan,361492.4
2024-07,Reimbursement for state-funded exploration | % of plan,43.4
2024-07,Reimbursement for state-funded exploration | Actual to date,1164.8
2024-07,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-07,Tender revenue | % of plan,141.2
2024-07,Tender revenue | Actual to date,35292.0
2024-07,Tender revenue | Annual plan,25000.0
2024-07,Total | % of plan,44.7
2024-07,Total | Actual to date,188500.8
2024-07,Total | Annual plan,421903.2
2024-08,Mineral licence fees | % of plan,79.7
2024-08,Mineral licence fees | Actual to date,23600.2
2024-08,Mineral licence fees | Annual plan,29626.4
2024-08,Other revenue | % of plan,64.6
2024-08,Other revenue | Actual to date,2001.5
2024-08,Other revenue | Annual plan,3100.0
2024-08,Petroleum exports | % of plan,36.3
2024-08,Petroleum exports | Actual to date,131161.5
2024-08,Petroleum exports | Annual plan,361492.4
2024-08,Reimbursement for state-funded exploration | % of plan,44.5
2024-08,Reimbursement for state-funded exploration | Actual to date,1194.1
2024-08,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-08,Tender revenue | % of plan,141.2
2024-08,Tender revenue | Actual to date,35292.0
2024-08,Tender revenue | Annual plan,25000.0
2024-08,Total | % of plan,45.8
2024-08,Total | Actual to date,193249.3
2024-08,Total | Annual plan,421903.2
2024-09,Mineral licence fees | % of plan,102.3
2024-09,Mineral licence fees | Actual to date,30321.8
2024-09,Mineral licence fees | Annual plan,29626.4
2024-09,Other revenue | % of plan,82.1
2024-09,Other revenue | Actual to date,2251.7
2024-09,Other revenue | Annual plan,2744.0
2024-09,Petroleum exports | % of plan,46.4
2024-09,Petroleum exports | Actual to date,132099.3
2024-09,Petroleum exports | Annual plan,284916.7
2024-09,Reimbursement for state-funded exploration | % of plan,52.0
2024-09,Reimbursement for state-funded exploration | Actual to date,1395.1
2024-09,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-09,Tender revenue | % of plan,98.0
2024-09,Tender revenue | Actual to date,35292.0
2024-09,Tender revenue | Annual plan,36000.0
2024-09,Total | % of plan,56.6
2024-09,Total | Actual to date,201359.9
2024-09,Total | Annual plan,355971.5
2024-10,Mineral licence fees | % of plan,116.5
2024-10,Mineral licence fees | Actual to date,34524.1
2024-10,Mineral licence fees | Annual plan,29626.4
2024-10,Other revenue | % of plan,84.2
2024-10,Other revenue | Actual to date,2309.9
2024-10,Other revenue | Annual plan,2744.0
2024-10,Petroleum exports | % of plan,54.4
2024-10,Petroleum exports | Actual to date,154943.7
2024-10,Petroleum exports | Annual plan,284916.7
2024-10,Reimbursement for state-funded exploration | % of plan,55.4
2024-10,Reimbursement for state-funded exploration | Actual to date,1488.1
2024-10,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-10,Tender revenue | % of plan,98.0
2024-10,Tender revenue | Actual to date,35291.9
2024-10,Tender revenue | Annual plan,36000.0
2024-10,Total | % of plan,64.2
2024-10,Total | Actual to date,228557.7
2024-10,Total | Annual plan,355971.5
2024-11,Mineral licence fees | % of plan,127.9
2024-11,Mineral licence fees | Actual to date,37892.6
2024-11,Mineral licence fees | Annual plan,29626.4
2024-11,Other revenue | % of plan,98.0
2024-11,Other revenue | Actual to date,2689.3
2024-11,Other revenue | Annual plan,2744.0
2024-11,Petroleum exports | % of plan,68.7
2024-11,Petroleum exports | Actual to date,195742.8
2024-11,Petroleum exports | Annual plan,284916.7
2024-11,Reimbursement for state-funded exploration | % of plan,100.6
2024-11,Reimbursement for state-funded exploration | Actual to date,2699.4
2024-11,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-11,Tender revenue | % of plan,98.0
2024-11,Tender revenue | Actual to date,35291.9
2024-11,Tender revenue | Annual plan,36000.0
2024-11,Total | % of plan,77.1
2024-11,Total | Actual to date,274316.0
2024-11,Total | Annual plan,355971.5
2024-12,Mineral licence fees | % of plan,141.3
2024-12,Mineral licence fees | Actual to date,41864.5
2024-12,Mineral licence fees | Annual plan,29626.4
2024-12,Other revenue | % of plan,118.9
2024-12,Other revenue | Actual to date,3261.7
2024-12,Other revenue | Annual plan,2744.0
2024-12,Petroleum exports | % of plan,83.5
2024-12,Petroleum exports | Actual to date,237846.2
2024-12,Petroleum exports | Annual plan,284916.7
2024-12,Reimbursement for state-funded exploration | % of plan,147.0
2024-12,Reimbursement for state-funded exploration | Actual to date,3945.4
2024-12,Reimbursement for state-funded exploration | Annual plan,2684.4
2024-12,Tender revenue | % of plan,98.1
2024-12,Tender revenue | Actual to date,35299.2
2024-12,Tender revenue | Annual plan,36000.0
2024-12,Total | % of plan,90.5
2024-12,Total | Actual to date,322217.0
2024-12,Total | Annual plan,355971.5
2025-01,Mineral licence fees | % of plan,10.7
2025-01,Mineral licence fees | Actual to date,3201.7
2025-01,Mineral licence fees | Annual plan,29983.9
2025-01,Other revenue | % of plan,35.6
2025-01,Other revenue | Actual to date,811.5
2025-01,Other revenue | Annual plan,2279.1
2025-01,Petroleum exports | % of plan,11.0
2025-01,Petroleum exports | Actual to date,38118.7
2025-01,Petroleum exports | Annual plan,347906.1
2025-01,Reimbursement for state-funded exploration | % of plan,4.6
2025-01,Reimbursement for state-funded exploration | Actual to date,98.1
2025-01,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-01,Tender revenue | % of plan,0.0
2025-01,Tender revenue | Actual to date,0.0
2025-01,Tender revenue | Annual plan,25000.0
2025-01,Total | % of plan,10.4
2025-01,Total | Actual to date,42230.0
2025-01,Total | Annual plan,407301.0
2025-02,Mineral licence fees | % of plan,21.8
2025-02,Mineral licence fees | Actual to date,6533.4
2025-02,Mineral licence fees | Annual plan,29983.9
2025-02,Other revenue | % of plan,42.2
2025-02,Other revenue | Actual to date,962.3
2025-02,Other revenue | Annual plan,2279.1
2025-02,Petroleum exports | % of plan,16.4
2025-02,Petroleum exports | Actual to date,57013.5
2025-02,Petroleum exports | Annual plan,347906.1
2025-02,Reimbursement for state-funded exploration | % of plan,4.6
2025-02,Reimbursement for state-funded exploration | Actual to date,98.1
2025-02,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-02,Tender revenue | % of plan,0.0
2025-02,Tender revenue | Actual to date,0.0
2025-02,Tender revenue | Annual plan,25000.0
2025-02,Total | % of plan,15.9
2025-02,Total | Actual to date,64607.3
2025-02,Total | Annual plan,407301.0
2025-03,Mineral licence fees | % of plan,30.9
2025-03,Mineral licence fees | Actual to date,9252.2
2025-03,Mineral licence fees | Annual plan,29983.9
2025-03,Other revenue | % of plan,59.1
2025-03,Other revenue | Actual to date,1346.1
2025-03,Other revenue | Annual plan,2279.1
2025-03,Petroleum exports | % of plan,21.8
2025-03,Petroleum exports | Actual to date,75752.1
2025-03,Petroleum exports | Annual plan,347906.1
2025-03,Reimbursement for state-funded exploration | % of plan,41.4
2025-03,Reimbursement for state-funded exploration | Actual to date,882.3
2025-03,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-03,Tender revenue | % of plan,0.0
2025-03,Tender revenue | Actual to date,0.0
2025-03,Tender revenue | Annual plan,25000.0
2025-03,Total | % of plan,21.4
2025-03,Total | Actual to date,87232.7
2025-03,Total | Annual plan,407301.0
2025-04,Mineral licence fees | % of plan,38.5
2025-04,Mineral licence fees | Actual to date,11543.1
2025-04,Mineral licence fees | Annual plan,29983.9
2025-04,Other revenue | % of plan,61.6
2025-04,Other revenue | Actual to date,1404.3
2025-04,Other revenue | Annual plan,2279.1
2025-04,Petroleum exports | % of plan,21.8
2025-04,Petroleum exports | Actual to date,75752.1
2025-04,Petroleum exports | Annual plan,347906.1
2025-04,Reimbursement for state-funded exploration | % of plan,46.4
2025-04,Reimbursement for state-funded exploration | Actual to date,989.2
2025-04,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-04,Tender revenue | % of plan,20.9
2025-04,Tender revenue | Actual to date,5224.1
2025-04,Tender revenue | Annual plan,25000.0
2025-04,Total | % of plan,23.3
2025-04,Total | Actual to date,94912.8
2025-04,Total | Annual plan,407301.0
2025-05,Mineral licence fees | % of plan,53.3
2025-05,Mineral licence fees | Actual to date,15971.3
2025-05,Mineral licence fees | Annual plan,29983.9
2025-05,Other revenue | % of plan,77.2
2025-05,Other revenue | Actual to date,1760.4
2025-05,Other revenue | Annual plan,2279.1
2025-05,Petroleum exports | % of plan,27.7
2025-05,Petroleum exports | Actual to date,96455.6
2025-05,Petroleum exports | Annual plan,347906.1
2025-05,Reimbursement for state-funded exploration | % of plan,46.4
2025-05,Reimbursement for state-funded exploration | Actual to date,989.2
2025-05,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-05,Tender revenue | % of plan,28.1
2025-05,Tender revenue | Actual to date,7031.8
2025-05,Tender revenue | Annual plan,25000.0
2025-05,Total | % of plan,30.0
2025-05,Total | Actual to date,122208.3
2025-05,Total | Annual plan,407301.0
2025-06,Mineral licence fees | % of plan,64.5
2025-06,Mineral licence fees | Actual to date,19341.9
2025-06,Mineral licence fees | Annual plan,29983.9
2025-06,Other revenue | % of plan,85.9
2025-06,Other revenue | Actual to date,1957.3
2025-06,Other revenue | Annual plan,2279.1
2025-06,Petroleum exports | % of plan,35.9
2025-06,Petroleum exports | Actual to date,124853.9
2025-06,Petroleum exports | Annual plan,347906.1
2025-06,Reimbursement for state-funded exploration | % of plan,54.5
2025-06,Reimbursement for state-funded exploration | Actual to date,1162.1
2025-06,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-06,Tender revenue | % of plan,259.0
2025-06,Tender revenue | Actual to date,64740.8
2025-06,Tender revenue | Annual plan,25000.0
2025-06,Total | % of plan,52.1
2025-06,Total | Actual to date,212056.0
2025-06,Total | Annual plan,407301.0
2025-07,Mineral licence fees | % of plan,80.4
2025-07,Mineral licence fees | Actual to date,24121.6
2025-07,Mineral licence fees | Annual plan,29983.9
2025-07,Other revenue | % of plan,90.0
2025-07,Other revenue | Actual to date,2052.3
2025-07,Other revenue | Annual plan,2279.1
2025-07,Petroleum exports | % of plan,39.8
2025-07,Petroleum exports | Actual to date,138530.9
2025-07,Petroleum exports | Annual plan,347906.1
2025-07,Reimbursement for state-funded exploration | % of plan,56.4
2025-07,Reimbursement for state-funded exploration | Actual to date,1202.2
2025-07,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-07,Tender revenue | % of plan,310.9
2025-07,Tender revenue | Actual to date,77731.2
2025-07,Tender revenue | Annual plan,25000.0
2025-07,Total | % of plan,59.8
2025-07,Total | Actual to date,243638.2
2025-07,Total | Annual plan,407301.0
2025-08,Mineral licence fees | % of plan,89.7
2025-08,Mineral licence fees | Actual to date,26900.3
2025-08,Mineral licence fees | Annual plan,29983.9
2025-08,Other revenue | % of plan,105.5
2025-08,Other revenue | Actual to date,2405.2
2025-08,Other revenue | Annual plan,2279.1
2025-08,Petroleum exports | % of plan,45.2
2025-08,Petroleum exports | Actual to date,157186.7
2025-08,Petroleum exports | Annual plan,347906.1
2025-08,Reimbursement for state-funded exploration | % of plan,56.5
2025-08,Reimbursement for state-funded exploration | Actual to date,1204.4
2025-08,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-08,Tender revenue | % of plan,380.0
2025-08,Tender revenue | Actual to date,95000.0
2025-08,Tender revenue | Annual plan,25000.0
2025-08,Total | % of plan,69.4
2025-08,Total | Actual to date,282696.6
2025-08,Total | Annual plan,407301.0
2025-09,Mineral licence fees | % of plan,109.2
2025-09,Mineral licence fees | Actual to date,32733.7
2025-09,Mineral licence fees | Annual plan,29983.9
2025-09,Other revenue | % of plan,110.4
2025-09,Other revenue | Actual to date,2515.0
2025-09,Other revenue | Annual plan,2279.1
2025-09,Petroleum exports | % of plan,69.3
2025-09,Petroleum exports | Actual to date,173129.4
2025-09,Petroleum exports | Annual plan,249694.5
2025-09,Reimbursement for state-funded exploration | % of plan,78.5
2025-09,Reimbursement for state-funded exploration | Actual to date,1673.1
2025-09,Reimbursement for state-funded exploration | Annual plan,2131.9
2025-09,Tender revenue | % of plan,380.0
2025-09,Tender revenue | Actual to date,95000.0
2025-09,Tender revenue | Annual plan,25000.0
2025-09,Total | % of plan,98.7
2025-09,Total | Actual to date,305051.2
2025-09,Total | Annual plan,309089.4
2025-10,Mineral licence fees | % of plan,125.1
2025-10,Mineral licence fees | Actual to date,37521.9
2025-10,Mineral licence fees | Annual plan,29984.0
2025-10,Other revenue | % of plan,122.3
2025-10,Other revenue | Actual to date,2786.5
2025-10,Other revenue | Annual plan,2279.1
2025-10,Petroleum exports | % of plan,75.4
2025-10,Petroleum exports | Actual to date,188158.2
2025-10,Petroleum exports | Annual plan,249694.5
2025-10,Reimbursement for state-funded exploration | % of plan,105.3
2025-10,Reimbursement for state-funded exploration | Actual to date,2244.5
2025-10,Reimbursement for state-funded exploration | Annual plan,2132.0
2025-10,Tender revenue | % of plan,383.8
2025-10,Tender revenue | Actual to date,95955.7
2025-10,Tender revenue | Annual plan,25000.0
2025-10,Total | % of plan,105.7
2025-10,Total | Actual to date,326666.8
2025-10,Total | Annual plan,309089.6
2025-11,Mineral licence fees | % of plan,135.5
2025-11,Mineral licence fees | Actual to date,40617.3
2025-11,Mineral licence fees | Annual plan,29984.0
2025-11,Other revenue | % of plan,131.1
2025-11,Other revenue | Actual to date,2987.5
2025-11,Other revenue | Annual plan,2279.1
2025-11,Petroleum exports | % of plan,81.5
2025-11,Petroleum exports | Actual to date,203450.2
2025-11,Petroleum exports | Annual plan,249694.5
2025-11,Reimbursement for state-funded exploration | % of plan,106.7
2025-11,Reimbursement for state-funded exploration | Actual to date,2275.7
2025-11,Reimbursement for state-funded exploration | Annual plan,2132.0
2025-11,Tender revenue | % of plan,383.8
2025-11,Tender revenue | Actual to date,95955.7
2025-11,Tender revenue | Annual plan,25000.0
2025-11,Total | % of plan,111.7
2025-11,Total | Actual to date,345286.4
2025-11,Total | Annual plan,309089.6
2025-12,Mineral licence fees | % of plan,153.2
2025-12,Mineral licence fees | Actual to date,45939.6
2025-12,Mineral licence fees | Annual plan,29984.0
2025-12,Other revenue | % of plan,161.9
2025-12,Other revenue | Actual to date,3689.4
2025-12,Other revenue | Annual plan,2279.1
2025-12,Petroleum exports | % of plan,92.9
2025-12,Petroleum exports | Actual to date,231865.0
2025-12,Petroleum exports | Annual plan,249694.5
2025-12,Reimbursement for state-funded exploration | % of plan,150.8
2025-12,Reimbursement for state-funded exploration | Actual to date,3214.6
2025-12,Reimbursement for state-funded exploration | Annual plan,2132.0
2025-12,Tender revenue | % of plan,551.6
2025-12,Tender revenue | Actual to date,137895.9
2025-12,Tender revenue | Annual plan,25000.0
2025-12,Total | % of plan,136.7
2025-12,Total | Actual to date,422604.5
2025-12,Total | Annual plan,309089.6
2026-01,Mineral licence fees | % of plan,7.6
2026-01,Mineral licence fees | Actual to date,2768.2
2026-01,Mineral licence fees | Annual plan,36605.1
2026-01,Other revenue | % of plan,12.1
2026-01,Other revenue | Actual to date,424.1
2026-01,Other revenue | Annual plan,3513.8
2026-01,Petroleum exports | % of plan,1.4
2026-01,Petroleum exports | Actual to date,3349.6
2026-01,Petroleum exports | Annual plan,231472.9
2026-01,Reimbursement for state-funded exploration | % of plan,6.9
2026-01,Reimbursement for state-funded exploration | Actual to date,164.9
2026-01,Reimbursement for state-funded exploration | Annual plan,2395.0
2026-01,Tender revenue | % of plan,1.3
2026-01,Tender revenue | Actual to date,252.1
2026-01,Tender revenue | Annual plan,20000.0
2026-01,Total | % of plan,2.4
2026-01,Total | Actual to date,6958.9
2026-01,Total | Annual plan,293986.8
2026-02,Mineral licence fees | % of plan,15.8
2026-02,Mineral licence fees | Actual to date,5788.5
2026-02,Mineral licence fees | Annual plan,36605.1
2026-02,Other revenue | % of plan,33.1
2026-02,Other revenue | Actual to date,1162.9
2026-02,Other revenue | Annual plan,3513.8
2026-02,Petroleum exports | % of plan,1.4
2026-02,Petroleum exports | Actual to date,3349.6
2026-02,Petroleum exports | Annual plan,231472.9
2026-02,Reimbursement for state-funded exploration | % of plan,14.9
2026-02,Reimbursement for state-funded exploration | Actual to date,357.8
