он,үзүүлэлт,хэмжих_нэгж,утга
1940,Шуудангийн салбар,тоо,25.0
1947,Шуудангийн салбар,тоо,30.0
1950,Шуудангийн салбар,тоо,37.0
1952,Шуудангийн салбар,тоо,58.0
1953,Шуудангийн салбар,тоо,59.0
1954,Шуудангийн салбар,тоо,59.0
1955,Шуудангийн салбар,тоо,152.0
1956,Шуудангийн салбар,тоо,179.0
1957,Шуудангийн салбар,тоо,181.0
1958,Шуудангийн салбар,тоо,186.0
1960,Шуудангийн салбар,тоо,230.0
1961,Шуудангийн салбар,тоо,250.0
1962,Шуудангийн салбар,тоо,285.0
1963,Шуудангийн салбар,тоо,346.0
1965,Шуудангийн салбар,тоо,376.0
1966,Шуудангийн салбар,тоо,384.0
1967,Шуудангийн салбар,тоо,393.0
1970,Шуудангийн салбар,тоо,401.0
1971,Шуудангийн салбар,тоо,400.0
1972,Шуудангийн салбар,тоо,392.0
1973,Шуудангийн салбар,тоо,392.0
1974,Шуудангийн салбар,тоо,394.0
1975,Шуудангийн салбар,тоо,391.0
1976,Шуудангийн салбар,тоо,382.0
1977,Шуудангийн салбар,тоо,392.0
1978,Шуудангийн салбар,тоо,393.0
1979,Шуудангийн салбар,тоо,399.0
1980,Шуудангийн салбар,тоо,404.0
1981,Шуудангийн салбар,тоо,408.0
1982,Шуудангийн салбар,тоо,411.0
1983,Шуудангийн салбар,тоо,414.0
1984,Шуудангийн салбар,тоо,418.0
1985,Шуудангийн салбар,тоо,420.0
1986,Шуудангийн салбар,тоо,422.0
1987,Шуудангийн салбар,тоо,421.0
1988,Шуудангийн салбар,тоо,427.0
1989,Шуудангийн салбар,тоо,429.0
1990,Шуудангийн салбар,тоо,428.0
1991,Шуудангийн салбар,тоо,428.0
1992,Шуудангийн салбар,тоо,413.0
1940,Телеграф станц,тоо,15.0
1947,Телеграф станц,тоо,20.0
1950,Телеграф станц,тоо,25.0
1952,Телеграф станц,тоо,20.0
1953,Телеграф станц,тоо,20.0
1954,Телеграф станц,тоо,20.0
1955,Телеграф станц,тоо,23.0
1956,Телеграф станц,тоо,24.0
1957,Телеграф станц,тоо,25.0
1958,Телеграф станц,тоо,25.0
1960,Телеграф станц,тоо,25.0
1961,Телеграф станц,тоо,25.0
1962,Телеграф станц,тоо,25.0
1963,Телеграф станц,тоо,25.0
1983,Телеграф станц,тоо,264.0
1984,Телеграф станц,тоо,269.0
1940,Телефон станц,тоо,20.0
