жил,салбар,цалин_мнт
2003,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",78.2
2004,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",94.4
2005,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",106.2
2006,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",140.8
2007,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",194.0
2008,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",327.3
2009,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",332.0
2010,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",351.1
2011,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",434.3
2012,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",613.9
2013,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",719.5
2014,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",776.4
2015,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",788.9
2016,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",780.1
2017,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",832.2
2018,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",898.0
2019,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",1030.0
2020,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",1093.2
2021,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",1140.7
2022,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",1290.6
2023,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",1825.8
2024,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2454.7
2025,"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2807.3
2001,Улсын дундаж,65.2
2002,Улсын дундаж,71.3
2003,Улсын дундаж,81.5
2004,Улсын дундаж,93.1
2005,Улсын дундаж,101.2
2006,Улсын дундаж,127.7
2007,Улсын дундаж,173.0
2008,Улсын дундаж,274.2
2009,Улсын дундаж,300.5
2010,Улсын дундаж,341.5
2011,Улсын дундаж,424.2
2012,Улсын дундаж,557.6
2013,Улсын дундаж,774.9
2014,Улсын дундаж,796.6
2015,Улсын дундаж,808.0
2016,Улсын дундаж,861.9
2017,Улсын дундаж,944.5
2018,Улсын дундаж,1002.9
2019,Улсын дундаж,1124.3
2020,Улсын дундаж,1220.6
2021,Улсын дундаж,1279.4
2022,Улсын дундаж,1503.8
2023,Улсын дундаж,1881.8
2024,Улсын дундаж,2332.4
2025,Улсын дундаж,2726.9
2001,"Уул уурхай, олборлолт",57.3
2002,"Уул уурхай, олборлолт",77.4
2003,"Уул уурхай, олборлолт",88.7
2004,"Уул уурхай, олборлолт",89.7
2005,"Уул уурхай, олборлолт",122.8
2006,"Уул уурхай, олборлолт",147.7
2007,"Уул уурхай, олборлолт",219.7
2008,"Уул уурхай, олборлолт",328.6
2009,"Уул уурхай, олборлолт",405.4
2010,"Уул уурхай, олборлолт",572.2
2011,"Уул уурхай, олборлолт",732.8
2012,"Уул уурхай, олборлолт",814.5
2013,"Уул уурхай, олборлолт",1418.4
2014,"Уул уурхай, олборлолт",1550.8
2015,"Уул уурхай, олборлолт",1895.4
2016,"Уул уурхай, олборлолт",1989.4
2017,"Уул уурхай, олборлолт",2119.1
2018,"Уул уурхай, олборлолт",2221.4
2019,"Уул уурхай, олборлолт",2590.0
2020,"Уул уурхай, олборлолт",2877.4
2021,"Уул уурхай, олборлолт",2997.8
2022,"Уул уурхай, олборлолт",3601.9
2023,"Уул уурхай, олборлолт",4587.2
2024,"Уул уурхай, олборлолт",4935.9
2025,"Уул уурхай, олборлолт",5273.9
2001,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",50.3
2002,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",46.2
2003,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",48.0
2004,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",52.6
2005,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",52.8
2006,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",72.6
2007,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",90.5
2008,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",158.1
2009,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",174.6
2010,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",172.5
2011,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",203.1
2012,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",244.5
2013,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",324.7
2014,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",752.9
2015,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",643.9
2016,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",631.5
2017,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",681.5
2018,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",736.4
2019,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",833.1
2020,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",949.6
2021,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1002.8
2022,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1152.3
2023,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1463.9
2024,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1929.8
2025,"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2190.1
