year,month,commodity,price,unit
2025,10,Zinc,3148.5,USD/t
2025,10,Lead,1967.7,USD/t
2025,10,Tin,36033.6,USD/t
2025,10,Molybdenum,54827.9,USD/t
2025,10,"Manganese, 36%",174.0,USD/t
2025,10,"Cobalt, 99%",92527.8,USD/t
2025,10,"Cobalt, 65%",38865.0,USD/t
2025,10,"Iron ore, 56%",75.7,USD/t
2025,10,"Iron concentrate, 60%",93.6,USD/t
2025,10,"Fluorspar, concentrate FF-97",520.0,USD/t
2025,10,"Fluorspar, ore FK-85",410.0,USD/t
2025,10,Uranium,176.4,USD/kg
2025,11,Gold,4083.0,USD/oz
2025,11,Silver,50.7,USD/oz
2025,11,Copper,10800.0,USD/t
2025,11,Zinc,3186.7,USD/t
2025,11,Lead,2001.2,USD/t
2025,11,Tin,37003.6,USD/t
2025,11,Molybdenum,49878.4,USD/t
2025,11,"Manganese, 36%",173.3,USD/t
2025,11,"Cobalt, 99%",105575.0,USD/t
2025,11,"Cobalt, 65%",45304.8,USD/t
2025,11,"Iron ore, 56%",75.0,USD/t
2025,11,"Iron concentrate, 60%",92.9,USD/t
2025,11,"Fluorspar, concentrate FF-97",520.0,USD/t
2025,11,"Fluorspar, ore FK-85",420.0,USD/t
2025,11,Uranium,167.1,USD/kg
2025,12,Gold,4300.0,USD/oz
2025,12,Silver,64.3,USD/oz
2025,12,Copper,11802.8,USD/t
2025,12,Zinc,3159.2,USD/t
2025,12,Lead,1941.8,USD/t
2025,12,Tin,41334.4,USD/t
2025,12,Molybdenum,47192.5,USD/t
2025,12,"Manganese, 36%",176.3,USD/t
2025,12,"Cobalt, 99%",132804.4,USD/t
2025,12,"Cobalt, 65%",57063.3,USD/t
2025,12,"Iron ore, 56%",73.8,USD/t
2025,12,"Iron concentrate, 60%",94.3,USD/t
2025,12,"Fluorspar, concentrate FF-97",520.0,USD/t
2025,12,"Fluorspar, ore FK-85",420.0,USD/t
2025,12,Uranium,179.8,USD/kg
