бүс,үнэ
Архангай,17833.0
Баян-Өлгий,16000.0
Баянхонгор,18000.0
Булган,17000.0
Говь-Алтай,18000.0
Говьсүмбэр,18500.0
Дархан-Уул,18000.0
Дорноговь,21000.0
Дорнод,18000.0
Дундговь,19000.0
Завхан,18000.0
Орхон,17000.0
Сэлэнгэ,15500.0
Сүхбаатар,18000.0
Төв,17000.0
Увс,15000.0
Ховд,18000.0
Хэнтий,18000.0
Хөвсгөл,17000.0
Өвөрхангай,20667.0
