product,date,price
"Egg, piece, domestic",2024-04-22,650.0
"Egg, piece, domestic",2024-04-15,650.0
"Sugar, prepacked, kg, imported",2024-04-15,5042.0
"Vegetable oil, l, imported",2024-04-15,6712.0
"Green tea, prepacked, 90 g",2024-04-15,3806.0
"Egg, piece, domestic",2024-04-08,648.0
"Sugar, prepacked, kg, imported",2024-04-08,5042.0
"Green tea, prepacked, 90 g",2024-04-08,3806.0
"Vegetable oil, l, imported",2024-04-08,6792.0
"Vegetable oil, l, imported",2024-04-01,6747.0
"Sugar, prepacked, kg, imported",2024-04-01,5042.0
"Green tea, prepacked, 90 g",2024-04-01,3806.0
"Egg, piece, domestic",2024-04-01,643.0
"Green tea, prepacked, 90 g",2024-03-25,3806.0
"Vegetable oil, l, imported",2024-03-25,6821.0
"Sugar, prepacked, kg, imported",2024-03-25,5042.0
"Egg, piece, domestic",2024-03-25,643.0
"Green tea, prepacked, 90 g",2024-03-18,3806.0
"Vegetable oil, l, imported",2024-03-18,6747.0
"Egg, piece, domestic",2024-03-18,635.0
"Sugar, prepacked, kg, imported",2024-03-18,5042.0
"Vegetable oil, l, imported",2024-03-11,6747.0
"Egg, piece, domestic",2024-03-11,605.0
"Green tea, prepacked, 90 g",2024-03-11,3830.0
"Sugar, prepacked, kg, imported",2024-03-11,5042.0
"Sugar, prepacked, kg, imported",2024-03-04,5042.0
"Vegetable oil, l, imported",2024-03-04,6747.0
"Egg, piece, domestic",2024-03-04,597.0
"Green tea, prepacked, 90 g",2024-03-04,3830.0
"Vegetable oil, l, imported",2024-02-26,6747.0
"Sugar, prepacked, kg, imported",2024-02-26,5042.0
"Egg, piece, domestic",2024-02-26,596.0
"Green tea, prepacked, 90 g",2024-02-26,3830.0
"Egg, piece, domestic",2024-02-19,599.0
"Green tea, prepacked, 90 g",2024-02-19,3830.0
"Sugar, prepacked, kg, imported",2024-02-19,5042.0
"Vegetable oil, l, imported",2024-02-19,6747.0
"Green tea, prepacked, 90 g",2024-02-05,3830.0
"Egg, piece, domestic",2024-02-05,598.0
"Vegetable oil, l, imported",2024-02-05,6747.0
"Sugar, prepacked, kg, imported",2024-02-05,5042.0
"Egg, piece, domestic",2024-01-29,593.0
"Sugar, prepacked, kg, imported",2024-01-29,5042.0
"Vegetable oil, l, imported",2024-01-29,6747.0
"Green tea, prepacked, 90 g",2024-01-29,3830.0
"Green tea, prepacked, 90 g",2024-01-22,3830.0
"Vegetable oil, l, imported",2024-01-22,6747.0
"Sugar, prepacked, kg, imported",2024-01-22,5042.0
"Egg, piece, domestic",2024-01-22,600.0
"Green tea, prepacked, 90 g",2024-01-15,3830.0
"Egg, piece, domestic",2024-01-15,600.0
"Vegetable oil, l, imported",2024-01-15,6747.0
"Sugar, prepacked, kg, imported",2024-01-15,5042.0
"Vegetable oil, l, imported",2024-01-08,6747.0
"Sugar, prepacked, kg, imported",2024-01-08,5042.0
"Egg, piece, domestic",2024-01-08,600.0
"Green tea, prepacked, 90 g",2024-01-08,3830.0
"Green tea, prepacked, 90 g",2024-01-02,3830.0
"Vegetable oil, l, imported",2024-01-02,6747.0
"Egg, piece, domestic",2024-01-02,602.0
"Sugar, prepacked, kg, imported",2024-01-02,5042.0
"Sugar, prepacked, kg, imported",2023-12-25,5042.0
"Vegetable oil, l, imported",2023-12-25,6747.0
"Egg, piece, domestic",2023-12-25,600.0
"Green tea, prepacked, 90 g",2023-12-25,3830.0
"Egg, piece, domestic",2023-12-18,598.0
"Vegetable oil, l, imported",2023-12-18,6747.0
"Sugar, prepacked, kg, imported",2023-12-18,5042.0
"Green tea, prepacked, 90 g",2023-12-18,3830.0
"Green tea, prepacked, 90 g",2023-12-11,3830.0
"Vegetable oil, l, imported",2023-12-11,6747.0
"Egg, piece, domestic",2023-12-11,604.0
"Sugar, prepacked, kg, imported",2023-12-11,5042.0
"Green tea, prepacked, 90 g",2023-12-04,3830.0
"Vegetable oil, l, imported",2023-12-04,6747.0
"Sugar, prepacked, kg, imported",2023-12-04,5042.0
"Egg, piece, domestic",2023-12-04,603.0
"Egg, piece, domestic",2023-11-27,603.0
"Green tea, prepacked, 90 g",2023-11-27,3830.0
"Vegetable oil, l, imported",2023-11-27,6747.0
"Sugar, prepacked, kg, imported",2023-11-27,5042.0
"Green tea, prepacked, 90 g",2023-11-20,3830.0
"Sugar, prepacked, kg, imported",2023-11-20,5042.0
"Vegetable oil, l, imported",2023-11-20,6747.0
"Egg, piece, domestic",2023-11-20,603.0
"Vegetable oil, l, imported",2023-11-13,6747.0
"Sugar, prepacked, kg, imported",2023-11-13,5042.0
"Green tea, prepacked, 90 g",2023-11-13,3830.0
"Egg, piece, domestic",2023-11-13,610.0
"Green tea, prepacked, 90 g",2023-11-06,3812.0
"Sugar, prepacked, kg, imported",2023-11-06,5042.0
"Egg, piece, domestic",2023-11-06,600.0
"Vegetable oil, l, imported",2023-11-06,7160.0
"Egg, piece, domestic",2023-10-30,595.0
"Green tea, prepacked, 90 g",2023-10-30,3812.0
"Sugar, prepacked, kg, imported",2023-10-30,5042.0
"Vegetable oil, l, imported",2023-10-30,7160.0
"Vegetable oil, l, imported",2023-10-23,7163.0
"Sugar, prepacked, kg, imported",2023-10-23,5042.0
"Egg, piece, domestic",2023-10-23,588.0
"Green tea, prepacked, 90 g",2023-10-23,3798.0
"Egg, piece, domestic",2023-10-16,585.0
"Green tea, prepacked, 90 g",2023-10-16,3798.0
"Vegetable oil, l, imported",2023-10-16,7378.0
"Sugar, prepacked, kg, imported",2023-10-16,5042.0
"Sugar, prepacked, kg, imported",2023-10-09,5023.0
"Vegetable oil, l, imported",2023-10-09,7798.0
"Egg, piece, domestic",2023-10-09,567.0
"Green tea, prepacked, 90 g",2023-10-09,3798.0
"Vegetable oil, l, imported",2023-10-02,7798.0
"Egg, piece, domestic",2023-10-02,561.0
"Green tea, prepacked, 90 g",2023-10-02,3798.0
"Sugar, prepacked, kg, imported",2023-10-02,5023.0
"Egg, piece, domestic",2023-09-25,527.0
"Sugar, prepacked, kg, imported",2023-09-25,5023.0
