хүйс,салбар,жил,цалин_мнт
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2001,70.8
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2002,80.4
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2003,88.0
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2004,100.4
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2005,116.1
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2006,122.8
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2007,153.2
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2008,193.2
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2009,239.7
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2010,267.1
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2011,298.3
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2012,377.6
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2013,601.4
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2014,532.7
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2015,527.8
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2016,555.4
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2017,585.0
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2018,621.4
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2019,691.5
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2020,730.2
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2021,801.7
Бүгд,"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2022,968.6
