он,бүтээгдэхүүн,тж
2021,Дулаан эрчим хүч,60260.9
2022,Чулуун нүүрс,5322.29
2022,Хүрэн нүүрс,6039.62
2022,Кокс болон хагас кокс,40.61
2022,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",16949.65
2022,Автобензин,30094.14
2022,Дизель түлш,41893.0
2022,Онгоцны түлш,3249.03
2022,Керосин,439.64
2022,Мазут,7.95
2022,Пропан,1257.56
2022,Бусад шингэн түлш,13.41
2022,"Тос, тосолгооны материал",1073.28
2022,Бусад нефтийн болон тосон бүтээгдэхүүн,1757.46
2022,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",1773.02
2022,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",39571.95
2022,Цахилгаан эрчим хүч,37326.61
2022,Дулаан эрчим хүч,63036.28
2023,Чулуун нүүрс,5955.41
2023,Хүрэн нүүрс,9414.98
2023,Кокс болон хагас кокс,28.11
2023,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",15388.74
2023,Автобензин,32295.13
2023,Дизель түлш,57471.47
2023,Онгоцны түлш,4862.03
2023,Керосин,271.43
2023,Мазут,11.73
2023,Пропан,1822.67
2023,Бусад шингэн түлш,1.2
2023,"Тос, тосолгооны материал",1171.3
2023,Бусад нефтийн болон тосон бүтээгдэхүүн,3097.17
2023,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",3450.37
2023,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",38795.83
2023,Цахилгаан эрчим хүч,40120.12
2023,Дулаан эрчим хүч,66201.52
2024,Чулуун нүүрс,13322.13
2024,Хүрэн нүүрс,13316.89
2024,Кокс болон хагас кокс,47.86
2024,"Нүүрснээс гаргаж авсан брикет, шахмал нүүрс болон эдгээртэй төстэй хатуу түлш",14421.48
2024,Автобензин,39717.08
2024,Дизель түлш,70028.47
2024,Онгоцны түлш,4315.0
2024,Керосин,647.86
2024,Мазут,9.19
2024,Пропан,1740.93
2024,Бусад шингэн түлш,61.39
2024,"Тос, тосолгооны материал",1400.54
2024,Бусад нефтийн болон тосон бүтээгдэхүүн,1236.48
2024,"Нефтийн вазелин, парафины лав, байгалийн битум болон асфальт",2899.53
2024,"Мод, модны хаягдал болон бусад биомасс, модны нүүрс",35891.59
2024,Цахилгаан эрчим хүч,42276.62
2024,Дулаан эрчим хүч,70406.16
