date,metric,value
2025-09-01,Capital,7957.531
2025-10-01,Total Assets,73718.637
2025-10-01,Total Liabilities,65696.025
2025-10-01,Capital,8022.612
2025-11-01,Total Assets,74392.734
2025-11-01,Total Liabilities,66265.379
2025-11-01,Capital,8127.354
2025-12-01,Total Assets,85425.638
2025-12-01,Total Liabilities,76970.509
2025-12-01,Capital,8455.13
2026-01-01,Total Assets,78700.696
2026-01-01,Total Liabilities,70167.047
2026-01-01,Capital,8533.649
2026-02-01,Total Assets,80068.135
2026-02-01,Total Liabilities,71455.8
2026-02-01,Capital,8612.336
2026-03-01,Total Assets,85039.788
2026-03-01,Total Liabilities,76687.49
2026-03-01,Capital,8352.298
2026-04-01,Total Assets,84174.837
2026-04-01,Total Liabilities,75875.38
2026-04-01,Capital,8299.457
2026-05-01,Total Assets,86616.011
2026-05-01,Total Liabilities,78200.937
2026-05-01,Capital,8415.074
2026-06-01,Total Assets,92008.677
2026-06-01,Total Liabilities,83366.928
2026-06-01,Capital,8641.749
2026-07-01,Total Assets,88314.736
2026-07-01,Total Liabilities,79538.707
2026-07-01,Capital,8776.029
