он,аймаг,эмч
1989,Архангай,149
1989,Баян-Өлгий,133
1989,Баянхонгор,110
1989,Булган,109
1989,Говь-Алтай,122
1989,Говьсүмбэр,0
1989,Дархан-Уул,225
1989,Дорноговь,109
1989,Дорнод,127
1989,Дундговь,102
1989,Завхан,149
1989,Орхон,135
1989,Сэлэнгэ,133
1989,Сүхбаатар,98
1989,Төв,174
1989,Увс,131
1989,Улаанбаатар,2820
1989,Ховд,114
1989,Хэнтий,130
1989,Хөвсгөл,151
1989,Өвөрхангай,152
1989,Өмнөговь,91
1990,Архангай,152
1990,Баян-Өлгий,146
1990,Баянхонгор,112
1990,Булган,111
1990,Говь-Алтай,126
1990,Говьсүмбэр,0
1990,Дархан-Уул,229
1990,Дорноговь,104
1990,Дорнод,129
1990,Дундговь,110
1990,Завхан,153
1990,Орхон,147
1990,Сэлэнгэ,135
1990,Сүхбаатар,101
1990,Төв,195
1990,Увс,133
1990,Улаанбаатар,3125
1990,Ховд,122
1990,Хэнтий,129
1990,Хөвсгөл,163
1990,Өвөрхангай,163
1990,Өмнөговь,90
1991,Архангай,155
1991,Баян-Өлгий,149
1991,Баянхонгор,110
1991,Булган,110
1991,Говь-Алтай,127
1991,Говьсүмбэр,0
1991,Дархан-Уул,224
1991,Дорноговь,106
1991,Дорнод,120
1991,Дундговь,111
1991,Завхан,153
1991,Орхон,151
1991,Сэлэнгэ,118
1991,Сүхбаатар,104
1991,Төв,170
1991,Увс,139
1991,Улаанбаатар,3139
1991,Ховд,123
1991,Хэнтий,120
1991,Хөвсгөл,164
1991,Өвөрхангай,168
1991,Өмнөговь,90
1992,Архангай,149
1992,Баян-Өлгий,127
1992,Баянхонгор,104
1992,Булган,99
1992,Говь-Алтай,118
1992,Говьсүмбэр,10
1992,Дархан-Уул,245
1992,Дорноговь,89
1992,Дорнод,127
1992,Дундговь,107
1992,Завхан,157
1992,Орхон,151
1992,Сэлэнгэ,107
1992,Сүхбаатар,101
1992,Төв,146
1992,Увс,144
1992,Улаанбаатар,2726
1992,Ховд,122
1992,Хэнтий,117
1992,Хөвсгөл,173
1992,Өвөрхангай,178
1992,Өмнөговь,84
1993,Архангай,145
1993,Баян-Өлгий,122
1993,Баянхонгор,108
1993,Булган,92
1993,Говь-Алтай,108
1993,Говьсүмбэр,12
1993,Дархан-Уул,221
1993,Дорноговь,90
1993,Дорнод,124
1993,Дундговь,9
1993,Завхан,145
1993,Орхон,151
