огноо,чуулган,товлосон_цаг,эхэлсэн_цаг,цагийн_мэдээллийн_төлөв,өгөгдлийн_төлөв,эх_сурвалжийн_нийтлэл,эх_файлын_холбоос,үзүүлэлт,утга,нэгж
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Чөлөөтэй,3,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Эмнэлгийн чөлөө,6,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Орон нутгийн томилолт,0,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Гадаад томилолт,10,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Тайлбаргүй тасалсан,0,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Биеэр оролцсон,107,тоо
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Биеэр оролцсон хувь,84.9,хувь
2024-10-25,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63169/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,67.3,хувь
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Хэлэлцэх асуудал,0,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Албан ёсоор цагтаа ирсэн,73,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Албан ёсоор хоцорсон,29,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Чөлөөтэй,2,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Эмнэлгийн чөлөө,4,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Орон нутгийн томилолт,0,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Гадаад томилолт,14,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Тайлбаргүй тасалсан,4,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Биеэр оролцсон,102,тоо
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Биеэр оролцсон хувь,81.0,хувь
2024-10-31,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63246/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,71.6,хувь
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Хэлэлцэх асуудал,0,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Албан ёсоор цагтаа ирсэн,70,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Албан ёсоор хоцорсон,30,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Чөлөөтэй,3,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Эмнэлгийн чөлөө,5,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Орон нутгийн томилолт,2,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Гадаад томилолт,12,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Тайлбаргүй тасалсан,4,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Биеэр оролцсон,100,тоо
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Биеэр оролцсон хувь,79.4,хувь
2024-11-01,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63256/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,70.0,хувь
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Хэлэлцэх асуудал,0,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Албан ёсоор цагтаа ирсэн,72,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Албан ёсоор хоцорсон,35,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Чөлөөтэй,5,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Эмнэлгийн чөлөө,5,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Орон нутгийн томилолт,0,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Гадаад томилолт,3,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Тайлбаргүй тасалсан,6,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Биеэр оролцсон,107,тоо
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Биеэр оролцсон хувь,84.9,хувь
2024-11-08,Намрын ээлжит чуулган,10:00,,Зөвхөн товлосон цагтай,Эцсийн,https://www.parliament.mn/nn/63306/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,67.3,хувь
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Хэлэлцэх асуудал,0,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Хуралдаан эхэлсэн хоцролт,,минут
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Албан ёсоор цагтаа ирсэн,79,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Албан ёсоор хоцорсон,32,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Чөлөөтэй,1,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Эмнэлгийн чөлөө,3,тоо
2024-11-14,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63344/,,Орон нутгийн томилолт,0,тоо
