он,таримлын_төрөл,ургац_мянган_тонн
1976,Овъёос,39.4
1977,Овъёос,43.5
1978,Овъёос,5.9
1979,Овъёос,34.6
1980,Овъёос,19.4
1981,Овъёос,12.1
1982,Овъёос,31.6
1983,Овъёос,57.2
1984,Овъёос,35.7
1985,Овъёос,52.5
1986,Овъёос,
1987,Овъёос,
1988,Овъёос,
1989,Овъёос,
1990,Овъёос,
1991,Овъёос,
1992,Овъёос,
1941,Төмс,
1943,Төмс,
1952,Төмс,2.8
1953,Төмс,1.8
1955,Төмс,7.1
1956,Төмс,8.8
1957,Төмс,17.0
1958,Төмс,11.7
1959,Төмс,14.9
1960,Төмс,18.5
1961,Төмс,16.4
1962,Төмс,23.9
1963,Төмс,22.0
1964,Төмс,26.5
1965,Төмс,24.4
1966,Төмс,24.3
1967,Төмс,22.0
1970,Төмс,20.8
1971,Төмс,18.6
1972,Төмс,10.2
1973,Төмс,35.3
1974,Төмс,22.8
1975,Төмс,40.7
1976,Төмс,36.0
1977,Төмс,44.6
1978,Төмс,48.5
1979,Төмс,72.4
1980,Төмс,39.3
1981,Төмс,40.4
1982,Төмс,75.1
1983,Төмс,97.5
1984,Төмс,122.9
1985,Төмс,114.1
1986,Төмс,132.8
1987,Төмс,147.6
1988,Төмс,103.2
1989,Төмс,155.6
1990,Төмс,131.1
1991,Төмс,97.5
1992,Төмс,78.5
1941,Хүнсний ногоо,
1943,Хүнсний ногоо,
1952,Хүнсний ногоо,4.2
1953,Хүнсний ногоо,4.1
1955,Хүнсний ногоо,10.0
1956,Хүнсний ногоо,12.8
1957,Хүнсний ногоо,23.7
1958,Хүнсний ногоо,18.5
1959,Хүнсний ногоо,5.9
1960,Хүнсний ногоо,6.8
1961,Хүнсний ногоо,8.6
1962,Хүнсний ногоо,13.3
1963,Хүнсний ногоо,14.2
1964,Хүнсний ногоо,17.1
1965,Хүнсний ногоо,15.8
1966,Хүнсний ногоо,9.1
1967,Хүнсний ногоо,11.7
1970,Хүнсний ногоо,12.7
1971,Хүнсний ногоо,14.2
1972,Хүнсний ногоо,10.9
1973,Хүнсний ногоо,22.4
1974,Хүнсний ногоо,21.2
1975,Хүнсний ногоо,21.2
1976,Хүнсний ногоо,29.1
1977,Хүнсний ногоо,16.8
1978,Хүнсний ногоо,24.6
1979,Хүнсний ногоо,23.5
1980,Хүнсний ногоо,26.0
1981,Хүнсний ногоо,29.1
1982,Хүнсний ногоо,36.1
1983,Хүнсний ногоо,34.3
1984,Хүнсний ногоо,34.2
1985,Хүнсний ногоо,41.3
1986,Хүнсний ногоо,46.4
1987,Хүнсний ногоо,48.0
1988,Хүнсний ногоо,56.3
1989,Хүнсний ногоо,59.5
1990,Хүнсний ногоо,41.7
1991,Хүнсний ногоо,23.3
1992,Хүнсний ногоо,16.4
1941,Тэжээлийн ургамал,
1943,Тэжээлийн ургамал,
1952,Тэжээлийн ургамал,0.4
1953,Тэжээлийн ургамал,0.2
1955,Тэжээлийн ургамал,14.7
1956,Тэжээлийн ургамал,16.5
1957,Тэжээлийн ургамал,12.0
1958,Тэжээлийн ургамал,54.6
1959,Тэжээлийн ургамал,8.4
1960,Тэжээлийн ургамал,37.1
1961,Тэжээлийн ургамал,74.1
1962,Тэжээлийн ургамал,186.5
1963,Тэжээлийн ургамал,136.9
1964,Тэжээлийн ургамал,116.4
1965,Тэжээлийн ургамал,58.6
1966,Тэжээлийн ургамал,97.9
1967,Тэжээлийн ургамал,100.3
1970,Тэжээлийн ургамал,34.7
1971,Тэжээлийн ургамал,60.9
1972,Тэжээлийн ургамал,59.8
1973,Тэжээлийн ургамал,145.3
1974,Тэжээлийн ургамал,128.4
1975,Тэжээлийн ургамал,164.5
1976,Тэжээлийн ургамал,166.8
1977,Тэжээлийн ургамал,170.0
1978,Тэжээлийн ургамал,141.1
1979,Тэжээлийн ургамал,200.3
1980,Тэжээлийн ургамал,102.8
1981,Тэжээлийн ургамал,136.1
1982,Тэжээлийн ургамал,160.8
1983,Тэжээлийн ургамал,172.8
1984,Тэжээлийн ургамал,268.3
1985,Тэжээлийн ургамал,286.0
1986,Тэжээлийн ургамал,586.1
1987,Тэжээлийн ургамал,607.9
1988,Тэжээлийн ургамал,529.3
1989,Тэжээлийн ургамал,551.0
1990,Тэжээлийн ургамал,527.1
1991,Тэжээлийн ургамал,213.1
1992,Тэжээлийн ургамал,138.3
