region,month,deaths
Dornogovi,2016-11,35
Dundgovi,2016-11,20
Govi-Altai,2016-11,25
Govisumber,2016-11,9
Khentii,2016-11,35
Khovd,2016-11,31
Khuvsgul,2016-11,59
Orkhon,2016-11,35
Selenge,2016-11,65
Sukhbaatar,2016-11,17
Tuv,2016-11,24
Ulaanbaatar,2016-11,588
Umnugovi,2016-11,31
Uvs,2016-11,33
Uvurkhangai,2016-11,47
Zavkhan,2016-11,39
Arkhangai,2016-12,40
Bayan-Ulgii,2016-12,42
Bayankhongor,2016-12,43
Bulgan,2016-12,26
Darkhan-Uul,2016-12,41
Dornod,2016-12,39
Dornogovi,2016-12,42
Dundgovi,2016-12,18
Govi-Altai,2016-12,21
Govisumber,2016-12,4
Khentii,2016-12,27
Khovd,2016-12,41
Khuvsgul,2016-12,63
Orkhon,2016-12,26
Selenge,2016-12,30
Sukhbaatar,2016-12,24
Tuv,2016-12,37
Ulaanbaatar,2016-12,583
Umnugovi,2016-12,26
Uvs,2016-12,36
Uvurkhangai,2016-12,49
Zavkhan,2016-12,28
Arkhangai,2017-01,33
Bayan-Ulgii,2017-01,49
Bayankhongor,2017-01,33
Bulgan,2017-01,24
Darkhan-Uul,2017-01,46
Dornod,2017-01,35
Dornogovi,2017-01,24
Dundgovi,2017-01,17
Govi-Altai,2017-01,22
Govisumber,2017-01,9
Khentii,2017-01,29
Khovd,2017-01,34
Khuvsgul,2017-01,60
Orkhon,2017-01,43
Selenge,2017-01,40
Sukhbaatar,2017-01,26
Tuv,2017-01,38
Ulaanbaatar,2017-01,687
Umnugovi,2017-01,16
Uvs,2017-01,26
Uvurkhangai,2017-01,49
Zavkhan,2017-01,17
Arkhangai,2017-02,21
Bayan-Ulgii,2017-02,45
Bayankhongor,2017-02,33
Bulgan,2017-02,19
Darkhan-Uul,2017-02,32
Dornod,2017-02,30
Dornogovi,2017-02,25
Dundgovi,2017-02,22
Govi-Altai,2017-02,17
Govisumber,2017-02,7
Khentii,2017-02,27
Khovd,2017-02,33
Khuvsgul,2017-02,58
Orkhon,2017-02,35
Selenge,2017-02,37
Sukhbaatar,2017-02,18
Tuv,2017-02,25
Ulaanbaatar,2017-02,499
Umnugovi,2017-02,22
Uvs,2017-02,36
Uvurkhangai,2017-02,33
Zavkhan,2017-02,38
Arkhangai,2017-03,43
Bayan-Ulgii,2017-03,45
Bayankhongor,2017-03,43
Bulgan,2017-03,28
Darkhan-Uul,2017-03,58
Dornod,2017-03,33
Dornogovi,2017-03,34
Dundgovi,2017-03,24
Govi-Altai,2017-03,20
Govisumber,2017-03,7
Khentii,2017-03,22
Khovd,2017-03,41
Khuvsgul,2017-03,72
Orkhon,2017-03,44
Selenge,2017-03,48
Sukhbaatar,2017-03,31
Tuv,2017-03,35
Ulaanbaatar,2017-03,636
Umnugovi,2017-03,32
Uvs,2017-03,32
Uvurkhangai,2017-03,55
Zavkhan,2017-03,45
Arkhangai,2017-04,32
Bayan-Ulgii,2017-04,20
Bayankhongor,2017-04,42
Bulgan,2017-04,26
Darkhan-Uul,2017-04,38
Dornod,2017-04,28
Dornogovi,2017-04,32
Dundgovi,2017-04,22
Govi-Altai,2017-04,23
Govisumber,2017-04,5
Khentii,2017-04,30
Khovd,2017-04,34
Khuvsgul,2017-04,60
Orkhon,2017-04,33
Selenge,2017-04,29
Sukhbaatar,2017-04,30
Tuv,2017-04,32
Ulaanbaatar,2017-04,550
Umnugovi,2017-04,22
Uvs,2017-04,33
Uvurkhangai,2017-04,51
Zavkhan,2017-04,34
Arkhangai,2017-05,35
Bayan-Ulgii,2017-05,35
Bayankhongor,2017-05,38
Bulgan,2017-05,29
Darkhan-Uul,2017-05,43
Dornod,2017-05,33
Dornogovi,2017-05,32
Dundgovi,2017-05,15
Govi-Altai,2017-05,23
Govisumber,2017-05,6
Khentii,2017-05,34
Khovd,2017-05,37
Khuvsgul,2017-05,55
Orkhon,2017-05,42
Selenge,2017-05,40
Sukhbaatar,2017-05,26
Tuv,2017-05,48
Ulaanbaatar,2017-05,625
Umnugovi,2017-05,34
Uvs,2017-05,46
Uvurkhangai,2017-05,51
Zavkhan,2017-05,35
Arkhangai,2017-06,44
Bayan-Ulgii,2017-06,29
Bayankhongor,2017-06,36
Bulgan,2017-06,28
Darkhan-Uul,2017-06,46
Dornod,2017-06,41
Dornogovi,2017-06,38
Dundgovi,2017-06,14
Govi-Altai,2017-06,22
Govisumber,2017-06,8
Khentii,2017-06,27
Khovd,2017-06,35
Khuvsgul,2017-06,56
Orkhon,2017-06,42
Selenge,2017-06,42
Sukhbaatar,2017-06,29
Tuv,2017-06,28
Ulaanbaatar,2017-06,572
Umnugovi,2017-06,27
Uvs,2017-06,36
Uvurkhangai,2017-06,47
Zavkhan,2017-06,33
Arkhangai,2017-07,41
Bayan-Ulgii,2017-07,32
Bayankhongor,2017-07,32
Bulgan,2017-07,40
Darkhan-Uul,2017-07,48
Dornod,2017-07,44
Dornogovi,2017-07,25
Dundgovi,2017-07,21
Govi-Altai,2017-07,25
Govisumber,2017-07,9
Khentii,2017-07,28
Khovd,2017-07,25
Khuvsgul,2017-07,75
Orkhon,2017-07,38
Selenge,2017-07,41
Sukhbaatar,2017-07,25
Tuv,2017-07,32
Ulaanbaatar,2017-07,551
Umnugovi,2017-07,22
Uvs,2017-07,47
Uvurkhangai,2017-07,49
Zavkhan,2017-07,29
Arkhangai,2017-08,40
Bayan-Ulgii,2017-08,42
Bayankhongor,2017-08,39
Bulgan,2017-08,20
Darkhan-Uul,2017-08,47
Dornod,2017-08,37
Dornogovi,2017-08,22
Dundgovi,2017-08,21
Govi-Altai,2017-08,27
Govisumber,2017-08,6
Khentii,2017-08,36
Khovd,2017-08,41
Khuvsgul,2017-08,75
Orkhon,2017-08,41
Selenge,2017-08,40
Sukhbaatar,2017-08,24
Tuv,2017-08,37
Ulaanbaatar,2017-08,618
Umnugovi,2017-08,20
Uvs,2017-08,30
Uvurkhangai,2017-08,56
Zavkhan,2017-08,28
Arkhangai,2017-09,51
Bayan-Ulgii,2017-09,35
Bayankhongor,2017-09,42
Bulgan,2017-09,34
Darkhan-Uul,2017-09,56
Dornod,2017-09,41
Dornogovi,2017-09,22
Dundgovi,2017-09,17
Govi-Altai,2017-09,20
Govisumber,2017-09,7
Khentii,2017-09,28
Khovd,2017-09,35
Khuvsgul,2017-09,67
Orkhon,2017-09,46
Selenge,2017-09,40
Sukhbaatar,2017-09,36
Tuv,2017-09,44
Ulaanbaatar,2017-09,595
Umnugovi,2017-09,25
Uvs,2017-09,30
Uvurkhangai,2017-09,59
Zavkhan,2017-09,30
Arkhangai,2017-10,43
Bayan-Ulgii,2017-10,35
Bayankhongor,2017-10,40
Bulgan,2017-10,28
Darkhan-Uul,2017-10,47
Dornod,2017-10,37
Dornogovi,2017-10,35
Dundgovi,2017-10,16
Govi-Altai,2017-10,31
Govisumber,2017-10,6
Khentii,2017-10,19
Khovd,2017-10,39
Khuvsgul,2017-10,77
Orkhon,2017-10,45
Selenge,2017-10,49
Sukhbaatar,2017-10,27
Tuv,2017-10,41
Ulaanbaatar,2017-10,603
Umnugovi,2017-10,30
Uvs,2017-10,42
Uvurkhangai,2017-10,60
Zavkhan,2017-10,28
Arkhangai,2017-11,30
Bayan-Ulgii,2017-11,39
Bayankhongor,2017-11,29
Bulgan,2017-11,35
Darkhan-Uul,2017-11,51
Dornod,2017-11,28
Dornogovi,2017-11,26
Dundgovi,2017-11,20
Govi-Altai,2017-11,30
Govisumber,2017-11,6
Khentii,2017-11,30
Khovd,2017-11,39
Khuvsgul,2017-11,65
Orkhon,2017-11,36
Selenge,2017-11,43
Sukhbaatar,2017-11,23
Tuv,2017-11,34
Ulaanbaatar,2017-11,606
Umnugovi,2017-11,28
Uvs,2017-11,35
Uvurkhangai,2017-11,39
Zavkhan,2017-11,20
Arkhangai,2017-12,36
Bayan-Ulgii,2017-12,42
Bayankhongor,2017-12,36
Bulgan,2017-12,27
Darkhan-Uul,2017-12,33
Dornod,2017-12,43
Dornogovi,2017-12,25
Dundgovi,2017-12,22
Govi-Altai,2017-12,32
