улс,он,экспорт_сая_ам_дол
БНХАУ,2005,513422.3
Швейцарь,2005,4182.6
АНУ,2005,152476.7
ОХУ,2005,27229.9
Иран,2005,0.0
Итали,2005,24846.3
БНСУ,2005,65085.6
Австрали,2005,28524.699999999997
Франц,2005,663.2
Япон,2005,5797.9
БНХАУ,2006,1049595.0
Швейцарь,2006,6367.7
АНУ,2006,119031.5
ОХУ,2006,45113.0
Иран,2006,0.0
Итали,2006,40395.7
БНСУ,2006,21385.8
Австрали,2006,799.5
Франц,2006,1792.0
Япон,2006,7113.2
БНХАУ,2007,1411391.2
Швейцарь,2007,1768.5
АНУ,2007,99869.4
ОХУ,2007,58485.4
Иран,2007,108.7
Итали,2007,56739.2
БНСУ,2007,41521.3
Австрали,2007,2462.9
Франц,2007,5411.4
Япон,2007,15088.5
БНХАУ,2008,1635942.4
Швейцарь,2008,2082.0
АНУ,2008,114232.6
ОХУ,2008,86318.0
Иран,2008,0.0
Итали,2008,42218.4
БНСУ,2008,29892.0
Австрали,2008,1555.9
Франц,2008,30274.2
Япон,2008,27589.0
БНХАУ,2009,1394000.7
Швейцарь,2009,2815.6
АНУ,2009,13892.0
ОХУ,2009,68204.7
Иран,2009,0.0
Итали,2009,31443.0
БНСУ,2009,15458.1
Австрали,2009,1655.5
Франц,2009,2231.6
Япон,2009,4564.2
БНХАУ,2010,2466447.5
Швейцарь,2010,2910.3
АНУ,2010,6018.2
ОХУ,2010,82747.9
Иран,2010,6839.3
Итали,2010,31776.6
БНСУ,2010,30519.9
Австрали,2010,596.3
Франц,2010,3909.6
Япон,2010,2669.7
БНХАУ,2011,4439870.9
Швейцарь,2011,18027.6
АНУ,2011,5040.0
ОХУ,2011,96342.4
Иран,2011,798.0
Итали,2011,49816.1
БНСУ,2011,37873.3
Австрали,2011,875.6
Франц,2011,7724.5
Япон,2011,10963.9
БНХАУ,2012,4059720.4
Швейцарь,2012,8925.1
АНУ,2012,3568.1
ОХУ,2012,79565.7
Иран,2012,214.6
Итали,2012,31608.2
БНСУ,2012,12295.6
Австрали,2012,1102.9
Франц,2012,3639.7
Япон,2012,5602.6
БНХАУ,2013,3706341.0
Швейцарь,2013,3073.9
АНУ,2013,3898.1
ОХУ,2013,61772.7
Иран,2013,1966.2
Итали,2013,51506.2
БНСУ,2013,13023.8
Австрали,2013,16570.5
Франц,2013,8528.7
Япон,2013,10534.3
БНХАУ,2014,5073398.8
Швейцарь,2014,28052.0
АНУ,2014,15362.8
ОХУ,2014,61607.3
Иран,2014,0.0
Итали,2014,51412.5
БНСУ,2014,13496.5
Австрали,2014,2328.4
Франц,2014,9304.7
Япон,2014,24451.2
БНХАУ,2015,3910120.6
Швейцарь,2015,109167.6
АНУ,2015,18732.3
ОХУ,2015,76871.7
Иран,2015,0.0
Итали,2015,43401.1
БНСУ,2015,66571.9
Австрали,2015,5978.5
Франц,2015,7337.7
Япон,2015,20315.3
БНХАУ,2016,3901611.3
Швейцарь,2016,1013.8
АНУ,2016,10461.5
ОХУ,2016,55769.1
Иран,2016,55.4
Итали,2016,33579.3
БНСУ,2016,8470.4
Австрали,2016,2508.8
Франц,2016,6933.9
Япон,2016,14031.7
БНХАУ,2017,5307431.8
Швейцарь,2017,658.3
АНУ,2017,8299.1
ОХУ,2017,67661.1
Иран,2017,8266.3
Итали,2017,43299.9
БНСУ,2017,11617.8
Австрали,2017,6940.4
Франц,2017,5735.8
Япон,2017,14816.5
БНХАУ,2018,6542824.8
Швейцарь,2018,738.7
АНУ,2018,7603.3
ОХУ,2018,85936.0
Иран,2018,9022.3
Итали,2018,54078.1
БНСУ,2018,21200.4
Австрали,2018,2572.3
Франц,2018,5396.6
Япон,2018,26468.5
БНХАУ,2019,6789726.9
Швейцарь,2019,74986.3
АНУ,2019,25997.5
ОХУ,2019,68093.3
Иран,2019,21137.9
Итали,2019,45298.8
БНСУ,2019,27799.0
Австрали,2019,79277.4
Франц,2019,5056.3
Япон,2019,15517.0
БНХАУ,2020,5493619.0
Швейцарь,2020,1681588.9
АНУ,2020,10824.3
ОХУ,2020,57274.8
Иран,2020,1917.2
Итали,2020,19403.4
БНСУ,2020,21421.4
Австрали,2020,2566.1
Франц,2020,5087.7
Япон,2020,9628.7
БНХАУ,2021,7638572.5
Швейцарь,2021,869738.5
АНУ,2021,31029.8
ОХУ,2021,112783.9
Иран,2021,1728.2
Итали,2021,35559.6
БНСУ,2021,223303.2
Австрали,2021,1383.1
Франц,2021,4967.1
Япон,2021,17732.6
БНХАУ,2022,11061576.4
Швейцарь,2022,1030718.8
АНУ,2022,9895.4
ОХУ,2022,93365.8
Иран,2022,7995.5
Итали,2022,88058.0
БНСУ,2022,127495.3
Австрали,2022,2060.8999999999996
Франц,2022,6903.4
Япон,2022,15228.2
БНХАУ,2023,13940183.1
Швейцарь,2023,666311.7
АНУ,2023,36553.5
ОХУ,2023,112709.7
Иран,2023,34900.1
Итали,2023,98994.8
БНСУ,2023,126443.2
Австрали,2023,7443.7
Франц,2023,11370.8
Япон,2023,14992.9
БНХАУ,2024,14420678.66
Швейцарь,2024,744975.45
АНУ,2024,166397.03
ОХУ,2024,100712.12
Иран,2024,66250.55
Итали,2024,59634.58
БНСУ,2024,52559.86
Австрали,2024,26884.48
Франц,2024,20346.25
Япон,2024,12557.92
БНХАУ,2025,14095261.47
Швейцарь,2025,1089184.25
АНУ,2025,126826.22
ОХУ,2025,60651.8
Иран,2025,61949.58
Итали,2025,51291.36
БНСУ,2025,38997.32
Австрали,2025,3797.45
Франц,2025,10291.11
Япон,2025,9131.59
