он,гэмт_хэргийн_төрөл,яллагдагч
2014,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2048
2014,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",417
2014,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,396
2014,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,327
2014,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,254
2014,Эдийн засгийн гэмт хэрэг гэмт хэрэг,182
2014,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",141
2014,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,106
2014,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,57
2014,Авлигын гэмт хэрэг,40
2014,Цэргийн албаны эсрэг гэмт хэрэг,12
2014,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,11
2014,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2
2014,Эрүүл мэндийн эсрэг гэмт хэрэг,0
2014,Хүүхдийн эсрэг гэмт хэрэг,0
2014,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
2015,Өмчлөх эрхийн эсрэг гэмт хэрэг,10326
2015,Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,8468
2015,"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2219
2015,"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",1956
2015,"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",446
2015,Хүний амьд явах эрхийн эсрэг гэмт хэрэг,316
2015,Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,304
2015,Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,278
2015,Эдийн засгийн гэмт хэрэг гэмт хэрэг,186
2015,"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",159
2015,Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,99
2015,Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,58
2015,Авлигын гэмт хэрэг,29
2015,Цэргийн албаны эсрэг гэмт хэрэг,10
2015,Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2
2015,Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,1
2015,Эрүүл мэндийн эсрэг гэмт хэрэг,0
2015,Хүүхдийн эсрэг гэмт хэрэг,0
2015,"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",0
