огноо,үзүүлэлт,утга
2000-01-01,Нийт хөрөнгө,360.0
2000-01-01,Нийт өр төлбөр,4858.0
2000-01-01,Цэвэр ГХБ,-4498.0
2000-04-01,Нийт хөрөнгө,380.0
2000-04-01,Нийт өр төлбөр,4865.0
2000-04-01,Цэвэр ГХБ,-4485.0
2000-07-01,Нийт хөрөнгө,397.0
2000-07-01,Нийт өр төлбөр,4867.0
2000-07-01,Цэвэр ГХБ,-4470.0
2000-10-01,Нийт хөрөнгө,410.0
2000-10-01,Нийт өр төлбөр,4912.0
2000-10-01,Цэвэр ГХБ,-4502.0
2001-01-01,Нийт хөрөнгө,399.0
2001-01-01,Нийт өр төлбөр,4920.0
2001-01-01,Цэвэр ГХБ,-4521.0
2001-04-01,Нийт хөрөнгө,429.0
2001-04-01,Нийт өр төлбөр,4949.0
2001-04-01,Цэвэр ГХБ,-4519.0
2001-07-01,Нийт хөрөнгө,440.0
2001-07-01,Нийт өр төлбөр,4954.0
2001-07-01,Цэвэр ГХБ,-4514.0
2001-10-01,Нийт хөрөнгө,463.0
2001-10-01,Нийт өр төлбөр,5008.0
2001-10-01,Цэвэр ГХБ,-4545.0
2002-01-01,Нийт хөрөнгө,465.0
2002-01-01,Нийт өр төлбөр,5046.0
2002-01-01,Цэвэр ГХБ,-4581.0
2002-04-01,Нийт хөрөнгө,470.0
2002-04-01,Нийт өр төлбөр,5079.0
2002-04-01,Цэвэр ГХБ,-4610.0
2002-07-01,Нийт хөрөнгө,501.0
2002-07-01,Нийт өр төлбөр,5191.0
2002-07-01,Цэвэр ГХБ,-4690.0
2002-10-01,Нийт хөрөнгө,532.0
2002-10-01,Нийт өр төлбөр,5241.0
2002-10-01,Цэвэр ГХБ,-4709.0
2003-01-01,Нийт хөрөнгө,529.0
2003-01-01,Нийт өр төлбөр,5390.0
2003-01-01,Цэвэр ГХБ,-4861.0
2003-04-01,Нийт хөрөнгө,546.0
2003-04-01,Нийт өр төлбөр,5541.0
2003-04-01,Цэвэр ГХБ,-4995.0
2003-07-01,Нийт хөрөнгө,603.0
2003-07-01,Нийт өр төлбөр,5716.0
2003-07-01,Цэвэр ГХБ,-5113.0
2003-10-01,Нийт хөрөнгө,534.0
2003-10-01,Нийт өр төлбөр,5720.0
2003-10-01,Цэвэр ГХБ,-5186.0
2004-01-01,Нийт хөрөнгө,504.0
2004-01-01,Нийт өр төлбөр,5724.0
2004-01-01,Цэвэр ГХБ,-5220.0
2004-04-01,Нийт хөрөнгө,598.0
2004-04-01,Нийт өр төлбөр,5773.0
