он,сар,бүтээгдэхүүн,хэмжээ_тн
2021,11,Шингэрүүлсэн шатдаг хий,6370.0
2021,12,Автобензин А-80,5672.0
2021,12,Автобензин АИ-92,53674.0
2021,12,Автобензин АИ-95,4025.0
2021,12,Автобензин АИ-98,51.0
2021,12,Бусад,20250.0
2021,12,Дизелийн түлш,99303.0
2021,12,Нийт,189533.0
2021,12,Онгоцны түлш ТС-1,1314.0
2021,12,Шингэрүүлсэн шатдаг хий,5245.0
2022,1,Автобензин А-80,1229.0
2022,1,Автобензин АИ-92,39498.0
2022,1,Автобензин АИ-95,1769.0
2022,1,Автобензин АИ-98,
2022,1,Бусад,9317.0
2022,1,Дизелийн түлш,83809.0
2022,1,Нийт,139456.0
2022,1,Онгоцны түлш ТС-1,1805.0
2022,1,Шингэрүүлсэн шатдаг хий,2030.0
2022,2,Автобензин А-80,4187.0
2022,2,Автобензин АИ-92,63713.0
2022,2,Автобензин АИ-95,1244.0
2022,2,Автобензин АИ-98,
2022,2,Бусад,6588.0
2022,2,Дизелийн түлш,58792.0
2022,2,Нийт,138921.0
2022,2,Онгоцны түлш ТС-1,1492.0
2022,2,Шингэрүүлсэн шатдаг хий,2904.0
2022,3,Автобензин А-80,4821.0
2022,3,Автобензин АИ-92,55620.0
2022,3,Автобензин АИ-95,3876.0
2022,3,Автобензин АИ-98,122.0
2022,3,Бусад,9571.0
2022,3,Дизелийн түлш,53989.0
2022,3,Нийт,133828.0
2022,3,Онгоцны түлш ТС-1,2396.0
2022,3,Шингэрүүлсэн шатдаг хий,3433.0
2022,4,Автобензин А-80,2254.0
2022,4,Автобензин АИ-92,24945.0
2022,4,Автобензин АИ-95,3391.0
2022,4,Автобензин АИ-98,61.0
2022,4,Бусад,6791.0
2022,4,Дизелийн түлш,61773.0
2022,4,Нийт,114043.0
2022,4,Онгоцны түлш ТС-1,11553.0
2022,4,Шингэрүүлсэн шатдаг хий,3276.0
2022,5,Автобензин А-80,2382.0
2022,5,Автобензин АИ-92,59583.0
2022,5,Автобензин АИ-95,1949.0
2022,5,Автобензин АИ-98,
2022,5,Бусад,17178.0
2022,5,Дизелийн түлш,83553.0
2022,5,Нийт,172740.0
2022,5,Онгоцны түлш ТС-1,4245.0
2022,5,Шингэрүүлсэн шатдаг хий,3850.0
2022,6,Автобензин А-80,4036.0
2022,6,Автобензин АИ-92,48840.0
2022,6,Автобензин АИ-95,2075.0
2022,6,Автобензин АИ-98,
2022,6,Бусад,23969.0
2022,6,Дизелийн түлш,98140.0
2022,6,Нийт,187104.0
2022,6,Онгоцны түлш ТС-1,6807.0
2022,6,Шингэрүүлсэн шатдаг хий,3237.0
2022,7,Автобензин А-80,741.0
2022,7,Автобензин АИ-92,51376.0
2022,7,Автобензин АИ-95,1271.0
2022,7,Автобензин АИ-98,
2022,7,Бусад,11915.0
2022,7,Дизелийн түлш,66379.0
2022,7,Нийт,136573.0
2022,7,Онгоцны түлш ТС-1,1901.0
2022,7,Шингэрүүлсэн шатдаг хий,2990.0
2022,8,Автобензин А-80,6911.0
2022,8,Автобензин АИ-92,44534.0
2022,8,Автобензин АИ-95,1559.0
2022,8,Автобензин АИ-98,
2022,8,Бусад,9413.0
2022,8,Дизелийн түлш,90955.0
2022,8,Нийт,166937.0
2022,8,Онгоцны түлш ТС-1,4277.0
2022,8,Шингэрүүлсэн шатдаг хий,9289.0
2022,9,Автобензин А-80,1292.0
2022,9,Автобензин АИ-92,40452.0
2022,9,Автобензин АИ-95,1209.0
2022,9,Автобензин АИ-98,
2022,9,Бусад,20821.0
2022,9,Дизелийн түлш,79785.0
2022,9,Нийт,153678.0
2022,9,Онгоцны түлш ТС-1,8062.0
2022,9,Шингэрүүлсэн шатдаг хий,2058.0
2022,10,Автобензин А-80,932.0
2022,10,Автобензин АИ-92,62672.0
2022,10,Автобензин АИ-95,2008.0
2022,10,Автобензин АИ-98,
2022,10,Бусад,7913.0
2022,10,Дизелийн түлш,85633.0
2022,10,Нийт,164335.0
2022,10,Онгоцны түлш ТС-1,3579.0
2022,10,Шингэрүүлсэн шатдаг хий,1598.0
2022,11,Автобензин А-80,2891.0
2022,11,Автобензин АИ-92,73324.0
2022,11,Автобензин АИ-95,905.0
2022,11,Автобензин АИ-98,
2022,11,Бусад,3531.0
2022,11,Дизелийн түлш,83260.0
2022,11,Нийт,175240.0
2022,11,Онгоцны түлш ТС-1,6915.0
2022,11,Шингэрүүлсэн шатдаг хий,4414.0
2022,12,Автобензин А-80,840.0
2022,12,Автобензин АИ-92,52053.0
2022,12,Автобензин АИ-95,1205.0
2022,12,Автобензин АИ-98,
2022,12,Бусад,13772.0
2022,12,Дизелийн түлш,116402.0
2022,12,Нийт,192488.0
2022,12,Онгоцны түлш ТС-1,3915.0
2022,12,Шингэрүүлсэн шатдаг хий,4299.0
2023,1,Автобензин А-80,2351.0
2023,1,Автобензин АИ-92,29391.0
2023,1,Автобензин АИ-95,2104.0
2023,1,Автобензин АИ-98,0.0
2023,1,Бусад,3551.0
2023,1,Дизелийн түлш,122435.0
2023,1,Нийт,168935.0
2023,1,Онгоцны түлш ТС-1,6065.0
2023,1,Шингэрүүлсэн шатдаг хий,3038.0
2023,2,Автобензин А-80,1440.0
2023,2,Автобензин АИ-92,61738.0
2023,2,Автобензин АИ-95,1463.0
2023,2,Автобензин АИ-98,0.0
2023,2,Бусад,3988.0
2023,2,Дизелийн түлш,71540.0
2023,2,Нийт,153583.0
2023,2,Онгоцны түлш ТС-1,9242.0
2023,2,Шингэрүүлсэн шатдаг хий,4172.0
2023,3,Автобензин А-80,2474.0
2023,3,Автобензин АИ-92,54079.0
2023,3,Автобензин АИ-95,2012.0
2023,3,Автобензин АИ-98,0.0
2023,3,Бусад,12237.0
2023,3,Дизелийн түлш,96881.0
2023,3,Нийт,179102.0
2023,3,Онгоцны түлш ТС-1,8117.0
2023,3,Шингэрүүлсэн шатдаг хий,3302.0
2023,4,Автобензин А-80,1032.0
2023,4,Автобензин АИ-92,57674.0
2023,4,Автобензин АИ-95,486.0
2023,4,Автобензин АИ-98,0.0
2023,4,Бусад,20633.0
2023,4,Дизелийн түлш,104563.0
2023,4,Нийт,192367.0
2023,4,Онгоцны түлш ТС-1,5020.0
2023,4,Шингэрүүлсэн шатдаг хий,2959.0
2023,5,Автобензин А-80,1695.0
2023,5,Автобензин АИ-92,59760.0
2023,5,Автобензин АИ-95,1265.0
2023,5,Автобензин АИ-98,0.0
2023,5,Бусад,17992.0
2023,5,Дизелийн түлш,136356.0
2023,5,Нийт,233854.0
2023,5,Онгоцны түлш ТС-1,10634.0
2023,5,Шингэрүүлсэн шатдаг хий,6152.0
2023,6,Автобензин А-80,2751.0
2023,6,Автобензин АИ-92,65375.0
2023,6,Автобензин АИ-95,1607.0
2023,6,Автобензин АИ-98,0.0
2023,6,Бусад,23074.0
2023,6,Дизелийн түлш,114638.0
2023,6,Нийт,218606.0
2023,6,Онгоцны түлш ТС-1,8377.0
2023,6,Шингэрүүлсэн шатдаг хий,2784.0
2023,7,Автобензин А-80,2795.0
2023,7,Автобензин АИ-92,74997.0
2023,7,Автобензин АИ-95,2004.0
2023,7,Автобензин АИ-98,0.0
2023,7,Бусад,33591.0
2023,7,Дизелийн түлш,139103.0
2023,7,Нийт,262698.0
2023,7,Онгоцны түлш ТС-1,5667.0
2023,7,Шингэрүүлсэн шатдаг хий,4541.0
2023,8,Автобензин А-80,4582.0
2023,8,Автобензин АИ-92,76182.0
2023,8,Автобензин АИ-95,1754.0
2023,8,Автобензин АИ-98,0.0
2023,8,Бусад,28694.0
2023,8,Дизелийн түлш,152867.0
2023,8,Нийт,272540.0
2023,8,Онгоцны түлш ТС-1,5251.0
2023,8,Шингэрүүлсэн шатдаг хий,3210.0
2023,9,Автобензин А-80,1452.0
2023,9,Автобензин АИ-92,48141.0
2023,9,Автобензин АИ-95,606.0
2023,9,Автобензин АИ-98,0.0
2023,9,Бусад,15793.0
2023,9,Дизелийн түлш,82779.0
2023,9,Нийт,158754.0
2023,9,Онгоцны түлш ТС-1,6838.0
2023,9,Шингэрүүлсэн шатдаг хий,3144.0
2023,10,Автобензин А-80,0.0
2023,10,Автобензин АИ-92,32141.0
2023,10,Автобензин АИ-95,2223.0
2023,10,Автобензин АИ-98,0.0
2023,10,Бусад,34372.0
2023,10,Дизелийн түлш,63987.0
2023,10,Нийт,147865.0
2023,10,Онгоцны түлш ТС-1,13687.0
2023,10,Шингэрүүлсэн шатдаг хий,1455.0
2023,11,Автобензин А-80,0.0
2023,11,Автобензин АИ-92,64074.0
2023,11,Автобензин АИ-95,3090.0
2023,11,Автобензин АИ-98,0.0
2023,11,Бусад,7418.0
2023,11,Дизелийн түлш,111213.0
2023,11,Нийт,201024.0
2023,11,Онгоцны түлш ТС-1,10813.0
2023,11,Шингэрүүлсэн шатдаг хий,4417.0
2023,12,Автобензин А-80,992.0
2023,12,Автобензин АИ-92,62980.0
2023,12,Автобензин АИ-95,2479.0
2023,12,Автобензин АИ-98,0.0
2023,12,Бусад,5441.0
2023,12,Дизелийн түлш,146212.0
2023,12,Нийт,228157.0
2023,12,Онгоцны түлш ТС-1,6961.0
2023,12,Шингэрүүлсэн шатдаг хий,3091.0
2024,1,Автобензин А-80,1740.0
2024,1,Автобензин АИ-92,78421.0
2024,1,Автобензин АИ-95,2492.0
2024,1,Автобензин АИ-98,0.0
2024,1,Бусад,7635.0
2024,1,Дизелийн түлш,129542.0
2024,1,Нийт,231404.0
2024,1,Онгоцны түлш ТС-1,8552.0
2024,1,Шингэрүүлсэн шатдаг хий,3022.0
2024,2,Автобензин А-80,0.0
2024,2,Автобензин АИ-92,61289.0
2024,2,Автобензин АИ-95,1404.0
2024,2,Бусад,5698.0
2024,2,Дизелийн түлш,92109.0
2024,2,Нийт,171587.0
2024,2,Онгоцны түлш ТС-1,6326.0
2024,2,Шингэрүүлсэн шатдаг хий,4761.0
2024,3,Автобензин А-80,308.0
2024,3,Автобензин АИ-92,69149.0
2024,3,Автобензин АИ-95,1744.0
2024,3,Бусад,7804.0
2024,3,Дизелийн түлш,148622.0
2024,3,Нийт,240548.0
2024,3,Онгоцны түлш ТС-1,8136.0
2024,3,Шингэрүүлсэн шатдаг хий,4785.0
2024,4,Автобензин А-80,128.0
2024,4,Автобензин АИ-92,67436.0
2024,4,Автобензин АИ-95,1194.0
2024,4,Бусад,10258.0
2024,4,Дизелийн түлш,140012.0
2024,4,Нийт,228537.0
2024,4,Онгоцны түлш ТС-1,6567.0
2024,4,Шингэрүүлсэн шатдаг хий,2942.0
2024,5,Автобензин А-80,164.0
2024,5,Автобензин АИ-92,70900.0
2024,5,Автобензин АИ-95,4487.0
2024,5,Бусад,14379.0
2024,5,Дизелийн түлш,140677.0
2024,5,Нийт,243046.0
2024,5,Онгоцны түлш ТС-1,9649.0
2024,5,Шингэрүүлсэн шатдаг хий,2790.0
2024,6,Автобензин А-80,1095.0
2024,6,Автобензин АИ-92,64114.0
2024,6,Автобензин АИ-95,1240.0
2024,6,Бусад,10820.0
2024,6,Дизелийн түлш,118720.0
2024,6,Нийт,209033.0
2024,6,Онгоцны түлш ТС-1,10590.0
2024,6,Шингэрүүлсэн шатдаг хий,2454.0
2024,7,Автобензин А-80,58.4
2024,7,Автобензин АИ-92,71929.2
2024,7,Автобензин АИ-95,318.7
2024,7,Бусад,16812.7
2024,7,Дизелийн түлш,146949.3
2024,7,Нийт,251174.0
2024,7,Онгоцны түлш ТС-1,10015.4
2024,7,Шингэрүүлсэн шатдаг хий,5090.7
2024,8,Автобензин А-80,417.9
2024,8,Автобензин АИ-92,69273.3
2024,8,Автобензин АИ-95,1540.8
2024,8,Бусад,22181.1
2024,8,Дизелийн түлш,149756.6
2024,8,Нийт,252918.0
2024,8,Онгоцны түлш ТС-1,6265.4
2024,8,Шингэрүүлсэн шатдаг хий,3483.0
2024,9,Автобензин А-80,860.9
2024,9,Автобензин АИ-92,66267.8
2024,9,Автобензин АИ-95,572.3
2024,9,Бусад,24475.2
2024,9,Дизелийн түлш,142138.4
2024,9,Нийт,242019.0
2024,9,Онгоцны түлш ТС-1,2953.8
2024,9,Шингэрүүлсэн шатдаг хий,4750.2
2024,10,Автобензин А-80,70.4
2024,10,Автобензин АИ-92,64950.9
2024,10,Автобензин АИ-95,462.9
2024,10,Бусад,19461.2
2024,10,Дизелийн түлш,127371.3
2024,10,Нийт,227244.0
2024,10,Онгоцны түлш ТС-1,9803.6
2024,10,Шингэрүүлсэн шатдаг хий,5123.7
2024,11,Автобензин А-80,751.9
2024,11,Автобензин АИ-92,79455.8
2024,11,Автобензин АИ-95,844.8
2024,11,Бусад,7627.3
2024,11,Дизелийн түлш,120365.6
2024,11,Нийт,217162.0
2024,11,Онгоцны түлш ТС-1,5143.9
2024,11,Шингэрүүлсэн шатдаг хий,2972.5
2024,12,Автобензин А-80,44.0
2024,12,Автобензин АИ-92,102823.0
2024,12,Автобензин АИ-95,2905.0
2024,12,Бусад,11235.0
2024,12,Дизелийн түлш,161342.0
2024,12,Нийт,293457.0
2024,12,Онгоцны түлш ТС-1,11363.0
2024,12,Шингэрүүлсэн шатдаг хий,3745.0
2025,1,Автобензин А-80,66.0
2025,1,Автобензин АИ-92,90482.0
2025,1,Автобензин АИ-95,1487.0
2025,1,Бусад,6071.0
2025,1,Дизелийн түлш,183926.0
2025,1,Нийт,296382.0
2025,1,Онгоцны түлш ТС-1,10152.0
2025,1,Шингэрүүлсэн шатдаг хий,4197.0
2025,2,Автобензин А-80,56.0
2025,2,Автобензин АИ-92,66749.0
2025,2,Автобензин АИ-95,1467.0
2025,2,Бусад,6042.0
2025,2,Дизелийн түлш,154191.0
2025,2,Нийт,236383.0
2025,2,Онгоцны түлш ТС-1,5092.0
2025,2,Шингэрүүлсэн шатдаг хий,2786.0
2025,3,Автобензин А-80,131.0
2025,3,Автобензин АИ-92,67438.0
2025,3,Автобензин АИ-95,1950.0
2025,3,Бусад,6480.0
2025,3,Дизелийн түлш,127439.0
2025,3,Нийт,216299.0
2025,3,Онгоцны түлш ТС-1,8241.0
2025,3,Шингэрүүлсэн шатдаг хий,4620.0
2025,4,Автобензин А-80,0.0
2025,4,Автобензин АИ-92,48497.0
2025,4,Автобензин АИ-95,339.0
2025,4,Бусад,15853.0
2025,4,Дизелийн түлш,140578.0
2025,4,Нийт,219425.0
2025,4,Онгоцны түлш ТС-1,11201.0
2025,4,Шингэрүүлсэн шатдаг хий,2957.0
2025,5,Автобензин А-80,0.0
2025,5,Автобензин АИ-92,58478.0
2025,5,Автобензин АИ-95,1401.0
2025,5,Бусад,17850.0
2025,5,Дизелийн түлш,112022.0
2025,5,Нийт,195699.0
2025,5,Онгоцны түлш ТС-1,2624.0
2025,5,Шингэрүүлсэн шатдаг хий,3324.0
2025,6,Автобензин А-80,0.0
2025,6,Автобензин АИ-92,68871.0
2025,6,Автобензин АИ-95,694.0
2025,6,Бусад,24463.0
2025,6,Дизелийн түлш,125025.0
2025,6,Нийт,227332.0
2025,6,Онгоцны түлш ТС-1,7201.0
2025,6,Шингэрүүлсэн шатдаг хий,1078.0
2025,7,Автобензин А-80,
2025,7,Автобензин АИ-92,76949.0
2025,7,Автобензин АИ-95,1376.0
2025,7,Бусад,16140.0
2025,7,Дизелийн түлш,153359.0
2025,7,Нийт,259693.0
2025,7,Онгоцны түлш ТС-1,6512.0
2025,7,Шингэрүүлсэн шатдаг хий,5357.0
2025,8,Автобензин А-80,
2025,8,Автобензин АИ-92,70337.0
2025,8,Автобензин АИ-95,1188.0
2025,8,Бусад,18454.0
2025,8,Дизелийн түлш,199924.0
2025,8,Нийт,307239.0
2025,8,Онгоцны түлш ТС-1,10770.0
2025,8,Шингэрүүлсэн шатдаг хий,6566.0
2025,9,Автобензин А-80,
2025,9,Автобензин АИ-92,70444.0
2025,9,Автобензин АИ-95,2704.0
2025,9,Бусад,19944.0
2025,9,Дизелийн түлш,164054.0
2025,9,Нийт,268427.0
2025,9,Онгоцны түлш ТС-1,3173.0
2025,9,Шингэрүүлсэн шатдаг хий,8108.0
2025,10,Автобензин А-80,
2025,10,Автобензин АИ-92,58721.0
2025,10,Автобензин АИ-95,563.0
2025,10,Бусад,13393.0
2025,10,Дизелийн түлш,138853.0
2025,10,Нийт,219147.0
2025,10,Онгоцны түлш ТС-1,4378.0
2025,10,Шингэрүүлсэн шатдаг хий,3239.0
2025,11,Автобензин А-80,
2025,11,Автобензин АИ-92,71445.0
2025,11,Автобензин АИ-95,2425.0
2025,11,Бусад,6149.0
2025,11,Дизелийн түлш,129576.0
2025,11,Нийт,217609.0
2025,11,Онгоцны түлш ТС-1,4888.0
2025,11,Шингэрүүлсэн шатдаг хий,3126.0
2025,12,Автобензин А-80,
2025,12,Автобензин АИ-92,79746.0
2025,12,Автобензин АИ-95,4944.0
2025,12,Бусад,3912.0
2025,12,Дизелийн түлш,205572.0
2025,12,Нийт,309380.0
2025,12,Онгоцны түлш ТС-1,11420.0
2025,12,Шингэрүүлсэн шатдаг хий,3786.0
2026,1,Автобензин А-80,
2026,1,Автобензин АИ-92,108024.0
2026,1,Автобензин АИ-95,3043.0
2026,1,Бусад,3715.0
2026,1,Дизелийн түлш,145938.0
2026,1,Нийт,267852.0
2026,1,Онгоцны түлш ТС-1,3078.0
2026,1,Шингэрүүлсэн шатдаг хий,4054.0
2026,2,АИ-92 /Евро-5/,18218.0
2026,2,Автобензин АИ-92,90870.0
2026,2,Автобензин АИ-95,2733.0
2026,2,Бусад,2517.0
2026,2,Дизелийн түлш,130546.0
2026,2,Дизель /Евро-5/,25343.0
2026,2,Нийт,279927.0
2026,2,Онгоцны түлш ТС-1,5406.0
2026,2,Шингэрүүлсэн шатдаг хий,4294.0
2026,3,АИ-92 /Евро-5/,14033.0
2026,3,Автобензин АИ-92,81106.0
2026,3,Автобензин АИ-95,4547.0
2026,3,Бусад,7075.0
2026,3,Дизелийн түлш,144131.0
2026,3,Дизель /Евро-5/,26396.0
2026,3,Нийт,288191.0
2026,3,Онгоцны түлш ТС-1,6197.0
2026,3,Шингэрүүлсэн шатдаг хий,4706.0
2026,4,АИ-92 /Евро-5/,6401.0
2026,4,Автобензин АИ-92,49862.0
2026,4,Автобензин АИ-95,1794.0
2026,4,Бусад,14453.0
2026,4,Дизелийн түлш,146027.0
2026,4,Дизель /Евро-5/,49562.0
2026,4,Нийт,284097.0
2026,4,Онгоцны түлш ТС-1,11588.0
2026,4,Шингэрүүлсэн шатдаг хий,4409.0
2026,5,АИ-92 /Евро-5/,3352.0
2026,5,Автобензин АИ-92,67787.0
2026,5,Автобензин АИ-95,913.0
2026,5,Бусад,16975.0
2026,5,Дизелийн түлш,118622.0
2026,5,Дизель /Евро-5/,45244.0
2026,5,Нийт,264818.0
2026,5,Онгоцны түлш ТС-1,8883.0
2026,5,Шингэрүүлсэн шатдаг хий,3043.0
2026,6,АИ-92 /Евро-5/,521.0
2026,6,Автобензин АИ-92,57353.0
2026,6,Автобензин АИ-95,
2026,6,Бусад,17957.0
2026,6,Дизелийн түлш,114874.0
2026,6,Дизель /Евро-5/,21574.0
2026,6,Нийт,221575.0
2026,6,Онгоцны түлш ТС-1,5253.0
2026,6,Шингэрүүлсэн шатдаг хий,4043.0
2026,7,АИ-92 /Евро-5/,526.0
2026,7,Автобензин АИ-92,46562.0
2026,7,Автобензин АИ-95,617.0
2026,7,Бусад,18348.0
2026,7,Дизелийн түлш,118849.0
2026,7,Дизель /Евро-5/,13911.0
2026,7,Нийт,203292.0
2026,7,Онгоцны түлш ТС-1,2112.0
2026,7,Шингэрүүлсэн шатдаг хий,2367.0
