member_id,member,party,mandate,committee,metric,value,unit
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Sittings,146,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Physically attended,114,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Physical attendance rate,78.1,percent
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Officially on time,95,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Officially late,19,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Official on-time rate among appearances,83.3,percent
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Arrivals with a published scheduled start,68,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Arrived by scheduled start,50,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Arrived after scheduled start,18,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Scheduled-start on-time rate,73.5,percent
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Median minutes late after actual start,11.0,minutes
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Average minutes late after actual start,18.4,minutes
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Unexplained absences,3,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Unexplained absence rate,2.1,percent
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,General leave,7,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Medical leave,2,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Domestic official assignments,6,count
m1,О.Алтангэрэл,Democratic Party,District 1,Standing Committee on State Structure,Foreign official assignments,14,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Sittings,146,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physically attended,102,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physical attendance rate,69.9,percent
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially on time,58,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially late,44,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Official on-time rate among appearances,56.9,percent
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrivals with a published scheduled start,63,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived by scheduled start,27,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived after scheduled start,36,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Scheduled-start on-time rate,42.9,percent
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Median minutes late after actual start,19.0,minutes
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Average minutes late after actual start,37.5,minutes
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absences,18,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absence rate,12.3,percent
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",General leave,0,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Medical leave,10,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Domestic official assignments,2,count
m2,С.Ганбаатар,Democratic Party,District 1,"Standing Committee on Environment, Food and Agriculture",Foreign official assignments,14,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Sittings,146,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physically attended,90,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Physical attendance rate,61.6,percent
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially on time,32,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Officially late,58,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Official on-time rate among appearances,35.6,percent
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrivals with a published scheduled start,58,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived by scheduled start,13,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Arrived after scheduled start,45,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Scheduled-start on-time rate,22.4,percent
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Median minutes late after actual start,19.0,minutes
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Average minutes late after actual start,46.6,minutes
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absences,8,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Unexplained absence rate,5.5,percent
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",General leave,14,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Medical leave,8,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Domestic official assignments,3,count
m3,Б.Батцэцэг,Mongolian People’s Party,District 1,"Standing Committee on Environment, Food and Agriculture",Foreign official assignments,23,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Sittings,146,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Physically attended,90,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Physical attendance rate,61.6,percent
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Officially on time,46,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Officially late,44,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Official on-time rate among appearances,51.1,percent
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Arrivals with a published scheduled start,54,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Arrived by scheduled start,25,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Arrived after scheduled start,29,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Scheduled-start on-time rate,46.3,percent
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Median minutes late after actual start,18.5,minutes
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Average minutes late after actual start,69.0,minutes
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Unexplained absences,11,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Unexplained absence rate,7.5,percent
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,General leave,10,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Medical leave,13,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Domestic official assignments,13,count
m4,П.Мөнхтулга,Democratic Party,District 1,Standing Committee on Petitions,Foreign official assignments,9,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Sittings,146,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Physically attended,137,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Physical attendance rate,93.8,percent
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Officially on time,86,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Officially late,51,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Official on-time rate among appearances,62.8,percent
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Arrivals with a published scheduled start,87,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Arrived by scheduled start,47,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Arrived after scheduled start,40,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Scheduled-start on-time rate,54.0,percent
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Median minutes late after actual start,10,minutes
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Average minutes late after actual start,44.7,minutes
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absences,2,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absence rate,1.4,percent
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,General leave,4,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Medical leave,3,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Domestic official assignments,0,count
m5,Г.Тэмүүлэн,Mongolian People’s Party,District 1,Standing Committee on Security and Foreign Policy,Foreign official assignments,0,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Sittings,146,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Physically attended,117,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Physical attendance rate,80.1,percent
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Officially on time,31,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Officially late,86,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Official on-time rate among appearances,26.5,percent
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrivals with a published scheduled start,74,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrived by scheduled start,15,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrived after scheduled start,59,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Scheduled-start on-time rate,20.3,percent
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Median minutes late after actual start,18.0,minutes
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Average minutes late after actual start,33.5,minutes
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absences,8,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absence rate,5.5,percent
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,General leave,2,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Medical leave,14,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Domestic official assignments,0,count
m6,Д.Ганбат,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Foreign official assignments,5,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Sittings,146,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Physically attended,118,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Physical attendance rate,80.8,percent
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Officially on time,100,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Officially late,18,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Official on-time rate among appearances,84.7,percent
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrivals with a published scheduled start,72,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrived by scheduled start,54,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Arrived after scheduled start,18,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Scheduled-start on-time rate,75.0,percent
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Median minutes late after actual start,13,minutes
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Average minutes late after actual start,67.8,minutes
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absences,5,count
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,Unexplained absence rate,3.4,percent
m7,Г.Хосбаяр,Democratic Party,District 1,Standing Committee on Security and Foreign Policy,General leave,9,count
