он,утга
2006,408490
2007,454762
2008,468797
2009,464850
2010,557483
2011,627007
2012,623839
2013,515205
2014,505686
2015,467231
2016,471242
2017,542703
2018,598406
2019,636960
2020,66940
2021,39236
2022,300520
2023,644064
2024,853835
2025,951208
