бүс,он,тариалсан_талбай
Архангай,1960,15.6
Баян-Өлгий,1960,1.73
Баянхонгор,1960,1.96
Булган,1960,16.9
Дархан-Уул,1960,0.0
Дорнод,1960,18.71
Дорноговь,1960,0.31
Дундговь,1960,0.24
Говь-Алтай,1960,2.26
Говьсүмбэр,1960,0.0
Хэнтий,1960,7.08
Ховд,1960,3.95
Хөвсгөл,1960,22.41
Орхон,1960,0.0
Сэлэнгэ,1960,94.39
Сүхбаатар,1960,3.49
Төв,1960,38.53
Улаанбаатар,1960,0.81
Өмнөговь,1960,0.5
Увс,1960,15.34
Өвөрхангай,1960,18.58
Завхан,1960,2.65
Архангай,1961,17.84
Баян-Өлгий,1961,1.87
Баянхонгор,1961,3.65
Булган,1961,24.17
Дархан-Уул,1961,0.0
Дорнод,1961,25.86
Дорноговь,1961,0.93
Дундговь,1961,1.13
Говь-Алтай,1961,4.14
Говьсүмбэр,1961,0.0
Хэнтий,1961,11.38
Ховд,1961,5.42
Хөвсгөл,1961,24.89
Орхон,1961,0.0
Сэлэнгэ,1961,135.88
Сүхбаатар,1961,13.7
Төв,1961,61.07
Улаанбаатар,1961,0.64
Өмнөговь,1961,1.06
Увс,1961,21.01
Өвөрхангай,1961,23.25
Завхан,1961,4.77
Архангай,1962,17.69
Баян-Өлгий,1962,3.85
Баянхонгор,1962,5.14
Булган,1962,26.95
Дархан-Уул,1962,0.0
Дорнод,1962,38.37
Дорноговь,1962,2.54
Дундговь,1962,1.92
Говь-Алтай,1962,5.03
Говьсүмбэр,1962,0.0
Хэнтий,1962,16.3
Ховд,1962,6.54
Хөвсгөл,1962,30.9
Орхон,1962,0.0
Сэлэнгэ,1962,121.43
Сүхбаатар,1962,16.22
Төв,1962,94.1
Улаанбаатар,1962,0.02
Өмнөговь,1962,0.52
Увс,1962,24.3
Өвөрхангай,1962,21.6
Завхан,1962,5.94
Архангай,1963,14.59
Баян-Өлгий,1963,2.74
Баянхонгор,1963,6.02
Булган,1963,30.39
Дархан-Уул,1963,0.0
Дорнод,1963,37.59
Дорноговь,1963,0.24
Дундговь,1963,1.57
Говь-Алтай,1963,4.21
Говьсүмбэр,1963,0.0
Хэнтий,1963,19.82
Ховд,1963,6.76
Хөвсгөл,1963,25.17
Орхон,1963,0.0
Сэлэнгэ,1963,125.3
Сүхбаатар,1963,18.39
Төв,1963,109.62
Улаанбаатар,1963,0.83
Өмнөговь,1963,0.19
Увс,1963,21.1
Өвөрхангай,1963,22.48
Завхан,1963,8.05
Архангай,1964,17.68
