бүс,он,тариалсан_талбай
Баян-Өлгий,1964,2.21
Баянхонгор,1964,1.77
Булган,1964,28.16
Дархан-Уул,1964,0.0
Дорнод,1964,42.32
Дорноговь,1964,0.1
Дундговь,1964,1.96
Говь-Алтай,1964,2.28
Говьсүмбэр,1964,0.0
Хэнтий,1964,22.12
Ховд,1964,5.65
Хөвсгөл,1964,25.44
Орхон,1964,0.0
Сэлэнгэ,1964,126.84
Сүхбаатар,1964,17.37
Төв,1964,112.35
Улаанбаатар,1964,0.32
Өмнөговь,1964,0.08
Увс,1964,18.44
Өвөрхангай,1964,18.95
Завхан,1964,9.9
Архангай,1965,21.0
Баян-Өлгий,1965,2.5
Баянхонгор,1965,4.05
Булган,1965,27.62
Дархан-Уул,1965,0.0
Дорнод,1965,43.24
Дорноговь,1965,0.43
Дундговь,1965,1.95
Говь-Алтай,1965,2.43
Говьсүмбэр,1965,0.0
Хэнтий,1965,23.69
Ховд,1965,6.33
Хөвсгөл,1965,28.07
Орхон,1965,0.0
Сэлэнгэ,1965,133.32
Сүхбаатар,1965,15.3
Төв,1965,110.44
Улаанбаатар,1965,0.85
Өмнөговь,1965,0.06
Увс,1965,21.48
Өвөрхангай,1965,24.26
Завхан,1965,13.56
Архангай,1966,20.89
Баян-Өлгий,1966,2.42
Баянхонгор,1966,4.16
Булган,1966,29.32
Дархан-Уул,1966,0.0
Дорнод,1966,39.62
Дорноговь,1966,0.36
Дундговь,1966,1.72
Говь-Алтай,1966,2.39
Говьсүмбэр,1966,0.0
Хэнтий,1966,22.82
Ховд,1966,4.37
Хөвсгөл,1966,27.89
Орхон,1966,0.0
Сэлэнгэ,1966,130.53
Сүхбаатар,1966,12.24
Төв,1966,107.72
Улаанбаатар,1966,0.57
Өмнөговь,1966,0.04
Увс,1966,18.54
Өвөрхангай,1966,22.38
Завхан,1966,12.88
Архангай,1967,21.0
Баян-Өлгий,1967,2.51
Баянхонгор,1967,3.72
Булган,1967,32.21
Дархан-Уул,1967,0.0
Дорнод,1967,33.75
Дорноговь,1967,0.51
Дундговь,1967,1.95
Говь-Алтай,1967,2.55
Говьсүмбэр,1967,0.0
Хэнтий,1967,25.42
Ховд,1967,4.26
Хөвсгөл,1967,26.84
Орхон,1967,0.0
Сэлэнгэ,1967,136.78
Сүхбаатар,1967,12.86
Төв,1967,109.49
Улаанбаатар,1967,2.43
Өмнөговь,1967,0.04
Увс,1967,23.3
Өвөрхангай,1967,25.6
Завхан,1967,17.3
Архангай,1968,23.56
Баян-Өлгий,1968,2.27
Баянхонгор,1968,3.79
Булган,1968,32.86
Дархан-Уул,1968,0.0
Дорнод,1968,30.03
Дорноговь,1968,0.06
Дундговь,1968,2.89
Говь-Алтай,1968,2.89
Говьсүмбэр,1968,0.0
Хэнтий,1968,32.02
Ховд,1968,4.99
Хөвсгөл,1968,29.86
Орхон,1968,0.0
Сэлэнгэ,1968,136.88
Сүхбаатар,1968,13.01
Төв,1968,109.6
Улаанбаатар,1968,0.59
Өмнөговь,1968,0.04
Увс,1968,25.74
Өвөрхангай,1968,26.16
Завхан,1968,14.88
Архангай,1969,20.73
Баян-Өлгий,1969,2.48
Баянхонгор,1969,3.03
Булган,1969,31.27
Дархан-Уул,1969,0.0
Дорнод,1969,28.48
Дорноговь,1969,0.04
Дундговь,1969,2.04
Говь-Алтай,1969,2.53
Говьсүмбэр,1969,0.0
Хэнтий,1969,30.2
Ховд,1969,5.56
Хөвсгөл,1969,29.75
Орхон,1969,0.0
Сэлэнгэ,1969,141.61
Сүхбаатар,1969,13.13
Төв,1969,112.3
Улаанбаатар,1969,0.4
Өмнөговь,1969,0.07
Увс,1969,24.1
Өвөрхангай,1969,27.04
Завхан,1969,15.82
Архангай,1970,16.44
Баян-Өлгий,1970,1.92
Баянхонгор,1970,1.09
Булган,1970,29.7
Дархан-Уул,1970,0.0
Дорнод,1970,23.31
Дорноговь,1970,0.01
Дундговь,1970,0.42
Говь-Алтай,1970,2.73
Говьсүмбэр,1970,0.0
Хэнтий,1970,28.25
Ховд,1970,5.77
Хөвсгөл,1970,26.58
Орхон,1970,0.0
Сэлэнгэ,1970,141.71
Сүхбаатар,1970,12.0
Төв,1970,104.74
Улаанбаатар,1970,0.54
Өмнөговь,1970,0.06
Увс,1970,20.06
Өвөрхангай,1970,21.54
Завхан,1970,17.79
Архангай,1971,18.97
Баян-Өлгий,1971,2.08
Баянхонгор,1971,1.41
Булган,1971,29.75
Дархан-Уул,1971,0.0
Дорнод,1971,18.43
Дорноговь,1971,0.2
Дундговь,1971,0.59
Говь-Алтай,1971,2.11
Говьсүмбэр,1971,0.0
Хэнтий,1971,26.71
Ховд,1971,5.57
Хөвсгөл,1971,26.01
Орхон,1971,0.0
Сэлэнгэ,1971,139.44
Сүхбаатар,1971,9.71
Төв,1971,120.72
Улаанбаатар,1971,1.08
Өмнөговь,1971,0.05
Увс,1971,19.91
Өвөрхангай,1971,23.61
Завхан,1971,18.54
Архангай,1972,19.26
Баян-Өлгий,1972,2.17
Баянхонгор,1972,2.23
Булган,1972,30.31
Дархан-Уул,1972,0.0
Дорнод,1972,18.18
Дорноговь,1972,0.44
Дундговь,1972,0.66
Говь-Алтай,1972,3.11
Говьсүмбэр,1972,0.0
Хэнтий,1972,26.22
Ховд,1972,5.62
Хөвсгөл,1972,25.27
Орхон,1972,0.0
Сэлэнгэ,1972,138.95
Сүхбаатар,1972,9.82
Төв,1972,119.71
Улаанбаатар,1972,0.03
Өмнөговь,1972,0.09
Увс,1972,22.16
Өвөрхангай,1972,25.31
Завхан,1972,25.81
Архангай,1973,19.86
Баян-Өлгий,1973,2.26
Баянхонгор,1973,2.71
Булган,1973,30.44
Дархан-Уул,1973,0.0
Дорнод,1973,19.37
Дорноговь,1973,0.45
Дундговь,1973,0.25
Говь-Алтай,1973,3.17
Говьсүмбэр,1973,0.0
Хэнтий,1973,27.35
Ховд,1973,5.78
Хөвсгөл,1973,25.14
Орхон,1973,0.0
Сэлэнгэ,1973,145.27
Сүхбаатар,1973,10.4
Төв,1973,123.0
Улаанбаатар,1973,0.03
Өмнөговь,1973,0.17
Увс,1973,21.73
Өвөрхангай,1973,25.19
Завхан,1973,25.91
Архангай,1974,20.34
Баян-Өлгий,1974,2.33
Баянхонгор,1974,3.76
Булган,1974,31.32
Дархан-Уул,1974,0.19
Дорнод,1974,19.75
Дорноговь,1974,0.14
Дундговь,1974,0.32
Говь-Алтай,1974,2.33
Говьсүмбэр,1974,0.0
Хэнтий,1974,25.59
Ховд,1974,6.0
Хөвсгөл,1974,23.84
Орхон,1974,0.0
Сэлэнгэ,1974,148.76
Сүхбаатар,1974,10.35
Төв,1974,123.12
Улаанбаатар,1974,2.89
Өмнөговь,1974,0.2
Увс,1974,22.01
Өвөрхангай,1974,25.5
Завхан,1974,26.12
Архангай,1975,21.4
Баян-Өлгий,1975,2.38
Баянхонгор,1975,3.81
Булган,1975,31.4
Дархан-Уул,1975,0.24
Дорнод,1975,21.84
Дорноговь,1975,0.48
Дундговь,1975,0.34
Говь-Алтай,1975,3.18
Говьсүмбэр,1975,0.0
Хэнтий,1975,24.67
Ховд,1975,5.72
Хөвсгөл,1975,23.93
Орхон,1975,0.0
Сэлэнгэ,1975,155.11
Сүхбаатар,1975,10.84
Төв,1975,127.55
Улаанбаатар,1975,2.97
Өмнөговь,1975,0.28
Увс,1975,25.67
Өвөрхангай,1975,25.27
Завхан,1975,22.84
Архангай,1976,23.17
Баян-Өлгий,1976,2.5
Баянхонгор,1976,5.12
Булган,1976,33.24
Дархан-Уул,1976,0.26
Дорнод,1976,24.34
Дорноговь,1976,0.5
Дундговь,1976,0.42
Говь-Алтай,1976,3.61
Говьсүмбэр,1976,0.0
Хэнтий,1976,24.73
Ховд,1976,5.85
Хөвсгөл,1976,24.42
Орхон,1976,0.0
Сэлэнгэ,1976,160.43
Сүхбаатар,1976,10.92
Төв,1976,136.36
Улаанбаатар,1976,3.79
Өмнөговь,1976,0.28
Увс,1976,28.89
Өвөрхангай,1976,25.67
Завхан,1976,23.81
Архангай,1977,24.04
Баян-Өлгий,1977,2.57
Баянхонгор,1977,5.76
Булган,1977,32.86
Дархан-Уул,1977,0.26
Дорнод,1977,27.77
Дорноговь,1977,0.54
Дундговь,1977,0.34
Говь-Алтай,1977,3.78
Говьсүмбэр,1977,0.0
Хэнтий,1977,28.06
Ховд,1977,6.01
Хөвсгөл,1977,26.46
Орхон,1977,4.34
Сэлэнгэ,1977,171.56
Сүхбаатар,1977,10.76
Төв,1977,152.66
Улаанбаатар,1977,3.22
Өмнөговь,1977,0.32
Увс,1977,38.4
Өвөрхангай,1977,26.35
Завхан,1977,26.24
Архангай,1978,25.2
Баян-Өлгий,1978,2.37
Баянхонгор,1978,9.56
Булган,1978,43.5
Дархан-Уул,1978,0.33
Дорнод,1978,29.82
Дорноговь,1978,0.6
Дундговь,1978,0.43
Говь-Алтай,1978,4.15
Говьсүмбэр,1978,0.0
Хэнтий,1978,38.52
Ховд,1978,6.23
Хөвсгөл,1978,22.76
Орхон,1978,4.78
Сэлэнгэ,1978,204.55
Сүхбаатар,1978,11.34
Төв,1978,179.76
Улаанбаатар,1978,3.17
Өмнөговь,1978,0.34
Увс,1978,37.48
Өвөрхангай,1978,26.92
Завхан,1978,29.57
Архангай,1979,29.23
Баян-Өлгий,1979,2.57
Баянхонгор,1979,9.79
Булган,1979,44.7
Дархан-Уул,1979,3.91
Дорнод,1979,30.28
Дорноговь,1979,1.38
Дундговь,1979,0.42
Говь-Алтай,1979,4.46
Говьсүмбэр,1979,0.0
Хэнтий,1979,42.69
Ховд,1979,6.28
Хөвсгөл,1979,23.53
Орхон,1979,4.9
Сэлэнгэ,1979,201.74
Сүхбаатар,1979,11.72
Төв,1979,185.7
Улаанбаатар,1979,0.02
Өмнөговь,1979,0.33
Увс,1979,33.77
Өвөрхангай,1979,29.55
Завхан,1979,30.29
Архангай,1980,31.32
Баян-Өлгий,1980,3.28
Баянхонгор,1980,10.76
Булган,1980,45.95
Дархан-Уул,1980,0.46
Дорнод,1980,32.26
Дорноговь,1980,1.62
Дундговь,1980,0.41
Говь-Алтай,1980,4.18
Говьсүмбэр,1980,0.0
Хэнтий,1980,42.96
Ховд,1980,7.38
Хөвсгөл,1980,24.2
Орхон,1980,4.95
Сэлэнгэ,1980,198.14
Сүхбаатар,1980,12.94
Төв,1980,182.3
Улаанбаатар,1980,3.82
Өмнөговь,1980,0.39
Увс,1980,35.08
Өвөрхангай,1980,29.74
Завхан,1980,31.85
Архангай,1981,31.48
Баян-Өлгий,1981,3.38
Баянхонгор,1981,10.21
Булган,1981,45.99
Дархан-Уул,1981,23.57
Дорнод,1981,31.81
Дорноговь,1981,1.38
Дундговь,1981,0.41
Говь-Алтай,1981,4.57
Говьсүмбэр,1981,0.0
Хэнтий,1981,39.29
Ховд,1981,7.33
Хөвсгөл,1981,23.94
Орхон,1981,5.03
Сэлэнгэ,1981,168.7
Сүхбаатар,1981,13.26
Төв,1981,171.89
Улаанбаатар,1981,2.66
Өмнөговь,1981,0.42
Увс,1981,34.92
Өвөрхангай,1981,28.91
Завхан,1981,34.17
Архангай,1982,33.63
Баян-Өлгий,1982,3.91
Баянхонгор,1982,5.42
Булган,1982,45.73
Дархан-Уул,1982,24.67
Дорнод,1982,27.71
Дорноговь,1982,0.86
Дундговь,1982,0.44
Говь-Алтай,1982,4.22
Говьсүмбэр,1982,0.0
Хэнтий,1982,29.95
Ховд,1982,7.27
Хөвсгөл,1982,24.58
Орхон,1982,4.94
Сэлэнгэ,1982,175.75
Сүхбаатар,1982,10.83
Төв,1982,150.54
Улаанбаатар,1982,3.63
Өмнөговь,1982,0.5
Увс,1982,34.68
Өвөрхангай,1982,26.37
Завхан,1982,25.86
Архангай,1983,37.12
Баян-Өлгий,1983,4.33
Баянхонгор,1983,10.41
Булган,1983,54.3
Дархан-Уул,1983,24.04
Дорнод,1983,32.11
Дорноговь,1983,1.26
Дундговь,1983,0.4
Говь-Алтай,1983,4.98
Говьсүмбэр,1983,0.0
Хэнтий,1983,42.52
Ховд,1983,6.46
Хөвсгөл,1983,29.21
Орхон,1983,5.04
Сэлэнгэ,1983,187.83
Сүхбаатар,1983,13.32
Төв,1983,164.94
Улаанбаатар,1983,3.35
Өмнөговь,1983,0.51
Увс,1983,38.43
Өвөрхангай,1983,29.5
Завхан,1983,33.12
Архангай,1984,43.19
Баян-Өлгий,1984,5.27
Баянхонгор,1984,11.14
Булган,1984,67.12
Дархан-Уул,1984,19.04
Дорнод,1984,31.52
Дорноговь,1984,1.43
Дундговь,1984,0.19
Говь-Алтай,1984,5.29
Говьсүмбэр,1984,0.0
Хэнтий,1984,45.51
Ховд,1984,7.68
Хөвсгөл,1984,29.58
Орхон,1984,5.23
Сэлэнгэ,1984,189.15
Сүхбаатар,1984,14.07
Төв,1984,172.86
Улаанбаатар,1984,3.84
Өмнөговь,1984,0.48
Увс,1984,38.97
Өвөрхангай,1984,29.37
Завхан,1984,35.97
Архангай,1985,42.93
Баян-Өлгий,1985,4.9
Баянхонгор,1985,11.01
Булган,1985,72.84
Дархан-Уул,1985,21.26
Дорнод,1985,33.6
Дорноговь,1985,1.65
Дундговь,1985,0.18
Говь-Алтай,1985,5.44
Говьсүмбэр,1985,0.0
Хэнтий,1985,46.06
Ховд,1985,8.43
Хөвсгөл,1985,28.64
Орхон,1985,5.09
Сэлэнгэ,1985,196.21
Сүхбаатар,1985,13.31
Төв,1985,180.61
Улаанбаатар,1985,4.02
Өмнөговь,1985,0.57
Увс,1985,38.67
Өвөрхангай,1985,29.11
Завхан,1985,45.1
Архангай,1986,42.82
Баян-Өлгий,1986,5.42
Баянхонгор,1986,10.24
Булган,1986,77.79
Дархан-Уул,1986,21.02
Дорнод,1986,34.65
Дорноговь,1986,1.65
Дундговь,1986,0.21
Говь-Алтай,1986,5.06
Говьсүмбэр,1986,0.0
Хэнтий,1986,47.15
Ховд,1986,8.67
Хөвсгөл,1986,30.87
Орхон,1986,4.88
Сэлэнгэ,1986,191.28
Сүхбаатар,1986,13.42
Төв,1986,186.52
Улаанбаатар,1986,4.26
Өмнөговь,1986,0.47
Увс,1986,35.72
Өвөрхангай,1986,28.73
Завхан,1986,52.84
Архангай,1987,43.93
Баян-Өлгий,1987,5.49
Баянхонгор,1987,10.0
Булган,1987,82.24
Дархан-Уул,1987,20.86
Дорнод,1987,43.37
Дорноговь,1987,1.59
Дундговь,1987,0.16
Говь-Алтай,1987,5.05
Говьсүмбэр,1987,0.0
Хэнтий,1987,46.33
Ховд,1987,9.58
Хөвсгөл,1987,33.13
Орхон,1987,4.44
Сэлэнгэ,1987,181.33
Сүхбаатар,1987,14.38
Төв,1987,175.16
Улаанбаатар,1987,3.89
Өмнөговь,1987,0.43
Увс,1987,37.54
Өвөрхангай,1987,27.09
Завхан,1987,54.18
Архангай,1988,46.01
Баян-Өлгий,1988,5.71
Баянхонгор,1988,9.96
Булган,1988,78.84
Дархан-Уул,1988,23.13
Дорнод,1988,45.88
Дорноговь,1988,1.7
Дундговь,1988,1.18
Говь-Алтай,1988,5.04
Говьсүмбэр,1988,0.0
Хэнтий,1988,49.97
Ховд,1988,9.48
Хөвсгөл,1988,33.08
Орхон,1988,4.92
Сэлэнгэ,1988,194.67
Сүхбаатар,1988,14.76
Төв,1988,182.84
Улаанбаатар,1988,4.0
Өмнөговь,1988,0.41
Увс,1988,37.35
Өвөрхангай,1988,26.49
Завхан,1988,52.98
Архангай,1989,47.08
Баян-Өлгий,1989,5.32
Баянхонгор,1989,7.79
Булган,1989,78.08
Дархан-Уул,1989,20.72
Дорнод,1989,48.14
Дорноговь,1989,0.83
Дундговь,1989,0.91
Говь-Алтай,1989,4.76
Говьсүмбэр,1989,0.0
Хэнтий,1989,50.17
Ховд,1989,9.39
Хөвсгөл,1989,31.85
Орхон,1989,4.23
Сэлэнгэ,1989,195.92
Сүхбаатар,1989,15.85
Төв,1989,200.27
Улаанбаатар,1989,4.14
Өмнөговь,1989,0.3
Увс,1989,37.37
Өвөрхангай,1989,29.57
Завхан,1989,45.17
Архангай,1990,46.7
Баян-Өлгий,1990,5.18
Баянхонгор,1990,3.91
Булган,1990,76.12
Дархан-Уул,1990,21.49
Дорнод,1990,43.86
Дорноговь,1990,0.1
Дундговь,1990,0.83
Говь-Алтай,1990,4.48
Говьсүмбэр,1990,0.0
Хэнтий,1990,45.51
Ховд,1990,7.7
Хөвсгөл,1990,31.53
Орхон,1990,3.98
Сэлэнгэ,1990,186.63
Сүхбаатар,1990,14.34
Төв,1990,185.48
Улаанбаатар,1990,4.1
Өмнөговь,1990,0.14
Увс,1990,31.08
Өвөрхангай,1990,27.19
Завхан,1990,47.42
Архангай,1991,39.32
Баян-Өлгий,1991,3.85
Баянхонгор,1991,1.99
Булган,1991,66.66
Дархан-Уул,1991,19.65
Дорнод,1991,39.78
Дорноговь,1991,0.04
Дундговь,1991,0.22
Говь-Алтай,1991,3.87
Говьсүмбэр,1991,0.0
Хэнтий,1991,41.06
Ховд,1991,3.99
Хөвсгөл,1991,24.82
Орхон,1991,3.51
Сэлэнгэ,1991,175.72
Сүхбаатар,1991,13.9
Төв,1991,168.87
Улаанбаатар,1991,3.68
Өмнөговь,1991,0.1
Увс,1991,32.59
Өвөрхангай,1991,26.97
Завхан,1991,37.82
Архангай,1992,31.59
Баян-Өлгий,1992,3.76
Баянхонгор,1992,1.2
Булган,1992,63.17
Дархан-Уул,1992,20.2
Дорнод,1992,33.89
Дорноговь,1992,0.02
Дундговь,1992,0.2
Говь-Алтай,1992,3.05
Говьсүмбэр,1992,0.0
Хэнтий,1992,37.32
Ховд,1992,3.18
Хөвсгөл,1992,22.89
Орхон,1992,3.0
Сэлэнгэ,1992,170.82
Сүхбаатар,1992,13.79
Төв,1992,158.48
Улаанбаатар,1992,2.96
Өмнөговь,1992,0.08
Увс,1992,30.91
Өвөрхангай,1992,23.6
Завхан,1992,33.58
Архангай,1993,26.63
Баян-Өлгий,1993,2.71
Баянхонгор,1993,0.77
Булган,1993,61.65
Дархан-Уул,1993,18.08
Дорнод,1993,23.78
Дорноговь,1993,0.03
Дундговь,1993,0.23
Говь-Алтай,1993,2.7
Говьсүмбэр,1993,0.0
Хэнтий,1993,28.9
Ховд,1993,2.66
Хөвсгөл,1993,19.87
Орхон,1993,2.48
Сэлэнгэ,1993,171.6
Сүхбаатар,1993,13.02
Төв,1993,142.05
Улаанбаатар,1993,3.27
Өмнөговь,1993,0.16
Увс,1993,28.11
Өвөрхангай,1993,19.17
Завхан,1993,16.88
Архангай,1994,22.34
Баян-Өлгий,1994,0.37
Баянхонгор,1994,0.33
Булган,1994,54.74
Дархан-Уул,1994,17.42
Дорнод,1994,13.52
Дорноговь,1994,0.03
Дундговь,1994,0.02
Говь-Алтай,1994,1.6
Говьсүмбэр,1994,0.0
Хэнтий,1994,18.88
Ховд,1994,1.72
Хөвсгөл,1994,15.87
Орхон,1994,2.48
Сэлэнгэ,1994,144.34
Сүхбаатар,1994,11.39
Төв,1994,114.05
Улаанбаатар,1994,2.25
Өмнөговь,1994,0.15
Увс,1994,25.12
Өвөрхангай,1994,17.41
Завхан,1994,6.6
Архангай,1995,22.08
Баян-Өлгий,1995,1.23
Баянхонгор,1995,0.08
Булган,1995,42.48
Дархан-Уул,1995,17.3
Дорнод,1995,8.74
Дорноговь,1995,0.03
Дундговь,1995,0.07
Говь-Алтай,1995,1.02
Говьсүмбэр,1995,0.0
Хэнтий,1995,7.54
Ховд,1995,1.64
Хөвсгөл,1995,9.56
Орхон,1995,1.84
Сэлэнгэ,1995,130.1
Сүхбаатар,1995,11.57
Төв,1995,82.51
Улаанбаатар,1995,2.36
Өмнөговь,1995,0.12
Увс,1995,17.66
Өвөрхангай,1995,13.66
Завхан,1995,0.99
Архангай,1996,15.8
Баян-Өлгий,1996,0.86
Баянхонгор,1996,0.09
Булган,1996,38.9
Дархан-Уул,1996,15.1
Дорнод,1996,11.59
Дорноговь,1996,0.04
Дундговь,1996,0.17
Говь-Алтай,1996,1.12
Говьсүмбэр,1996,0.01
Хэнтий,1996,12.25
Ховд,1996,2.34
Хөвсгөл,1996,10.48
Орхон,1996,2.09
Сэлэнгэ,1996,123.97
Сүхбаатар,1996,10.28
Төв,1996,73.15
Улаанбаатар,1996,2.13
Өмнөговь,1996,0.11
Увс,1996,15.28
Өвөрхангай,1996,10.84
Завхан,1996,1.17
Архангай,1997,4.31
Баян-Өлгий,1997,1.58
Баянхонгор,1997,0.08
Булган,1997,37.59
Дархан-Уул,1997,13.85
Дорнод,1997,14.61
Дорноговь,1997,0.06
Дундговь,1997,0.01
Говь-Алтай,1997,1.13
Говьсүмбэр,1997,0.0
Хэнтий,1997,13.65
Ховд,1997,2.34
Хөвсгөл,1997,9.16
Орхон,1997,2.33
Сэлэнгэ,1997,120.79
Сүхбаатар,1997,10.08
Төв,1997,73.98
Улаанбаатар,1997,2.25
Өмнөговь,1997,0.13
Увс,1997,15.22
Өвөрхангай,1997,9.94
Завхан,1997,0.71
Архангай,1998,2.68
Баян-Өлгий,1998,0.51
Баянхонгор,1998,0.18
Булган,1998,27.52
Дархан-Уул,1998,11.41
Дорнод,1998,8.16
Дорноговь,1998,0.04
Дундговь,1998,0.03
Говь-Алтай,1998,1.35
Говьсүмбэр,1998,0.03
Хэнтий,1998,14.82
Ховд,1998,2.94
Хөвсгөл,1998,3.43
Орхон,1998,2.37
Сэлэнгэ,1998,140.15
Сүхбаатар,1998,5.03
Төв,1998,82.24
Улаанбаатар,1998,2.22
Өмнөговь,1998,0.14
Увс,1998,16.66
Өвөрхангай,1998,3.63
Завхан,1998,1.09
Архангай,1999,2.1
Баян-Өлгий,1999,0.38
Баянхонгор,1999,0.19
Булган,1999,29.02
Дархан-Уул,1999,13.76
Дорнод,1999,6.81
Дорноговь,1999,0.07
Дундговь,1999,0.02
Говь-Алтай,1999,1.52
Говьсүмбэр,1999,0.01
Хэнтий,1999,13.33
Ховд,1999,2.98
Хөвсгөл,1999,5.99
Орхон,1999,2.01
Сэлэнгэ,1999,130.39
Сүхбаатар,1999,5.56
Төв,1999,62.75
Улаанбаатар,1999,2.13
Өмнөговь,1999,0.16
Увс,1999,14.61
Өвөрхангай,1999,1.77
Завхан,1999,0.72
Архангай,2000,1.91
Баян-Өлгий,2000,0.32
Баянхонгор,2000,0.17
Булган,2000,27.03
Дархан-Уул,2000,14.6
Дорнод,2000,5.14
Дорноговь,2000,0.04
Дундговь,2000,0.04
Говь-Алтай,2000,1.06
Говьсүмбэр,2000,0.01
Хэнтий,2000,9.71
Ховд,2000,2.69
Хөвсгөл,2000,5.39
Орхон,2000,2.2
Сэлэнгэ,2000,93.66
Сүхбаатар,2000,0.33
Төв,2000,30.09
Улаанбаатар,2000,2.1
Өмнөговь,2000,0.17
Увс,2000,8.95
Өвөрхангай,2000,2.94
Завхан,2000,0.71
Архангай,2001,1.92
Баян-Өлгий,2001,0.29
Баянхонгор,2001,0.14
Булган,2001,28.47
Дархан-Уул,2001,14.5
Дорнод,2001,5.34
Дорноговь,2001,0.03
Дундговь,2001,0.05
Говь-Алтай,2001,1.28
Говьсүмбэр,2001,0.02
Хэнтий,2001,7.94
Ховд,2001,2.65
Хөвсгөл,2001,7.56
Орхон,2001,2.72
Сэлэнгэ,2001,100.65
Сүхбаатар,2001,0.2
Төв,2001,34.21
Улаанбаатар,2001,2.0
Өмнөговь,2001,0.14
Увс,2001,4.36
Өвөрхангай,2001,2.77
Завхан,2001,0.37
Архангай,2002,3.63
Баян-Өлгий,2002,0.65
Баянхонгор,2002,0.27
Булган,2002,30.35
Дархан-Уул,2002,15.9
Дорнод,2002,6.18
Дорноговь,2002,0.04
Дундговь,2002,0.05
Говь-Алтай,2002,1.47
Говьсүмбэр,2002,0.01
Хэнтий,2002,14.23
Ховд,2002,2.96
Хөвсгөл,2002,9.98
Орхон,2002,2.92
Сэлэнгэ,2002,125.09
Сүхбаатар,2002,1.27
Төв,2002,54.26
Улаанбаатар,2002,2.91
Өмнөговь,2002,0.19
Увс,2002,9.22
Өвөрхангай,2002,3.51
Завхан,2002,0.61
Архангай,2003,4.59
Баян-Өлгий,2003,0.62
Баянхонгор,2003,0.36
Булган,2003,29.68
Дархан-Уул,2003,14.82
Дорнод,2003,5.49
Дорноговь,2003,0.05
Дундговь,2003,0.04
Говь-Алтай,2003,1.69
Говьсүмбэр,2003,0.01
Хэнтий,2003,9.66
Ховд,2003,2.15
Хөвсгөл,2003,11.44
Орхон,2003,2.74
Сэлэнгэ,2003,102.93
Сүхбаатар,2003,1.18
Төв,2003,28.83
Улаанбаатар,2003,1.66
Өмнөговь,2003,0.22
Увс,2003,4.61
Өвөрхангай,2003,2.41
Завхан,2003,0.69
Архангай,2004,2.11
Баян-Өлгий,2004,0.49
Баянхонгор,2004,0.21
Булган,2004,25.0
Дархан-Уул,2004,9.96
Дорнод,2004,4.59
Дорноговь,2004,0.03
Дундговь,2004,0.03
Говь-Алтай,2004,1.63
Говьсүмбэр,2004,0.03
Хэнтий,2004,12.15
Ховд,2004,2.22
Хөвсгөл,2004,8.41
Орхон,2004,2.75
Сэлэнгэ,2004,87.68
Сүхбаатар,2004,0.57
