indicator,month,value_usd_mn
Balance,2019-10,81.2
Balance,2019-09,49.7
Balance,2019-08,232.0
Balance,2019-07,19.4
Balance,2019-06,97.9
Balance,2019-05,202.1
Balance,2019-04,259.3
Balance,2019-03,230.1
Balance,2019-02,153.7
Balance,2019-01,102.3
Balance,2018-12,45.0
Balance,2018-11,31.6
Balance,2018-10,136.8
Balance,2018-09,57.9
Balance,2018-08,16.7
Balance,2018-07,-13.9
Balance,2018-06,160.9
Balance,2018-05,160.8
Balance,2018-04,189.0
Balance,2018-03,240.0
Balance,2018-02,49.7
Balance,2018-01,62.5
Balance,2017-12,28.5
Balance,2017-11,75.3
Balance,2017-10,109.8
Balance,2017-09,42.1
Balance,2017-08,40.0
Balance,2017-07,-28.1
Balance,2017-06,134.2
Balance,2017-05,142.2
Balance,2017-04,236.0
Balance,2017-03,180.8
Balance,2017-02,171.3
Balance,2017-01,731.2
Balance,2016-12,180.4
Balance,2016-11,114.2
Balance,2016-10,29.0
Balance,2016-09,19.3
Balance,2016-08,93.5
Balance,2016-07,-19.4
Balance,2016-06,3.6
Balance,2016-05,80.8
Balance,2016-04,68.3
Balance,2016-03,51.0
Balance,2016-02,93.3
Balance,2016-01,862.7
Balance,2015-12,123.6
Balance,2015-11,-14.3
Balance,2015-10,78.8
Balance,2015-09,-20.5
Balance,2015-08,100.5
Balance,2015-07,72.8
Balance,2015-06,108.7
Balance,2015-05,4.8
Balance,2015-04,44.2
Balance,2015-03,82.5
Balance,2015-02,65.3
Balance,2015-01,225.5
Balance,2014-12,186.3
Balance,2014-11,221.5
Balance,2014-10,154.1
Balance,2014-09,-25.0
Balance,2014-08,181.5
Balance,2014-07,-106.9
Balance,2014-06,46.0
Balance,2014-05,-69.6
Balance,2014-04,-72.3
Balance,2014-03,-1.0
Balance,2014-02,-8.5
Balance,2014-01,31.5
Balance,2013-12,-91.3
Balance,2013-11,-128.2
Balance,2013-10,-137.8
Balance,2013-09,-173.3
Balance,2013-08,-222.4
Balance,2013-07,-226.6
Balance,2013-06,-214.3
Balance,2013-05,-369.7
Balance,2013-04,-129.1
Balance,2013-03,-91.5
Balance,2013-02,-88.8
Balance,2013-01,-215.7
Balance,2012-12,-114.2
Balance,2012-11,-164.6
Balance,2012-10,-60.0
Balance,2012-09,-214.3
Balance,2012-08,-353.9
Balance,2012-07,-372.5
Balance,2012-06,-98.1
Balance,2012-05,-170.4
Balance,2012-04,-180.9
Balance,2012-03,-183.4
Balance,2012-02,-188.6
Balance,2012-01,-252.7
Balance,2011-12,-65.7
Balance,2011-11,-94.2
Balance,2011-10,-92.9
Balance,2011-09,-178.9
Balance,2011-08,-248.4
Balance,2011-07,-371.1
Balance,2011-06,-191.3
Balance,2011-05,-115.9
Balance,2011-04,-75.7
Balance,2011-03,-154.0
Balance,2011-02,-57.1
Balance,2011-01,-135.5
Balance,2010-12,28.91
Balance,2010-11,-62.46
Balance,2010-10,-17.86
Balance,2010-09,-68.53
Balance,2010-08,-40.92
Balance,2010-07,-83.1
Balance,2010-06,12.57
Balance,2010-05,33.33
Balance,2010-04,-15.29
Balance,2010-03,-94.1
Balance,2010-02,-15.62
Balance,2010-01,31.53
Balance,2009-12,-18.51
Balance,2009-11,-15.59
Balance,2009-10,-27.66
Balance,2009-09,-4.19
Balance,2009-08,-22.3
Balance,2009-07,-34.19
Balance,2009-06,-28.68
Balance,2009-05,-7.8
Balance,2009-04,-21.84
Balance,2009-03,-98.07
Balance,2009-02,-24.37
Balance,2009-01,50.91
Balance,2008-12,-46.71
Balance,2008-11,-141.47
Balance,2008-10,-55.5
Balance,2008-09,-31.22
Balance,2008-08,-75.09
Balance,2008-07,-159.04
Balance,2008-06,-47.61
Balance,2008-05,-59.97
Balance,2008-04,-73.95
Balance,2008-03,-76.8
Balance,2008-02,39.73
Balance,2008-01,17.56
Balance,2007-12,-3.2
Balance,2007-11,-0.66
Balance,2007-10,-18.47
Balance,2007-09,-38.34
Balance,2007-08,-21.51
Balance,2007-07,-46.76
Balance,2007-06,-9.48
Balance,2007-05,8.16
Balance,2007-04,-19.74
Balance,2007-03,-26.24
Balance,2007-02,4.86
Balance,2007-01,57.01
Balance,2006-12,18.99
Balance,2006-11,38.59
Balance,2006-10,-4.46
Balance,2006-09,55.13
Balance,2006-08,-31.05
Balance,2006-07,6.19
Balance,2006-06,24.45
Balance,2006-05,3.35
Balance,2006-04,-5.29
Balance,2006-03,10.1
Balance,2006-02,4.01
Balance,2006-01,-13.09
Balance,2005-12,22.13
Balance,2005-11,-0.71
Balance,2005-10,-6.68
Balance,2005-09,17.18
Balance,2005-08,-10.58
Balance,2005-07,-22.87
Balance,2005-06,-34.73
Balance,2005-05,-22.18
Balance,2005-04,-16.02
Balance,2005-03,-14.55
Balance,2005-02,-18.7
Balance,2005-01,-5.68
Balance,2004-12,63.97
Balance,2004-11,-21.1
Balance,2004-10,-1.36
Balance,2004-09,-4.34
Balance,2004-08,4.83
Balance,2004-07,-21.21
Balance,2004-06,-35.11
Balance,2004-05,-45.72
Balance,2004-04,-37.88
Balance,2004-03,-15.4
Balance,2004-02,-21.12
Balance,2004-01,-15.8
Balance,2003-12,19.39
Balance,2003-11,-4.33
Balance,2003-10,-15.94
Balance,2003-09,-4.9
Balance,2003-08,-12.26
Balance,2003-07,-26.9
Balance,2003-06,-43.67
Balance,2003-05,-33.63
Balance,2003-04,-37.85
Balance,2003-03,-14.07
Balance,2003-02,-3.78
Balance,2003-01,2.38
Balance,2002-12,-30.07
Balance,2002-11,0.89
Balance,2002-10,0.8
Balance,2002-09,-24.66
Balance,2002-08,-27.73
Balance,2002-07,-9.58
Balance,2002-06,-37.56
Balance,2002-05,-27.97
Balance,2002-04,-10.63
Balance,2002-03,-8.58
Balance,2002-02,1.26
Balance,2002-01,7.41
Balance,2001-12,-14.16
Balance,2001-11,61.57
Balance,2001-10,0.94
Balance,2001-09,5.98
Balance,2001-08,-2.95
Balance,2001-07,-12.15
Balance,2001-06,-28.24
Balance,2001-05,-1.41
Balance,2001-04,-20.82
Balance,2001-03,-4.46
Balance,2001-02,-11.64
Balance,2001-01,-14.15
Balance,2000-12,-1.11
Balance,2000-11,-10.74
Balance,2000-10,0.84
Balance,2000-09,-8.58
Balance,2000-08,-9.8
Balance,2000-07,-6.9
Balance,2000-06,20.32
Balance,2000-05,-20.53
Balance,2000-04,-17.2
Balance,2000-03,-15.12
Balance,2000-02,-5.68
Balance,2000-01,-4.16
Balance,1999-12,-45.93
Balance,1999-11,-0.26
Balance,1999-10,9.56
Balance,1999-09,-6.78
Balance,1999-08,21.59
Balance,1999-07,-4.75
Balance,1999-06,-7.87
Balance,1999-05,-3.23
Balance,1999-04,-1.92
Balance,1999-03,-11.61
Balance,1999-02,-8.13
Balance,1999-01,0.78
Balance,1998-12,2.75
Balance,1998-11,-12.79
Balance,1998-10,-4.77
Balance,1998-09,16.13
Balance,1998-08,-2.24
Balance,1998-07,1.95
Balance,1998-06,7.62
Balance,1998-05,-12.0
Balance,1998-04,-29.5
Balance,1998-03,-7.8
Balance,1998-02,-0.98
Balance,1998-01,0.69
Balance,1997-12,41.98
Balance,1997-11,-16.72
Balance,1997-10,12.16
Balance,1997-09,19.02
Balance,1997-08,-1.17
Balance,1997-07,-7.08
Balance,1997-06,-2.0
Balance,1997-05,19.51
Balance,1997-04,3.29
Balance,1997-03,20.25
Balance,1997-02,3.55
Balance,1997-01,7.46
