он,үзүүлэлт,мян_тн
2010,ААНБ болон өрхөд нийлүүлсэн,1149.0
2010,Экспорт,16726.2
2010,"Тээвэр, хадгалалтын хорогдол",121.2
2011,Үйлдвэрлэсэн,27035.3
2011,Импорт,0.1
2011,Нийт хэрэглээ,5646.1
2011,ДЦС-д хэрэглэсэн,4485.9
2011,ААНБ болон өрхөд нийлүүлсэн,1160.2
2011,Экспорт,21296.0
2011,"Тээвэр, хадгалалтын хорогдол",53.1
2012,Үйлдвэрлэсэн,25358.4
2012,Импорт,0.3
2012,Нийт хэрэглээ,5338.2
2012,ДЦС-д хэрэглэсэн,4241.3
2012,ААНБ болон өрхөд нийлүүлсэн,1096.9
2012,Экспорт,20915.5
2012,"Тээвэр, хадгалалтын хорогдол",80.1
2013,Үйлдвэрлэсэн,25908.6
2013,Импорт,0.7
2013,Нийт хэрэглээ,5329.6
2013,ДЦС-д хэрэглэсэн,4236.9
2013,ААНБ болон өрхөд нийлүүлсэн,1092.7
2013,Экспорт,18373.1
2013,"Тээвэр, хадгалалтын хорогдол",97.5
2014,Үйлдвэрлэсэн,22888.0
2014,Импорт,1.4
2014,Нийт хэрэглээ,5448.2
2014,ДЦС-д хэрэглэсэн,4555.8
2014,ААНБ болон өрхөд нийлүүлсэн,892.4
2014,Экспорт,19499.0
2014,"Тээвэр, хадгалалтын хорогдол",154.7
2015,Үйлдвэрлэсэн,22783.4
2015,Импорт,0.8
2015,Нийт хэрэглээ,5731.9
2015,ДЦС-д хэрэглэсэн,5016.3
2015,ААНБ болон өрхөд нийлүүлсэн,715.6
2015,Экспорт,14472.6
2015,"Тээвэр, хадгалалтын хорогдол",115.7
2016,Үйлдвэрлэсэн,34552.8
2016,Импорт,0.5
2016,Нийт хэрэглээ,6874.6
2016,ДЦС-д хэрэглэсэн,5516.0
2016,ААНБ болон өрхөд нийлүүлсэн,1358.6
2016,Экспорт,25810.6
2016,"Тээвэр, хадгалалтын хорогдол",199.5
2017,Үйлдвэрлэсэн,45638.8
2017,Импорт,1.8
2017,Нийт хэрэглээ,7230.1
2017,ДЦС-д хэрэглэсэн,6094.8
2017,ААНБ болон өрхөд нийлүүлсэн,1135.3
2017,Экспорт,33399.4
2017,"Тээвэр, хадгалалтын хорогдол",353.5
2018,Үйлдвэрлэсэн,43435.7
2018,Импорт,2.1
2018,Нийт хэрэглээ,6897.7
2018,ДЦС-д хэрэглэсэн,5608.1
2018,ААНБ болон өрхөд нийлүүлсэн,1289.6
2018,Экспорт,36264.7
2018,"Тээвэр, хадгалалтын хорогдол",372.4
2019,Үйлдвэрлэсэн,43554.9
2019,Импорт,53.9
2019,Нийт хэрэглээ,6585.5
2019,ДЦС-д хэрэглэсэн,5196.4
2019,ААНБ болон өрхөд нийлүүлсэн,1389.2
2019,Экспорт,36604.1
2019,"Тээвэр, хадгалалтын хорогдол",312.1
2020,Үйлдвэрлэсэн,37806.7
2020,Импорт,4.5
2020,Нийт хэрэглээ,5830.1
2020,ДЦС-д хэрэглэсэн,4941.9
2020,ААНБ болон өрхөд нийлүүлсэн,888.3
2020,Экспорт,28676.9
2020,"Тээвэр, хадгалалтын хорогдол",364.8
2021,Үйлдвэрлэсэн,28645.0
2021,Импорт,9.0
2021,Нийт хэрэглээ,5955.1
2021,ДЦС-д хэрэглэсэн,5015.7
2021,ААНБ болон өрхөд нийлүүлсэн,939.5
2021,Экспорт,16117.6
2021,"Тээвэр, хадгалалтын хорогдол",402.0
2022,Үйлдвэрлэсэн,33874.5
2022,Импорт,26.1
2022,Нийт хэрэглээ,6593.8
2022,ДЦС-д хэрэглэсэн,5628.8
2022,ААНБ болон өрхөд нийлүүлсэн,965.1
2022,Экспорт,31821.6
2022,"Тээвэр, хадгалалтын хорогдол",113.5
2023,Үйлдвэрлэсэн,74283.7
2023,Импорт,22.8
2023,Нийт хэрэглээ,8604.7
2023,ДЦС-д хэрэглэсэн,7389.5
2023,ААНБ болон өрхөд нийлүүлсэн,1215.2
2023,Экспорт,69612.5
2023,"Тээвэр, хадгалалтын хорогдол",185.1
2024,Үйлдвэрлэсэн,95055.8
2024,Импорт,9.3
2024,Нийт хэрэглээ,10162.0
2024,ДЦС-д хэрэглэсэн,8540.4
2024,ААНБ болон өрхөд нийлүүлсэн,1621.6
2024,Экспорт,83754.7
2024,"Тээвэр, хадгалалтын хорогдол",492.4
