region,date,price
Arkhangai,2024-02-26,9500.0
Bayan-Ulgii,2024-02-26,12000.0
Bayankhongor,2024-02-26,11000.0
Bulgan,2024-02-26,10000.0
Darkhan-Uul,2024-02-26,12667.0
Dornod,2024-02-26,12000.0
Dornogovi,2024-02-26,9833.0
Dundgovi,2024-02-26,8500.0
Govi-Altai,2024-02-26,9000.0
Govisumber,2024-02-26,8500.0
Khentii,2024-02-26,12000.0
Khovd,2024-02-26,14000.0
Khuvsgul,2024-02-26,11000.0
Orkhon,2024-02-26,12167.0
Selenge,2024-02-26,11000.0
Sukhbaatar,2024-02-26,12000.0
Tuv,2024-02-26,12000.0
Umnugovi,2024-02-26,12000.0
Uvs,2024-02-26,8333.0
Uvurkhangai,2024-02-26,12000.0
Zavkhan,2024-02-26,8000.0
Arkhangai,2024-03-04,9500.0
Bayan-Ulgii,2024-03-04,11667.0
Bayankhongor,2024-03-04,11000.0
Bulgan,2024-03-04,10000.0
Darkhan-Uul,2024-03-04,13667.0
Dornod,2024-03-04,12000.0
Dornogovi,2024-03-04,9833.0
Dundgovi,2024-03-04,9487.0
Govi-Altai,2024-03-04,9833.0
Govisumber,2024-03-04,8500.0
Khentii,2024-03-04,12000.0
Khovd,2024-03-04,14000.0
Khuvsgul,2024-03-04,11000.0
Orkhon,2024-03-04,13833.0
Selenge,2024-03-04,11000.0
Sukhbaatar,2024-03-04,12000.0
Tuv,2024-03-04,12750.0
Umnugovi,2024-03-04,12500.0
Uvs,2024-03-04,8333.0
Uvurkhangai,2024-03-04,12667.0
Zavkhan,2024-03-04,8500.0
Arkhangai,2024-03-11,9667.0
Bayan-Ulgii,2024-03-11,11667.0
Bayankhongor,2024-03-11,12000.0
Bulgan,2024-03-11,10000.0
Darkhan-Uul,2024-03-11,12833.0
Dornod,2024-03-11,12000.0
Dornogovi,2024-03-11,9833.0
Dundgovi,2024-03-11,10488.0
Govi-Altai,2024-03-11,10000.0
Govisumber,2024-03-11,8500.0
Khentii,2024-03-11,12000.0
Khovd,2024-03-11,13000.0
Khuvsgul,2024-03-11,11000.0
Orkhon,2024-03-11,12833.0
Selenge,2024-03-11,11500.0
Sukhbaatar,2024-03-11,12000.0
Tuv,2024-03-11,12750.0
Umnugovi,2024-03-11,12500.0
Uvs,2024-03-11,9000.0
Uvurkhangai,2024-03-11,12667.0
Zavkhan,2024-03-11,8500.0
Arkhangai,2024-03-18,10000.0
Bayan-Ulgii,2024-03-18,12667.0
Bayankhongor,2024-03-18,12000.0
Bulgan,2024-03-18,10000.0
Darkhan-Uul,2024-03-18,13000.0
Dornod,2024-03-18,12000.0
Dornogovi,2024-03-18,10000.0
Dundgovi,2024-03-18,12825.0
Govi-Altai,2024-03-18,11000.0
Govisumber,2024-03-18,9000.0
Khentii,2024-03-18,12500.0
Khovd,2024-03-18,14000.0
Khuvsgul,2024-03-18,12000.0
Orkhon,2024-03-18,13833.0
Selenge,2024-03-18,11500.0
Sukhbaatar,2024-03-18,12000.0
Tuv,2024-03-18,13000.0
Umnugovi,2024-03-18,14500.0
Uvs,2024-03-18,10000.0
Uvurkhangai,2024-03-18,13000.0
Zavkhan,2024-03-18,10000.0
Arkhangai,2024-03-25,10333.0
Bayan-Ulgii,2024-03-25,12667.0
Bayankhongor,2024-03-25,12000.0
Bulgan,2024-03-25,10000.0
Darkhan-Uul,2024-03-25,14000.0
Dornod,2024-03-25,12000.0
Dornogovi,2024-03-25,10000.0
Dundgovi,2024-03-25,13248.0
Govi-Altai,2024-03-25,15000.0
Govisumber,2024-03-25,9000.0
Khentii,2024-03-25,13000.0
Khovd,2024-03-25,16000.0
Khuvsgul,2024-03-25,12000.0
Orkhon,2024-03-25,13833.0
Selenge,2024-03-25,11500.0
Sukhbaatar,2024-03-25,12000.0
Tuv,2024-03-25,13000.0
Umnugovi,2024-03-25,14500.0
Uvs,2024-03-25,10000.0
Uvurkhangai,2024-03-25,13500.0
Zavkhan,2024-03-25,10000.0
Arkhangai,2024-04-01,11167.0
Bayan-Ulgii,2024-04-01,13000.0
Bayankhongor,2024-04-01,12000.0
Bulgan,2024-04-01,10000.0
Darkhan-Uul,2024-04-01,13500.0
Dornod,2024-04-01,12000.0
Dornogovi,2024-04-01,11667.0
Dundgovi,2024-04-01,13500.0
Govi-Altai,2024-04-01,15000.0
Govisumber,2024-04-01,9000.0
Khentii,2024-04-01,13000.0
Khovd,2024-04-01,16000.0
Khuvsgul,2024-04-01,12000.0
Orkhon,2024-04-01,14000.0
Selenge,2024-04-01,11500.0
Sukhbaatar,2024-04-01,12000.0
Tuv,2024-04-01,13000.0
Umnugovi,2024-04-01,14500.0
Uvs,2024-04-01,10333.0
Uvurkhangai,2024-04-01,13667.0
Zavkhan,2024-04-01,10000.0
Arkhangai,2024-04-08,12333.0
Bayan-Ulgii,2024-04-08,13000.0
Bayankhongor,2024-04-08,12000.0
Bulgan,2024-04-08,10000.0
Darkhan-Uul,2024-04-08,13833.0
Dornod,2024-04-08,12000.0
Dornogovi,2024-04-08,12500.0
Dundgovi,2024-04-08,14000.0
Govi-Altai,2024-04-08,14667.0
Govisumber,2024-04-08,10000.0
Khentii,2024-04-08,13000.0
Khovd,2024-04-08,16000.0
Khuvsgul,2024-04-08,13000.0
Orkhon,2024-04-08,13167.0
Selenge,2024-04-08,11500.0
Sukhbaatar,2024-04-08,13000.0
Tuv,2024-04-08,13000.0
Umnugovi,2024-04-08,15000.0
Uvs,2024-04-08,11666.0
Uvurkhangai,2024-04-08,14000.0
Zavkhan,2024-04-08,10000.0
Arkhangai,2024-04-15,12000.0
Bayan-Ulgii,2024-04-15,13000.0
Bayankhongor,2024-04-15,14000.0
Bulgan,2024-04-15,10000.0
Darkhan-Uul,2024-04-15,14333.0
Dornod,2024-04-15,12000.0
Dornogovi,2024-04-15,12500.0
Dundgovi,2024-04-15,14500.0
Govi-Altai,2024-04-15,14000.0
Govisumber,2024-04-15,10000.0
Khentii,2024-04-15,13000.0
Khovd,2024-04-15,16000.0
Khuvsgul,2024-04-15,14000.0
Orkhon,2024-04-15,13333.0
Selenge,2024-04-15,11500.0
Sukhbaatar,2024-04-15,15000.0
Tuv,2024-04-15,13500.0
Umnugovi,2024-04-15,16000.0
Uvs,2024-04-15,11666.0
Uvurkhangai,2024-04-15,13667.0
Zavkhan,2024-04-15,10000.0
Arkhangai,2024-04-22,12000.0
Bayan-Ulgii,2024-04-22,13333.0
Bayankhongor,2024-04-22,15000.0
Bulgan,2024-04-22,10000.0
Darkhan-Uul,2024-04-22,14500.0
Dornod,2024-04-22,12658.0
Dornogovi,2024-04-22,13000.0
Dundgovi,2024-04-22,14500.0
Govi-Altai,2024-04-22,14333.0
Govisumber,2024-04-22,10000.0
Khentii,2024-04-22,13000.0
Khovd,2024-04-22,16000.0
Khuvsgul,2024-04-22,14000.0
Orkhon,2024-04-22,14333.0
Selenge,2024-04-22,13000.0
Sukhbaatar,2024-04-22,15000.0
Tuv,2024-04-22,13500.0
Umnugovi,2024-04-22,16000.0
Uvs,2024-04-22,14000.0
Uvurkhangai,2024-04-22,14667.0
Zavkhan,2024-04-22,16000.0
Arkhangai,2024-04-29,12000.0
Bayan-Ulgii,2024-04-29,13333.0
Bayankhongor,2024-04-29,16000.0
Bulgan,2024-04-29,13000.0
Darkhan-Uul,2024-04-29,14500.0
Dornod,2024-04-29,13500.0
Dornogovi,2024-04-29,13500.0
Dundgovi,2024-04-29,14500.0
Govi-Altai,2024-04-29,16000.0
Govisumber,2024-04-29,11000.0
Khentii,2024-04-29,13000.0
Khovd,2024-04-29,16000.0
Khuvsgul,2024-04-29,14000.0
Orkhon,2024-04-29,14333.0
Selenge,2024-04-29,14000.0
Sukhbaatar,2024-04-29,17000.0
Tuv,2024-04-29,13500.0
Umnugovi,2024-04-29,16000.0
Uvs,2024-04-29,14000.0
Uvurkhangai,2024-04-29,15000.0
Zavkhan,2024-04-29,16000.0
Arkhangai,2024-05-06,12000.0
Bayan-Ulgii,2024-05-06,13000.0
Bayankhongor,2024-05-06,16000.0
Bulgan,2024-05-06,13500.0
Darkhan-Uul,2024-05-06,14167.0
Dornod,2024-05-06,13500.0
Dornogovi,2024-05-06,13667.0
Dundgovi,2024-05-06,15000.0
Govi-Altai,2024-05-06,16000.0
Govisumber,2024-05-06,11000.0
Khentii,2024-05-06,14000.0
Khovd,2024-05-06,18000.0
Khuvsgul,2024-05-06,14000.0
Orkhon,2024-05-06,14833.0
Selenge,2024-05-06,14000.0
Sukhbaatar,2024-05-06,16000.0
Tuv,2024-05-06,13500.0
Umnugovi,2024-05-06,14000.0
Uvs,2024-05-06,14000.0
Uvurkhangai,2024-05-06,15000.0
Zavkhan,2024-05-06,16000.0
Arkhangai,2024-05-13,12000.0
Bayan-Ulgii,2024-05-13,13000.0
Bayankhongor,2024-05-13,16000.0
Bulgan,2024-05-13,13500.0
Darkhan-Uul,2024-05-13,14333.0
Dornod,2024-05-13,13500.0
Dornogovi,2024-05-13,13667.0
Dundgovi,2024-05-13,15969.0
Govi-Altai,2024-05-13,17500.0
Govisumber,2024-05-13,10500.0
Khentii,2024-05-13,14000.0
Khovd,2024-05-13,17000.0
Khuvsgul,2024-05-13,14000.0
Orkhon,2024-05-13,15167.0
Selenge,2024-05-13,14000.0
Sukhbaatar,2024-05-13,16000.0
Tuv,2024-05-13,13500.0
Umnugovi,2024-05-13,14000.0
Uvs,2024-05-13,14000.0
Uvurkhangai,2024-05-13,15000.0
Zavkhan,2024-05-13,16000.0
Arkhangai,2024-05-20,12000.0
Bayan-Ulgii,2024-05-20,13000.0
Bayankhongor,2024-05-20,16500.0
Bulgan,2024-05-20,13500.0
Darkhan-Uul,2024-05-20,14500.0
Dornod,2024-05-20,13000.0
Dornogovi,2024-05-20,13500.0
Dundgovi,2024-05-20,16492.0
Govi-Altai,2024-05-20,17500.0
Govisumber,2024-05-20,10000.0
Khentii,2024-05-20,14000.0
Khovd,2024-05-20,18000.0
Khuvsgul,2024-05-20,14000.0
Orkhon,2024-05-20,17000.0
Selenge,2024-05-20,14000.0
Sukhbaatar,2024-05-20,16000.0
Tuv,2024-05-20,14000.0
Umnugovi,2024-05-20,14000.0
Uvs,2024-05-20,14000.0
Uvurkhangai,2024-05-20,15000.0
Zavkhan,2024-05-20,16000.0
Arkhangai,2024-05-27,12000.0
Bayan-Ulgii,2024-05-27,13167.0
Bayankhongor,2024-05-27,16000.0
Bulgan,2024-05-27,13500.0
Darkhan-Uul,2024-05-27,15667.0
Dornod,2024-05-27,13000.0
Dornogovi,2024-05-27,13667.0
Dundgovi,2024-05-27,16000.0
Govi-Altai,2024-05-27,15000.0
Govisumber,2024-05-27,13000.0
Khentii,2024-05-27,14000.0
Khovd,2024-05-27,18000.0
Khuvsgul,2024-05-27,14000.0
Orkhon,2024-05-27,16333.0
Selenge,2024-05-27,14000.0
Sukhbaatar,2024-05-27,16000.0
Tuv,2024-05-27,13250.0
Umnugovi,2024-05-27,14000.0
Uvs,2024-05-27,14000.0
Uvurkhangai,2024-05-27,15000.0
Zavkhan,2024-05-27,16000.0
Arkhangai,2024-06-03,12333.0
Bayan-Ulgii,2024-06-03,16000.0
Bayankhongor,2024-06-03,16000.0
Bulgan,2024-06-03,15000.0
Darkhan-Uul,2024-06-03,15333.0
Dornod,2024-06-03,13000.0
Dornogovi,2024-06-03,14333.0
Dundgovi,2024-06-03,14000.0
Govi-Altai,2024-06-03,15000.0
Govisumber,2024-06-03,13000.0
Khentii,2024-06-03,14000.0
Khovd,2024-06-03,18000.0
Khuvsgul,2024-06-03,14000.0
Orkhon,2024-06-03,15833.0
Selenge,2024-06-03,14000.0
Sukhbaatar,2024-06-03,16000.0
Tuv,2024-06-03,13250.0
Umnugovi,2024-06-03,14000.0
Uvs,2024-06-03,14000.0
Uvurkhangai,2024-06-03,14333.0
Zavkhan,2024-06-03,16000.0
Arkhangai,2024-06-10,12667.0
Bayan-Ulgii,2024-06-10,15333.0
Bayankhongor,2024-06-10,14500.0
Bulgan,2024-06-10,15000.0
Darkhan-Uul,2024-06-10,15500.0
Dornod,2024-06-10,13000.0
Dornogovi,2024-06-10,14667.0
Dundgovi,2024-06-10,14500.0
Govi-Altai,2024-06-10,14500.0
Govisumber,2024-06-10,13000.0
Khentii,2024-06-10,14000.0
Khovd,2024-06-10,18000.0
Khuvsgul,2024-06-10,14000.0
Orkhon,2024-06-10,15833.0
Selenge,2024-06-10,14000.0
Sukhbaatar,2024-06-10,15000.0
Tuv,2024-06-10,13500.0
Umnugovi,2024-06-10,18000.0
Uvs,2024-06-10,15000.0
Uvurkhangai,2024-06-10,13500.0
Zavkhan,2024-06-10,15000.0
Arkhangai,2024-06-17,13000.0
Bayan-Ulgii,2024-06-17,15000.0
Bayankhongor,2024-06-17,14000.0
Bulgan,2024-06-17,15000.0
Darkhan-Uul,2024-06-17,14500.0
Dornod,2024-06-17,13000.0
Dornogovi,2024-06-17,14667.0
Dundgovi,2024-06-17,13750.0
Govi-Altai,2024-06-17,14000.0
Govisumber,2024-06-17,14000.0
Khentii,2024-06-17,15000.0
Khovd,2024-06-17,18000.0
Khuvsgul,2024-06-17,14000.0
Orkhon,2024-06-17,14500.0
Selenge,2024-06-17,14000.0
Sukhbaatar,2024-06-17,16000.0
Tuv,2024-06-17,13500.0
Umnugovi,2024-06-17,18000.0
Uvs,2024-06-17,15000.0
Uvurkhangai,2024-06-17,13333.0
Zavkhan,2024-06-17,15000.0
Arkhangai,2024-06-24,12000.0
Bayan-Ulgii,2024-06-24,14000.0
Bayankhongor,2024-06-24,14000.0
Bulgan,2024-06-24,15000.0
Darkhan-Uul,2024-06-24,14500.0
Dornod,2024-06-24,13000.0
Dornogovi,2024-06-24,14333.0
Dundgovi,2024-06-24,12000.0
Govi-Altai,2024-06-24,13500.0
Govisumber,2024-06-24,14000.0
Khentii,2024-06-24,15000.0
Khovd,2024-06-24,18000.0
Khuvsgul,2024-06-24,14000.0
Orkhon,2024-06-24,13333.0
Selenge,2024-06-24,14000.0
Sukhbaatar,2024-06-24,15000.0
Tuv,2024-06-24,13000.0
Umnugovi,2024-06-24,18000.0
Uvs,2024-06-24,14000.0
Uvurkhangai,2024-06-24,13000.0
Zavkhan,2024-06-24,14000.0
Arkhangai,2024-07-01,12333.0
Bayan-Ulgii,2024-07-01,14000.0
Bayankhongor,2024-07-01,13000.0
Bulgan,2024-07-01,13000.0
Darkhan-Uul,2024-07-01,14167.0
Dornod,2024-07-01,13000.0
Dornogovi,2024-07-01,14333.0
Dundgovi,2024-07-01,12500.0
Govi-Altai,2024-07-01,13500.0
Govisumber,2024-07-01,13000.0
Khentii,2024-07-01,15000.0
Khovd,2024-07-01,18000.0
Khuvsgul,2024-07-01,14000.0
Orkhon,2024-07-01,13333.0
Selenge,2024-07-01,14000.0
Sukhbaatar,2024-07-01,15000.0
Tuv,2024-07-01,13000.0
Umnugovi,2024-07-01,16000.0
Uvs,2024-07-01,13666.0
Uvurkhangai,2024-07-01,12333.0
Zavkhan,2024-07-01,14000.0
Arkhangai,2024-07-08,11667.0
Bayan-Ulgii,2024-07-08,13167.0
Bayankhongor,2024-07-08,12500.0
Bulgan,2024-07-08,13000.0
Darkhan-Uul,2024-07-08,13833.0
Dornod,2024-07-08,13000.0
Dornogovi,2024-07-08,14167.0
Dundgovi,2024-07-08,12000.0
Govi-Altai,2024-07-08,13500.0
Govisumber,2024-07-08,14000.0
Khentii,2024-07-08,13000.0
Khovd,2024-07-08,18000.0
Khuvsgul,2024-07-08,14000.0
Orkhon,2024-07-08,12333.0
Selenge,2024-07-08,14000.0
Sukhbaatar,2024-07-08,15000.0
Tuv,2024-07-08,13000.0
Umnugovi,2024-07-08,15000.0
Uvs,2024-07-08,13333.0
Uvurkhangai,2024-07-08,12000.0
Zavkhan,2024-07-08,14000.0
Arkhangai,2024-07-22,12000.0
Bayan-Ulgii,2024-07-22,13333.0
Bayankhongor,2024-07-22,12500.0
Bulgan,2024-07-22,13000.0
Darkhan-Uul,2024-07-22,13667.0
Dornod,2024-07-22,12000.0
Dornogovi,2024-07-22,14500.0
Dundgovi,2024-07-22,12000.0
Govi-Altai,2024-07-22,13000.0
Govisumber,2024-07-22,13000.0
Khentii,2024-07-22,12000.0
Khovd,2024-07-22,17000.0
Khuvsgul,2024-07-22,13490.0
Orkhon,2024-07-22,13167.0
Selenge,2024-07-22,11500.0
Sukhbaatar,2024-07-22,14000.0
Tuv,2024-07-22,12500.0
Umnugovi,2024-07-22,14000.0
Uvs,2024-07-22,12333.0
Uvurkhangai,2024-07-22,10833.0
Zavkhan,2024-07-22,13000.0
Arkhangai,2024-07-29,11333.0
Bayan-Ulgii,2024-07-29,13000.0
Bayankhongor,2024-07-29,12000.0
Bulgan,2024-07-29,13000.0
Darkhan-Uul,2024-07-29,13667.0
Dornod,2024-07-29,12000.0
Dornogovi,2024-07-29,14333.0
Dundgovi,2024-07-29,11500.0
Govi-Altai,2024-07-29,13000.0
Govisumber,2024-07-29,12000.0
Khentii,2024-07-29,12000.0
Khovd,2024-07-29,17000.0
Khuvsgul,2024-07-29,14000.0
Orkhon,2024-07-29,13167.0
Selenge,2024-07-29,11500.0
Sukhbaatar,2024-07-29,13000.0
Tuv,2024-07-29,13000.0
Umnugovi,2024-07-29,13500.0
Uvs,2024-07-29,12000.0
Uvurkhangai,2024-07-29,10667.0
Zavkhan,2024-07-29,13000.0
Arkhangai,2024-08-05,11333.0
Bayan-Ulgii,2024-08-05,13000.0
Bayankhongor,2024-08-05,11000.0
Bulgan,2024-08-05,13000.0
Darkhan-Uul,2024-08-05,13500.0
Dornod,2024-08-05,12000.0
Dornogovi,2024-08-05,13500.0
Dundgovi,2024-08-05,11500.0
Govi-Altai,2024-08-05,10500.0
Govisumber,2024-08-05,12000.0
Khentii,2024-08-05,12000.0
Khovd,2024-08-05,16000.0
Khuvsgul,2024-08-05,13000.0
Orkhon,2024-08-05,12833.0
Selenge,2024-08-05,11500.0
Sukhbaatar,2024-08-05,13000.0
Tuv,2024-08-05,13000.0
Umnugovi,2024-08-05,13000.0
Uvs,2024-08-05,12333.0
Uvurkhangai,2024-08-05,10333.0
Zavkhan,2024-08-05,12000.0
Arkhangai,2024-08-12,11333.0
Bayan-Ulgii,2024-08-12,12000.0
Bayankhongor,2024-08-12,10500.0
Bulgan,2024-08-12,12490.0
Darkhan-Uul,2024-08-12,13333.0
Dornod,2024-08-12,12000.0
Dornogovi,2024-08-12,13000.0
Dundgovi,2024-08-12,10500.0
Govi-Altai,2024-08-12,11000.0
Govisumber,2024-08-12,11000.0
Khentii,2024-08-12,12000.0
Khovd,2024-08-12,15000.0
Khuvsgul,2024-08-12,12000.0
Orkhon,2024-08-12,12833.0
Selenge,2024-08-12,11500.0
Sukhbaatar,2024-08-12,13000.0
Tuv,2024-08-12,12000.0
Umnugovi,2024-08-12,13000.0
Uvs,2024-08-12,13000.0
Uvurkhangai,2024-08-12,10667.0
Zavkhan,2024-08-12,12000.0
Arkhangai,2024-08-19,11000.0
Bayan-Ulgii,2024-08-19,12000.0
Bayankhongor,2024-08-19,10000.0
Bulgan,2024-08-19,12490.0
Darkhan-Uul,2024-08-19,13333.0
Dornod,2024-08-19,12000.0
Dornogovi,2024-08-19,12667.0
Dundgovi,2024-08-19,11000.0
Govi-Altai,2024-08-19,10500.0
Govisumber,2024-08-19,11000.0
Khentii,2024-08-19,12000.0
Khovd,2024-08-19,15000.0
Khuvsgul,2024-08-19,12000.0
Orkhon,2024-08-19,12000.0
Selenge,2024-08-19,11500.0
Sukhbaatar,2024-08-19,13000.0
Tuv,2024-08-19,12000.0
Umnugovi,2024-08-19,13000.0
Uvs,2024-08-19,12000.0
Uvurkhangai,2024-08-19,9667.0
Zavkhan,2024-08-19,12000.0
Arkhangai,2024-08-26,10500.0
Bayan-Ulgii,2024-08-26,12000.0
Bayankhongor,2024-08-26,9000.0
Bulgan,2024-08-26,12000.0
Darkhan-Uul,2024-08-26,13000.0
Dornod,2024-08-26,12000.0
Dornogovi,2024-08-26,12667.0
Dundgovi,2024-08-26,10000.0
Govi-Altai,2024-08-26,10500.0
Govisumber,2024-08-26,10000.0
Khentii,2024-08-26,11000.0
Khovd,2024-08-26,14000.0
Khuvsgul,2024-08-26,11500.0
Orkhon,2024-08-26,12000.0
Selenge,2024-08-26,11500.0
Sukhbaatar,2024-08-26,13000.0
Tuv,2024-08-26,12000.0
Umnugovi,2024-08-26,13000.0
Uvs,2024-08-26,9166.0
Uvurkhangai,2024-08-26,9500.0
Zavkhan,2024-08-26,12000.0
Arkhangai,2024-09-02,11000.0
Bayan-Ulgii,2024-09-02,12000.0
Bayankhongor,2024-09-02,9000.0
Bulgan,2024-09-02,12000.0
Darkhan-Uul,2024-09-02,13000.0
Dornod,2024-09-02,12000.0
Dornogovi,2024-09-02,12167.0
Dundgovi,2024-09-02,10500.0
Govi-Altai,2024-09-02,10000.0
Govisumber,2024-09-02,9000.0
Khentii,2024-09-02,11000.0
Khovd,2024-09-02,15000.0
Khuvsgul,2024-09-02,11000.0
Orkhon,2024-09-02,12000.0
Selenge,2024-09-02,11500.0
Sukhbaatar,2024-09-02,12000.0
Tuv,2024-09-02,12000.0
Umnugovi,2024-09-02,12000.0
Uvs,2024-09-02,10166.0
Uvurkhangai,2024-09-02,9333.0
Zavkhan,2024-09-02,11000.0
