огноо,м1_тэрбум_төгрөг
2015-11-01,1562.73
2015-12-01,1685.42
2016-01-01,1608.09
2016-02-01,1522.93
2016-03-01,1583.73
2016-04-01,1683.51
2016-05-01,1743.87
2016-06-01,1982.2
2016-07-01,1941.6
2016-08-01,1987.87
2016-09-01,2020.54
2016-10-01,2087.63
2016-11-01,1928.61
2016-12-01,2147.72
2017-01-01,2013.27
2017-02-01,2185.65
2017-03-01,2124.91
2017-04-01,2313.34
2017-05-01,2487.8
2017-06-01,2719.73
2017-07-01,2584.18
2017-08-01,2759.05
2017-09-01,2800.4
2017-10-01,2626.54
2017-11-01,2639.51
2017-12-01,2826.0
2018-01-01,2632.71
2018-02-01,2733.56
2018-03-01,2776.68
2018-04-01,2870.98
2018-05-01,3201.4
2018-06-01,3352.77
2018-07-01,3090.15
2018-08-01,3221.73
2018-09-01,3423.12
2018-10-01,3444.22
2018-11-01,3447.02
2018-12-01,4030.95
2019-01-01,3685.62
2019-02-01,3465.53
2019-03-01,3672.89
2019-04-01,3678.39
2019-05-01,3806.39
2019-06-01,4112.15
2019-07-01,3790.76
2019-08-01,3943.1
2019-09-01,3811.94
2019-10-01,4189.15
2019-11-01,4003.73
2019-12-01,3911.41
2020-01-01,3667.14
2020-02-01,3489.57
2020-03-01,3473.53
2020-04-01,3434.31
2020-05-01,3637.25
2020-06-01,3587.98
2020-07-01,3472.05
2020-08-01,3401.75
2020-09-01,3571.36
2020-10-01,3643.21
2020-11-01,3926.12
2020-12-01,4212.37
2021-01-01,3897.9
2021-02-01,4115.14
2021-03-01,4342.06
2021-04-01,5217.96
2021-05-01,5777.93
2021-06-01,5979.78
2021-07-01,5603.34
2021-08-01,5718.09
2021-09-01,5620.72
2021-10-01,5687.67
2021-11-01,5888.1
2021-12-01,6507.21
2022-01-01,5840.56
2022-02-01,5485.08
2022-03-01,5723.52
2022-04-01,5768.18
2022-05-01,5781.95
2022-06-01,6067.1
2022-07-01,5919.79
2022-08-01,6028.26
2022-09-01,6174.87
2022-10-01,6043.76
2022-11-01,5920.01
2022-12-01,7201.33
2023-01-01,6636.65
2023-02-01,6535.72
2023-03-01,6792.18
2023-04-01,7261.71
2023-05-01,7830.51
2023-06-01,8282.0
2023-07-01,8039.06
2023-08-01,7986.52
2023-09-01,8189.82
2023-10-01,8250.97
2023-11-01,8054.64
2023-12-01,9853.14
2024-01-01,8684.65
2024-02-01,9470.09
2024-03-01,9789.46
2024-04-01,9639.7
2024-05-01,9777.12
2024-06-01,11807.41
2024-07-01,12092.81
2024-08-01,11953.9
2024-09-01,12067.14
2024-10-01,10985.49
2024-11-01,10750.75
2024-12-01,11687.35
2025-01-01,10832.17
2025-02-01,10470.67
2025-03-01,10137.93
2025-04-01,9877.29
2025-05-01,9676.01
2025-06-01,10645.84
2025-07-01,10187.84
2025-08-01,10254.54
2025-09-01,10504.05
2025-10-01,10994.29
2025-11-01,11111.61
2025-12-01,11227.22
2026-01-01,11111.61
