month,metric,value
2021-01,Exports,3282.7
2021-01,Production,4877.2
2021-01,Sales,4392.1
2021-02,Exports,2636.1
2021-02,Production,4202.2
2021-02,Sales,3574.1
2021-03,Exports,2493.1
2021-03,Production,3742.7
2021-03,Sales,3359.6
2021-04,Exports,1561.9
2021-04,Production,2962.8
2021-04,Sales,2251.7
2021-05,Exports,850.4
2021-05,Production,2031.4
2021-05,Sales,1425.0
2021-06,Exports,841.5
2021-06,Production,1478.9
2021-06,Sales,1432.5
2021-07,Exports,1085.2
2021-07,Production,1687.1
2021-07,Sales,1597.1
2021-08,Exports,718.1
2021-08,Production,1415.2
2021-08,Sales,1431.5
2021-09,Exports,562.0
2021-09,Production,1769.8
2021-09,Sales,1421.2
2021-10,Exports,725.0
2021-10,Production,2835.3
2021-10,Sales,1929.9
2021-11,Exports,985.9
2021-11,Production,2725.8
2021-11,Sales,2467.0
2021-12,Exports,569.0
2021-12,Production,2583.7
2021-12,Sales,1838.0
2022-01,Exports,443.1
2022-01,Production,2163.5
2022-01,Sales,1636.2
2022-02,Exports,503.1
2022-02,Production,1626.4
2022-02,Sales,1571.1
2022-03,Exports,981.6
2022-03,Production,2046.8
2022-03,Sales,1949.1
2022-04,Exports,680.0
2022-04,Production,2344.6
2022-04,Sales,1427.2
2022-05,Exports,832.1
2022-05,Production,1923.6
2022-05,Sales,1433.9
2022-06,Exports,1757.4
2022-06,Production,2129.5
2022-06,Sales,2287.1
2022-07,Exports,2434.6
2022-07,Production,2304.8
2022-07,Sales,2936.1
2022-08,Exports,3083.2
2022-08,Production,3601.9
2022-08,Sales,3821.1
2022-09,Exports,3849.9
2022-09,Production,4249.4
2022-09,Sales,4941.4
2022-10,Exports,3954.4
2022-10,Production,5128.2
2022-10,Sales,5295.3
2022-11,Exports,4181.5
2022-11,Production,5417.9
2022-11,Sales,5530.4
2022-12,Exports,4844.2
2022-12,Production,6403.4
2022-12,Sales,6294.0
2023-01,Exports,4282.4
2023-01,Production,5579.1
2023-01,Sales,5759.1
2023-02,Exports,4204.4
2023-02,Production,4777.0
2023-02,Sales,5453.8
2023-03,Exports,5430.4
2023-03,Production,6592.1
2023-03,Sales,6653.2
2023-04,Exports,4611.0
2023-04,Production,5791.2
2023-04,Sales,5569.0
2023-05,Exports,4152.0
2023-05,Production,5947.7
2023-05,Sales,4894.6
2023-06,Exports,4113.8
2023-06,Production,6195.1
2023-06,Sales,4779.4
2023-07,Exports,5098.1
2023-07,Production,5720.8
2023-07,Sales,5827.8
2023-08,Exports,6744.3
2023-08,Production,7908.8
2023-08,Sales,7525.0
2023-09,Exports,6882.5
2023-09,Production,8530.5
2023-09,Sales,7706.1
2023-10,Exports,6712.3
2023-10,Production,9090.2
2023-10,Sales,8022.1
2023-11,Exports,7371.2
2023-11,Production,8650.3
2023-11,Sales,8835.2
2023-12,Exports,6667.3
2023-12,Production,8452.0
2023-12,Sales,8372.4
2024-01,Exports,5385.6
2024-01,Production,7072.2
2024-01,Sales,6749.0
2024-02,Exports,4468.2
2024-02,Production,7004.3
2024-02,Sales,5714.7
2024-03,Exports,6003.1
2024-03,Production,8337.3
2024-03,Sales,7247.0
2024-04,Exports,6470.4
2024-04,Production,9171.7
2024-04,Sales,7512.0
2024-05,Exports,6649.8
2024-05,Production,9148.1
2024-05,Sales,7542.4
2024-06,Exports,7010.1
2024-06,Production,8883.1
2024-06,Sales,7814.4
2024-07,Exports,6892.7
2024-07,Production,8629.9
2024-07,Sales,7514.0
2024-08,Exports,6710.9
2024-08,Production,8701.4
2024-08,Sales,7554.7
2024-09,Exports,6075.4
2024-09,Production,9363.0
2024-09,Sales,7068.6
2024-10,Exports,6828.7
2024-10,Production,10268.7
2024-10,Sales,8044.3
2024-11,Exports,5601.5
2024-11,Production,10474.4
2024-11,Sales,6997.9
2024-12,Exports,6312.8
2024-12,Production,9486.8
2024-12,Sales,7860.9
2025-01,Exports,3406.2
2025-01,Production,5880.8
2025-01,Sales,4693.5
2025-02,Exports,4504.8
2025-02,Production,7347.8
2025-02,Sales,5456.9
2025-03,Exports,3897.0
2025-03,Production,7987.8
2025-03,Sales,4921.5
2025-04,Exports,7091.4
2025-04,Production,8718.3
2025-04,Sales,7829.5
2025-05,Exports,6282.9
2025-05,Production,9147.2
2025-05,Sales,7025.7
2025-06,Exports,4910.1
2025-06,Production,6626.1
2025-06,Sales,5289.2
2025-07,Exports,6672.0
2025-07,Production,7981.4
2025-07,Sales,7315.1
2025-08,Exports,6116.6
2025-08,Production,7627.9
2025-08,Sales,6783.5
2025-09,Exports,9100.4
2025-09,Production,10130.1
2025-09,Sales,10105.3
2025-10,Exports,7065.0
2025-10,Production,10165.9
2025-10,Sales,8382.5
2025-11,Exports,8320.8
2025-11,Production,11089.8
2025-11,Sales,9459.2
2025-12,Exports,9115.7
2025-12,Production,11350.5
2025-12,Sales,10503.8
2026-01,Exports,9306.5
2026-01,Production,11398.9
2026-01,Sales,10020.3
2026-02,Exports,6175.3
2026-02,Production,9629.3
2026-02,Sales,7313.2
2026-03,Exports,7820.7
2026-03,Production,8898.5
2026-03,Sales,8695.1
2026-04,Exports,8878.2
2026-04,Production,9890.9
2026-04,Sales,9481.2
2026-05,Exports,8804.8
2026-05,Production,12936.9
2026-05,Sales,9375.8
2026-06,Exports,10367.4
2026-06,Production,13036.0
2026-06,Sales,11221.5
2026-07,Exports,8205.7
2026-07,Production,11127.8
2026-07,Sales,8761.5
