бүс,үнэ
Архангай,2700.0
Баян-Өлгий,3248.0
Баянхонгор,2730.0
Булган,2720.0
Говь-Алтай,2998.0
Говьсүмбэр,2678.0
Дархан-Уул,2645.0
Дорноговь,2720.0
Дорнод,2727.0
Дундговь,2730.0
Завхан,3290.0
Орхон,2690.0
Сэлэнгэ,2700.0
Сүхбаатар,2768.0
Төв,2613.0
Увс,3183.0
Ховд,3350.0
Хэнтий,2720.0
Хөвсгөл,2790.0
Өвөрхангай,2670.0
Өмнөговь,2748.0
