он,үзүүлэлт,квтц
1989,Үйлдвэрлэсэн,3568.0
1989,Импорт,158.0
1989,Экспорт,0.0
1989,Хэрэглэсэн,2880.0
1989,Дамжуулалтын алдагдал,280.0
1989,Станцын дотоод хэрэглээ,566.0
1990,Үйлдвэрлэсэн,3348.0
1990,Импорт,228.0
1990,Экспорт,0.0
1990,Хэрэглэсэн,2719.0
1990,Дамжуулалтын алдагдал,323.0
1990,Станцын дотоод хэрэглээ,534.0
1991,Үйлдвэрлэсэн,3229.0
1991,Импорт,84.0
1991,Экспорт,0.0
1991,Хэрэглэсэн,2400.0
1991,Дамжуулалтын алдагдал,340.0
1991,Станцын дотоод хэрэглээ,573.0
1992,Үйлдвэрлэсэн,2929.0
1992,Импорт,101.9
1992,Экспорт,0.0
1992,Хэрэглэсэн,2175.0
1992,Дамжуулалтын алдагдал,284.6
1992,Станцын дотоод хэрэглээ,571.5
1993,Үйлдвэрлэсэн,2582.0
1993,Импорт,197.0
1993,Экспорт,0.0
1993,Хэрэглэсэн,2006.0
1993,Дамжуулалтын алдагдал,291.0
1993,Станцын дотоод хэрэглээ,482.0
1994,Үйлдвэрлэсэн,2715.0
1994,Импорт,215.0
1994,Экспорт,0.0
1994,Хэрэглэсэн,1861.0
1994,Дамжуулалтын алдагдал,472.0
1994,Станцын дотоод хэрэглээ,597.0
1995,Үйлдвэрлэсэн,2628.0
1995,Импорт,381.0
1995,Экспорт,0.0
1995,Хэрэглэсэн,1909.0
1995,Дамжуулалтын алдагдал,502.0
1995,Станцын дотоод хэрэглээ,598.0
1996,Үйлдвэрлэсэн,2614.0
1996,Импорт,383.0
1996,Экспорт,0.0
1996,Хэрэглэсэн,1936.0
1996,Дамжуулалтын алдагдал,482.0
1996,Станцын дотоод хэрэглээ,579.0
1997,Үйлдвэрлэсэн,2720.0
1997,Импорт,376.0
1997,Экспорт,42.0
1997,Хэрэглэсэн,1939.0
1997,Дамжуулалтын алдагдал,507.0
1997,Станцын дотоод хэрэглээ,608.0
1998,Үйлдвэрлэсэн,2675.0
1998,Импорт,367.0
1998,Экспорт,60.0
1998,Хэрэглэсэн,1929.0
1998,Дамжуулалтын алдагдал,465.0
1998,Станцын дотоод хэрэглээ,588.0
1999,Үйлдвэрлэсэн,2842.0
1999,Импорт,203.0
1999,Экспорт,59.0
1999,Хэрэглэсэн,1867.0
1999,Дамжуулалтын алдагдал,509.0
1999,Станцын дотоод хэрэглээ,610.0
2000,Үйлдвэрлэсэн,2946.0
2000,Импорт,181.0
2000,Экспорт,25.0
2000,Хэрэглэсэн,1910.0
2000,Дамжуулалтын алдагдал,576.0
2000,Станцын дотоод хэрэглээ,616.0
2001,Үйлдвэрлэсэн,3017.0
2001,Импорт,196.0
2001,Экспорт,18.0
2001,Хэрэглэсэн,1948.0
2001,Дамжуулалтын алдагдал,603.0
2001,Станцын дотоод хэрэглээ,644.0
2002,Үйлдвэрлэсэн,3111.7
2002,Импорт,167.3
2002,Экспорт,15.5
2002,Хэрэглэсэн,2031.7
2002,Дамжуулалтын алдагдал,582.8
2002,Станцын дотоод хэрэглээ,649.0
2003,Үйлдвэрлэсэн,3137.7
2003,Импорт,171.28
2003,Экспорт,6.73
2003,Хэрэглэсэн,2194.65
2003,Дамжуулалтын алдагдал,489.2
2003,Станцын дотоод хэрэглээ,618.4
2004,Үйлдвэрлэсэн,3303.4
2004,Импорт,170.8
2004,Экспорт,8.2
2004,Хэрэглэсэн,2357.0
2004,Дамжуулалтын алдагдал,480.4
2004,Станцын дотоод хэрэглээ,628.8
2005,Үйлдвэрлэсэн,3418.9
2005,Импорт,167.5
2005,Экспорт,11.9
2005,Хэрэглэсэн,2534.0
2005,Дамжуулалтын алдагдал,419.7
2005,Станцын дотоод хэрэглээ,620.8
2006,Үйлдвэрлэсэн,3544.2
2006,Импорт,168.3
2006,Экспорт,20.8
2006,Хэрэглэсэн,2619.7
2006,Дамжуулалтын алдагдал,442.3
2006,Станцын дотоод хэрэглээ,629.6
2007,Үйлдвэрлэсэн,3700.7
2007,Импорт,195.4
2007,Экспорт,10.1
2007,Хэрэглэсэн,2829.1
2007,Дамжуулалтын алдагдал,442.4
2007,Станцын дотоод хэрэглээ,614.5
2008,Үйлдвэрлэсэн,4000.57
2008,Импорт,197.6
2008,Экспорт,15.9
2008,Хэрэглэсэн,3093.3
2008,Дамжуулалтын алдагдал,435.89
2008,Станцын дотоод хэрэглээ,653.17
2009,Үйлдвэрлэсэн,4038.84
2009,Импорт,156.55
2009,Экспорт,18.06
2009,Хэрэглэсэн,3034.09
2009,Дамжуулалтын алдагдал,493.87
2009,Станцын дотоод хэрэглээ,649.37
2010,Үйлдвэрлэсэн,4312.82
2010,Импорт,262.9
2010,Экспорт,22.18
2010,Хэрэглэсэн,3375.86
2010,Дамжуулалтын алдагдал,505.41
2010,Станцын дотоод хэрэглээ,672.22
2011,Үйлдвэрлэсэн,4536.38
2011,Импорт,275.51
2011,Экспорт,23.77
2011,Хэрэглэсэн,3452.96
2011,Дамжуулалтын алдагдал,644.31
2011,Станцын дотоод хэрэглээ,690.85
2012,Үйлдвэрлэсэн,4815.57
2012,Импорт,366.02
2012,Экспорт,21.16
2012,Хэрэглэсэн,3772.64
2012,Дамжуулалтын алдагдал,675.39
2012,Станцын дотоод хэрэглээ,712.4
2013,Үйлдвэрлэсэн,5019.54
2013,Импорт,1195.49
2013,Экспорт,18.21
2013,Хэрэглэсэн,4732.07
2013,Дамжуулалтын алдагдал,739.5
2013,Станцын дотоод хэрэглээ,725.26
2014,Үйлдвэрлэсэн,5375.8
2014,Импорт,1349.2
2014,Экспорт,33.4
2014,Хэрэглэсэн,5158.4
2014,Дамжуулалтын алдагдал,760.8
2014,Станцын дотоод хэрэглээ,772.4
2015,Үйлдвэрлэсэн,5513.2
2015,Импорт,1416.8
2015,Экспорт,50.8
2015,Хэрэглэсэн,5283.5
2015,Дамжуулалтын алдагдал,817.5
2015,Станцын дотоод хэрэглээ,778.2
2016,Үйлдвэрлэсэн,5667.1
2016,Импорт,1446.3
2016,Экспорт,36.0
2016,Хэрэглэсэн,5445.7
2016,Дамжуулалтын алдагдал,883.0
2016,Станцын дотоод хэрэглээ,748.7
2017,Үйлдвэрлэсэн,6027.3
2017,Импорт,1574.3
2017,Экспорт,25.7
2017,Хэрэглэсэн,5948.7
2017,Дамжуулалтын алдагдал,810.9
2017,Станцын дотоод хэрэглээ,816.4
2018,Үйлдвэрлэсэн,6535.3
2018,Импорт,1665.7
2018,Экспорт,26.7
2018,Хэрэглэсэн,6449.7
2018,Дамжуулалтын алдагдал,875.3
2018,Станцын дотоод хэрэглээ,849.3
2019,Үйлдвэрлэсэн,6900.4
2019,Импорт,1722.7
2019,Экспорт,24.1
2019,Хэрэглэсэн,6846.4
2019,Дамжуулалтын алдагдал,891.6
