date,currency_code,currency_name,rate_mnt
2022-07-01,RUB,Russian Ruble,53.7281
2022-07-01,USD,US Dollar,3151.72
2022-08-01,CNY,Chinese Yuan,468.6519
2022-08-01,EUR,Euro,3228.5926
2022-08-01,JPY,Japanese Yen,23.5823
2022-08-01,KRW,South Korean Won,2.4145
2022-08-01,RUB,Russian Ruble,52.6658
2022-08-01,USD,US Dollar,3186.091
2022-09-01,CNY,Chinese Yuan,463.872
2022-09-01,EUR,Euro,3227.6343
2022-09-01,JPY,Japanese Yen,22.776
2022-09-01,KRW,South Korean Won,2.3343
2022-09-01,RUB,Russian Ruble,54.3737
2022-09-01,USD,US Dollar,3252.7293
2022-10-01,CNY,Chinese Yuan,468.6758
2022-10-01,EUR,Euro,3313.7181
2022-10-01,JPY,Japanese Yen,22.921
2022-10-01,KRW,South Korean Won,2.36
2022-10-01,RUB,Russian Ruble,54.9648
2022-10-01,USD,US Dollar,3369.2642
2022-11-01,CNY,Chinese Yuan,474.916
2022-11-01,EUR,Euro,3472.7517
2022-11-01,JPY,Japanese Yen,23.9497
2022-11-01,KRW,South Korean Won,2.5123
2022-11-01,RUB,Russian Ruble,55.9687
2022-11-01,USD,US Dollar,3406.9767
2022-12-01,CNY,Chinese Yuan,491.6419
2022-12-01,EUR,Euro,3627.1661
2022-12-01,JPY,Japanese Yen,25.4535
2022-12-01,KRW,South Korean Won,2.6526
2022-12-01,RUB,Russian Ruble,52.3261
2022-12-01,USD,US Dollar,3431.8026
2023-01-01,CNY,Chinese Yuan,510.1913
2023-01-01,EUR,Euro,3734.13
2023-01-01,JPY,Japanese Yen,26.5839
2023-01-01,KRW,South Korean Won,2.7845
2023-01-01,RUB,Russian Ruble,49.8345
2023-01-01,USD,US Dollar,3467.0823
2023-02-01,CNY,Chinese Yuan,513.4657
2023-02-01,EUR,Euro,3763.1971
2023-02-01,JPY,Japanese Yen,26.4825
2023-02-01,KRW,South Korean Won,2.7518
2023-02-01,RUB,Russian Ruble,48.0339
2023-02-01,USD,US Dollar,3509.3257
2023-03-01,CNY,Chinese Yuan,511.3174
2023-03-01,EUR,Euro,3774.8019
2023-03-01,JPY,Japanese Yen,26.3619
2023-03-01,KRW,South Korean Won,2.7029
2023-03-01,RUB,Russian Ruble,46.3087
2023-03-01,USD,US Dollar,3525.2723
2023-04-01,CNY,Chinese Yuan,507.8647
2023-04-01,EUR,Euro,3834.0547
2023-04-01,JPY,Japanese Yen,26.2163
2023-04-01,KRW,South Korean Won,2.6473
2023-04-01,RUB,Russian Ruble,43.1463
2023-04-01,USD,US Dollar,3496.8107
2023-05-01,CNY,Chinese Yuan,495.4732
2023-05-01,EUR,Euro,3762.3958
2023-05-01,JPY,Japanese Yen,25.2797
2023-05-01,KRW,South Korean Won,2.6058
2023-05-01,RUB,Russian Ruble,43.8487
2023-05-01,USD,US Dollar,3461.0739
2023-06-01,CNY,Chinese Yuan,480.7877
2023-06-01,EUR,Euro,3726.0277
2023-06-01,JPY,Japanese Yen,24.3657
2023-06-01,KRW,South Korean Won,2.651
2023-06-01,RUB,Russian Ruble,41.2537
2023-06-01,USD,US Dollar,3439.0003
2023-07-01,CNY,Chinese Yuan,477.4035
2023-07-01,EUR,Euro,3780.0929
2023-07-01,JPY,Japanese Yen,24.2187
2023-07-01,KRW,South Korean Won,2.6619
2023-07-01,RUB,Russian Ruble,37.8665
2023-07-01,USD,US Dollar,3441.1329
2023-08-01,CNY,Chinese Yuan,478.5442
2023-08-01,EUR,Euro,3785.2481
2023-08-01,JPY,Japanese Yen,23.9823
2023-08-01,KRW,South Korean Won,2.6229
2023-08-01,RUB,Russian Ruble,36.4048
2023-08-01,USD,US Dollar,3470.0952
2023-09-01,CNY,Chinese Yuan,475.0297
2023-09-01,EUR,Euro,3705.9457
2023-09-01,JPY,Japanese Yen,23.4877
2023-09-01,KRW,South Korean Won,2.5993
2023-09-01,RUB,Russian Ruble,35.863
2023-09-01,USD,US Dollar,3466.2827
2023-10-01,CNY,Chinese Yuan,472.3765
2023-10-01,EUR,Euro,3646.58
2023-10-01,JPY,Japanese Yen,23.0819
2023-10-01,KRW,South Korean Won,2.5548
2023-10-01,RUB,Russian Ruble,35.6248
2023-10-01,USD,US Dollar,3452.5713
2023-11-01,CNY,Chinese Yuan,475.661
2023-11-01,EUR,Euro,3712.935
2023-11-01,JPY,Japanese Yen,22.9373
2023-11-01,KRW,South Korean Won,2.629
2023-11-01,RUB,Russian Ruble,38.0587
2023-11-01,USD,US Dollar,3440.8883
2023-12-01,CNY,Chinese Yuan,479.07
2023-12-01,EUR,Euro,3737.8223
2023-12-01,JPY,Japanese Yen,23.7813
2023-12-01,KRW,South Korean Won,2.6261
2023-12-01,RUB,Russian Ruble,37.6445
2023-12-01,USD,US Dollar,3420.6768
2024-01-01,CNY,Chinese Yuan,475.2116
2024-01-01,EUR,Euro,3718.2419
2024-01-01,JPY,Japanese Yen,23.3387
2024-01-01,KRW,South Korean Won,2.5729
2024-01-01,RUB,Russian Ruble,38.1461
2024-01-01,USD,US Dollar,3407.4471
2024-02-01,CNY,Chinese Yuan,471.6493
2024-02-01,EUR,Euro,3663.771
2024-02-01,JPY,Japanese Yen,22.71
2024-02-01,KRW,South Korean Won,2.5483
2024-02-01,RUB,Russian Ruble,37.031
2024-02-01,USD,US Dollar,3392.4545
2024-03-01,CNY,Chinese Yuan,468.6177
2024-03-01,EUR,Euro,3665.5181
2024-03-01,JPY,Japanese Yen,22.5313
2024-03-01,KRW,South Korean Won,2.5306
2024-03-01,RUB,Russian Ruble,36.8155
2024-03-01,USD,US Dollar,3376.2123
2024-04-01,CNY,Chinese Yuan,466.4317
2024-04-01,EUR,Euro,3623.003
2024-04-01,JPY,Japanese Yen,21.9647
2024-04-01,KRW,South Korean Won,2.4663
2024-04-01,RUB,Russian Ruble,36.304
2024-04-01,USD,US Dollar,3376.5297
2024-05-01,CNY,Chinese Yuan,467.4119
2024-05-01,EUR,Euro,3652.9274
2024-05-01,JPY,Japanese Yen,21.7
2024-05-01,KRW,South Korean Won,2.4765
2024-05-01,RUB,Russian Ruble,37.1797
2024-05-01,USD,US Dollar,3381.2929
2024-06-01,CNY,Chinese Yuan,466.036
2024-06-01,EUR,Euro,3638.4013
2024-06-01,JPY,Japanese Yen,21.415
2024-06-01,KRW,South Korean Won,2.4483
2024-06-01,RUB,Russian Ruble,38.467
2024-06-01,USD,US Dollar,3381.1577
2024-07-01,CNY,Chinese Yuan,465.441
2024-07-01,EUR,Euro,3663.7397
2024-07-01,JPY,Japanese Yen,21.3994
2024-07-01,KRW,South Korean Won,2.4439
2024-07-01,RUB,Russian Ruble,38.7758
2024-07-01,USD,US Dollar,3380.89
2024-08-01,CNY,Chinese Yuan,472.4629
2024-08-01,EUR,Euro,3719.9181
2024-08-01,JPY,Japanese Yen,23.0552
2024-08-01,KRW,South Korean Won,2.5
2024-08-01,RUB,Russian Ruble,37.9381
2024-08-01,USD,US Dollar,3381.0106
2024-09-01,CNY,Chinese Yuan,477.9393
2024-09-01,EUR,Euro,3755.7013
2024-09-01,JPY,Japanese Yen,23.6343
2024-09-01,KRW,South Korean Won,2.5417
2024-09-01,RUB,Russian Ruble,37.0077
2024-09-01,USD,US Dollar,3380.9967
2024-10-01,CNY,Chinese Yuan,478.6542
2024-10-01,EUR,Euro,3698.7581
2024-10-01,JPY,Japanese Yen,22.6865
2024-10-01,KRW,South Korean Won,2.4923
2024-10-01,RUB,Russian Ruble,35.1987
2024-10-01,USD,US Dollar,3391.6065
2024-11-01,CNY,Chinese Yuan,473.7953
2024-11-01,EUR,Euro,3630.862
2024-11-01,JPY,Japanese Yen,22.207
2024-11-01,KRW,South Korean Won,2.448
2024-11-01,RUB,Russian Ruble,33.9667
2024-11-01,USD,US Dollar,3412.7827
2024-12-01,CNY,Chinese Yuan,469.45
2024-12-01,EUR,Euro,3579.7265
2024-12-01,JPY,Japanese Yen,22.22
2024-12-01,KRW,South Korean Won,2.3739
2024-12-01,RUB,Russian Ruble,33.3345
2024-12-01,USD,US Dollar,3417.9658
2025-01-01,CNY,Chinese Yuan,469.6735
2025-01-01,EUR,Euro,3548.9319
2025-01-01,JPY,Japanese Yen,21.9084
2025-01-01,KRW,South Korean Won,2.3594
2025-01-01,RUB,Russian Ruble,33.4574
2025-01-01,USD,US Dollar,3430.6061
2025-02-01,CNY,Chinese Yuan,475.5232
2025-02-01,EUR,Euro,3603.1025
2025-02-01,JPY,Japanese Yen,22.7404
2025-02-01,KRW,South Korean Won,2.3932
2025-02-01,RUB,Russian Ruble,37.4318
2025-02-01,USD,US Dollar,3458.3239
2025-03-01,CNY,Chinese Yuan,478.9913
2025-03-01,EUR,Euro,3740.4994
2025-03-01,JPY,Japanese Yen,23.2784
2025-03-01,KRW,South Korean Won,2.3835
2025-03-01,RUB,Russian Ruble,40.479
2025-03-01,USD,US Dollar,3474.0745
2025-04-01,CNY,Chinese Yuan,485.224
2025-04-01,EUR,Euro,3982.9473
2025-04-01,JPY,Japanese Yen,24.5943
2025-04-01,KRW,South Korean Won,2.461
2025-04-01,RUB,Russian Ruble,42.5663
2025-04-01,USD,US Dollar,3542.0263
2025-05-01,CNY,Chinese Yuan,494.9577
2025-05-01,EUR,Euro,4031.6529
2025-05-01,JPY,Japanese Yen,24.6997
2025-05-01,KRW,South Korean Won,2.5665
2025-05-01,RUB,Russian Ruble,44.2416
2025-05-01,USD,US Dollar,3572.7958
2025-06-01,CNY,Chinese Yuan,498.119
2025-06-01,EUR,Euro,4120.4387
2025-06-01,JPY,Japanese Yen,24.7723
2025-06-01,KRW,South Korean Won,2.6213
2025-06-01,RUB,Russian Ruble,45.4193
2025-06-01,USD,US Dollar,3577.5573
2025-07-01,CNY,Chinese Yuan,499.6635
2025-07-01,EUR,Euro,4194.8358
2025-07-01,JPY,Japanese Yen,24.4319
2025-07-01,KRW,South Korean Won,2.6035
2025-07-01,RUB,Russian Ruble,45.4813
2025-07-01,USD,US Dollar,3584.6771
2025-08-01,CNY,Chinese Yuan,500.6116
2025-08-01,EUR,Euro,4175.7932
2025-08-01,JPY,Japanese Yen,24.31
2025-08-01,KRW,South Korean Won,2.5813
2025-08-01,RUB,Russian Ruble,44.8645
2025-08-01,USD,US Dollar,3592.1368
2025-09-01,CNY,Chinese Yuan,504.387
2025-09-01,EUR,Euro,4214.8923
2025-09-01,JPY,Japanese Yen,24.281
2025-09-01,KRW,South Korean Won,2.58
2025-09-01,RUB,Russian Ruble,43.336
2025-09-01,USD,US Dollar,3593.9177
2025-10-01,CNY,Chinese Yuan,504.4494
2025-10-01,EUR,Euro,4183.3048
2025-10-01,JPY,Japanese Yen,23.7632
2025-10-01,KRW,South Korean Won,2.5239
2025-10-01,RUB,Russian Ruble,44.3803
2025-10-01,USD,US Dollar,3592.1813
2025-11-01,CNY,Chinese Yuan,502.344
2025-11-01,EUR,Euro,4127.2437
2025-11-01,JPY,Japanese Yen,23.0107
2025-11-01,KRW,South Korean Won,2.4473
2025-11-01,RUB,Russian Ruble,44.442
2025-11-01,USD,US Dollar,3570.7323
2025-12-01,CNY,Chinese Yuan,504.0019
2025-12-01,EUR,Euro,4157.2342
2025-12-01,JPY,Japanese Yen,22.7694
2025-12-01,KRW,South Korean Won,2.42
2025-12-01,RUB,Russian Ruble,45.251
2025-12-01,USD,US Dollar,3549.3394
2026-01-01,CNY,Chinese Yuan,510.8061
2026-01-01,EUR,Euro,4176.3816
2026-01-01,JPY,Japanese Yen,22.69
2026-01-01,KRW,South Korean Won,2.4439
2026-01-01,RUB,Russian Ruble,45.6568
2026-01-01,USD,US Dollar,3560.7381
2026-02-01,CNY,Chinese Yuan,515.6769
2026-02-01,EUR,Euro,4224.9123
2026-02-01,JPY,Japanese Yen,23.0481
2026-02-01,KRW,South Korean Won,2.4658
2026-02-01,RUB,Russian Ruble,46.3696
2026-02-01,USD,US Dollar,3565.7496
