бүс,үнэ
Архангай,3360.0
Баян-Өлгий,3610.0
Баянхонгор,3490.0
Булган,3330.0
Говь-Алтай,3725.0
Говьсүмбэр,3333.0
Дархан-Уул,3238.0
Дорноговь,3403.0
Дорнод,3304.0
Дундговь,3350.0
Завхан,3860.0
Орхон,3200.0
Сэлэнгэ,3230.0
Сүхбаатар,3613.0
Төв,3147.0
Увс,3690.0
Ховд,3760.0
Хэнтий,3350.0
Хөвсгөл,3360.0
Өвөрхангай,3343.0
Өмнөговь,3350.0
