Он,Утга
2006,134895
2007,127444
2008,103824
2009,100872
2010,96949
2011,111213
2012,115397
2013,115729
2014,123331
2015,120891
2016,150335
2017,191147
2018,222168
2019,260078
2020,7798
2021,1010
2022,122930
2023,320630
2024,389451
2025,417935
