subdivision,date,value
"Electricity, gas, steam and air conditioning supply",2017-09,56306.3
"Electricity, gas, steam and air conditioning supply",2017-09,56306.3
Extraction of crude petroleum and natural gas,2017-09,75000.4
Manufacture of basic metals,2017-09,4756.4
Manufacture of beverages,2017-09,46491.1
Manufacture of chemicals and chemical products,2017-09,320.7
Manufacture of coke and refined petroleum products,2017-09,0.0
Manufacture of dairy products,2017-09,10493.4
"Manufacture of fabricated metal products, except machinery and equipment",2017-09,477.2
Manufacture of food products,2017-09,57744.1
Manufacture of furniture,2017-09,0.0
"Manufacture of grain mill products, starches and starch products",2017-09,16991.8
Manufacture of leather and related products,2017-09,2451.3
Manufacture of other food products,2017-09,14351.5
Manufacture of other non-metallic mineral products,2017-09,21881.9
Manufacture of other transport equipment,2017-09,262.0
Manufacture of paper and paper products,2017-09,1821.2
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017-09,2227.0
Manufacture of rubber and plastics products,2017-09,2817.3
Manufacture of textiles,2017-09,25840.3
Manufacture of tobacco products,2017-09,2569.8
Manufacture of wearing apparel,2017-09,23485.3
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017-09,1719.9
Manufacturing,2017-09,208902.3
Mining and quarrying,2017-09,972177.1
Mining of coal and lignite,2017-09,252174.9
Mining of metal ores,2017-09,634693.1
Mining support service activities,2017-09,0.0
Other manufacturing,2017-09,12887.4
Other mining and quarrying,2017-09,10308.6
Printing and reproduction of recorded media,2017-09,1149.4
Processing and preserving of fruit and vegetables,2017-09,511.6
Processing and preserving of meat,2017-09,15395.8
Remediation activities and other waste management services,2017-09,279.1
Total,2017-09,1283334.2
"Waste collection, treatment and disposal activities; materials recovery",2017-09,39827.3
"Water collection, treatment and supply",2017-09,5842.2
"Water supply; sewerage, waste management and remediation activities",2017-09,45948.5
"Electricity, gas, steam and air conditioning supply",2017-10,74476.9
"Electricity, gas, steam and air conditioning supply",2017-10,74476.9
Extraction of crude petroleum and natural gas,2017-10,82112.1
Manufacture of basic metals,2017-10,4494.4
Manufacture of beverages,2017-10,54455.9
Manufacture of chemicals and chemical products,2017-10,571.6
Manufacture of coke and refined petroleum products,2017-10,16.9
Manufacture of dairy products,2017-10,10333.3
"Manufacture of fabricated metal products, except machinery and equipment",2017-10,535.4
Manufacture of food products,2017-10,66409.2
Manufacture of furniture,2017-10,0.0
"Manufacture of grain mill products, starches and starch products",2017-10,13624.5
Manufacture of leather and related products,2017-10,3436.5
Manufacture of other food products,2017-10,18017.8
Manufacture of other non-metallic mineral products,2017-10,15131.7
Manufacture of other transport equipment,2017-10,275.7
Manufacture of paper and paper products,2017-10,2168.4
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017-10,2668.9
Manufacture of rubber and plastics products,2017-10,2659.5
Manufacture of textiles,2017-10,24632.1
Manufacture of tobacco products,2017-10,2605.7
Manufacture of wearing apparel,2017-10,23011.2
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017-10,1455.7
Manufacturing,2017-10,219596.1
Mining and quarrying,2017-10,957055.5
Mining of coal and lignite,2017-10,227612.5
Mining of metal ores,2017-10,638887.8
Mining support service activities,2017-10,0.0
Other manufacturing,2017-10,14119.4
Other mining and quarrying,2017-10,8443.1
Printing and reproduction of recorded media,2017-10,947.8
Processing and preserving of fruit and vegetables,2017-10,488.3
Processing and preserving of meat,2017-10,23945.2
Remediation activities and other waste management services,2017-10,433.6
Total,2017-10,1298474.2
"Waste collection, treatment and disposal activities; materials recovery",2017-10,39878.9
"Water collection, treatment and supply",2017-10,7033.2
"Water supply; sewerage, waste management and remediation activities",2017-10,47345.7
"Electricity, gas, steam and air conditioning supply",2017-11,84082.9
"Electricity, gas, steam and air conditioning supply",2017-11,84082.9
Extraction of crude petroleum and natural gas,2017-11,86113.3
Manufacture of basic metals,2017-11,4353.1
Manufacture of beverages,2017-11,50197.4
Manufacture of chemicals and chemical products,2017-11,359.8
Manufacture of coke and refined petroleum products,2017-11,20.4
Manufacture of dairy products,2017-11,10046.6
"Manufacture of fabricated metal products, except machinery and equipment",2017-11,357.1
Manufacture of food products,2017-11,68747.6
Manufacture of furniture,2017-11,0.0
"Manufacture of grain mill products, starches and starch products",2017-11,19118.1
Manufacture of leather and related products,2017-11,2607.2
Manufacture of other food products,2017-11,15408.1
Manufacture of other non-metallic mineral products,2017-11,9301.3
Manufacture of other transport equipment,2017-11,252.5
Manufacture of paper and paper products,2017-11,2785.8
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2017-11,2200.8
Manufacture of rubber and plastics products,2017-11,2790.5
Manufacture of textiles,2017-11,25440.2
Manufacture of tobacco products,2017-11,2790.0
Manufacture of wearing apparel,2017-11,26530.5
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2017-11,1312.7
Manufacturing,2017-11,212365.7
Mining and quarrying,2017-11,783935.9
