бүс,үнэ
Архангай,13333.0
Баян-Өлгий,15326.0
Баянхонгор,12000.0
Булган,13000.0
Говь-Алтай,12000.0
Говьсүмбэр,13500.0
Дархан-Уул,14833.0
Дорноговь,13500.0
Дорнод,15000.0
Дундговь,12000.0
Завхан,14000.0
Орхон,13000.0
Сэлэнгэ,14000.0
Сүхбаатар,14000.0
Төв,14000.0
Увс,14667.0
Ховд,16000.0
Хэнтий,14000.0
Хөвсгөл,15000.0
Өвөрхангай,12333.0
Өмнөговь,13000.0
