country,year,imports_usd_mn
China,2005,303248.1
Russian Federation,2005,417926.8
Japan,2005,75500.9
USA,2005,37054.1
Republic of Korea,2005,63723.8
Germany,2005,37600.7
France,2005,29352.3
Australia,2005,29824.6
Vietnam,2005,2568.9
Turkey,2005,2266.7
China,2006,368156.9
Russian Federation,2006,547798.0
Japan,2006,97596.6
USA,2006,43556.1
Republic of Korea,2006,82511.4
Germany,2006,42988.9
France,2006,16770.0
Australia,2006,36105.1
Vietnam,2006,2961.6
Turkey,2006,3499.2
China,2007,572624.1
Russian Federation,2007,745046.4
Japan,2007,140217.7
USA,2007,55741.3
Republic of Korea,2007,119580.7
Germany,2007,76473.1
France,2007,24046.2
Australia,2007,38509.9
Vietnam,2007,6323.7
Turkey,2007,5274.8
China,2008,905953.4
Russian Federation,2008,1242275.2
Japan,2008,238526.7
USA,2008,84115.2
Republic of Korea,2008,194818.4
Germany,2008,92607.1
France,2008,33664.7
Australia,2008,36459.8
Vietnam,2008,9627.1
Turkey,2008,12476.7
China,2009,542351.0
Russian Federation,2009,772815.3
Japan,2009,97053.5
USA,2009,103743.6
Republic of Korea,2009,155102.2
Germany,2009,70289.6
France,2009,59431.3
Australia,2009,34068.2
Vietnam,2009,7714.2
Turkey,2009,5918.5
China,2010,976214.1
Russian Federation,2010,1046695.2
Japan,2010,196488.0
USA,2010,158915.3
Republic of Korea,2010,181781.9
Germany,2010,87243.8
France,2010,52774.7
Australia,2010,87889.9
Vietnam,2010,12360.2
Turkey,2010,9645.8
China,2011,2032877.58
Russian Federation,2011,1624705.8
Japan,2011,490225.71
USA,2011,536024.59
Republic of Korea,2011,356725.09
Germany,2011,273639.01
France,2011,100214.6
Australia,2011,205666.2
Vietnam,2011,15223.67
Turkey,2011,36835.5
China,2012,1873414.92
Russian Federation,2012,1847385.7
Japan,2012,501618.18
USA,2012,535945.95
Republic of Korea,2012,467751.49
Germany,2012,246444.28
France,2012,63578.43
Australia,2012,180504.01
Vietnam,2012,16340.5
Turkey,2012,34096.61
China,2013,1822603.59
Russian Federation,2013,1561852.23
Japan,2013,444201.83
USA,2013,512678.62
Republic of Korea,2013,507359.65
Germany,2013,252179.2
France,2013,62545.97
Australia,2013,120563.41
Vietnam,2013,22304.47
Turkey,2013,41907.03
China,2014,1767915.86
Russian Federation,2014,1549318.25
Japan,2014,367789.49
USA,2014,229478.2
Republic of Korea,2014,352556.8
Germany,2014,159158.88
France,2014,53559.04
Australia,2014,49967.4
Vietnam,2014,24526.22
Turkey,2014,37858.23
China,2015,1389940.65
Russian Federation,2015,1020986.16
Japan,2015,274639.09
USA,2015,116493.27
Republic of Korea,2015,258698.83
Germany,2015,124480.8
France,2015,27479.99
Australia,2015,32563.94
Vietnam,2015,29133.01
Turkey,2015,28398.06
China,2016,1061134.87
Russian Federation,2016,861889.1
Japan,2016,330608.39
USA,2016,139229.33
Republic of Korea,2016,197888.96
Germany,2016,120024.69
France,2016,19497.99
Australia,2016,52536.25
Vietnam,2016,40139.19
Turkey,2016,26000.5
China,2017,1427773.42
Russian Federation,2017,1219188.22
Japan,2017,363150.12
USA,2017,208442.45
Republic of Korea,2017,197703.67
Germany,2017,128350.45
France,2017,32417.9
Australia,2017,80488.03
Vietnam,2017,39798.76
Turkey,2017,29095.75
China,2018,1994813.72
Russian Federation,2018,1710347.31
Japan,2018,561042.29
USA,2018,211464.25
Republic of Korea,2018,262366.03
Germany,2018,168737.05
France,2018,39145.29
Australia,2018,107346.59
Vietnam,2018,48951.0
Turkey,2018,39155.01
China,2019,2060795.23
Russian Federation,2019,1729860.98
Japan,2019,585477.31
USA,2019,289571.65
Republic of Korea,2019,267035.49
Germany,2019,188872.68
France,2019,37337.25
Australia,2019,126074.20000000001
Vietnam,2019,56968.66
Turkey,2019,40657.73
China,2020,1910259.01
Russian Federation,2020,1399962.3
Japan,2020,406712.86
USA,2020,245357.16
Republic of Korea,2020,235769.08
Germany,2020,184773.93
France,2020,32479.6
Australia,2020,102832.48000000001
Vietnam,2020,56052.34
Turkey,2020,37321.58
China,2021,2520024.77
Russian Federation,2021,1955192.92
Japan,2021,453169.13
USA,2021,213383.5
Republic of Korea,2021,308746.61
Germany,2021,223251.1
France,2021,68872.56
Australia,2021,108057.69
Vietnam,2021,79716.6
Turkey,2021,71204.06
China,2022,3072235.45
Russian Federation,2022,2611464.97
Japan,2022,674255.49
USA,2022,266072.99
Republic of Korea,2022,424649.19
Germany,2022,182827.06
France,2022,150906.89
Australia,2022,115759.39
Vietnam,2022,84998.34
Turkey,2022,108345.02
China,2023,3773277.73
Russian Federation,2023,2386277.22
Japan,2023,716335.28
USA,2023,280802.71
Republic of Korea,2023,415159.68
Germany,2023,211359.49
France,2023,93429.09
Australia,2023,127602.70999999999
Vietnam,2023,114805.33
Turkey,2023,95906.49
China,2024,4672473.6
Russian Federation,2024,2824789.12
Japan,2024,1175021.22
USA,2024,535157.72
Republic of Korea,2024,482320.12
Germany,2024,255108.45
France,2024,135664.55
Australia,2024,134013.85
Vietnam,2024,114937.06
Turkey,2024,113086.28
China,2025,4655641.77
Russian Federation,2025,2785488.96
Japan,2025,1094792.76
USA,2025,417673.83
Republic of Korea,2025,468318.35
Germany,2025,273380.79
France,2025,98568.97
Australia,2025,144998.69
Vietnam,2025,125583.61
Turkey,2025,84744.59
