product,region,date,price
Таваарын буудай,Завхан,2019-12,600000.0
Үрийн буудай,Завхан,2019-12,550000.0
Таваарын буудай,Архангай,2020-01,450000.0
Үрийн буудай,Архангай,2020-01,780000.0
Таваарын буудай,Булган,2020-01,625000.0
Үрийн буудай,Булган,2020-01,700000.0
Таваарын буудай,Дорнод,2020-01,600000.0
Үрийн буудай,Дорнод,2020-01,500000.0
Үрийн буудай,Говь-Алтай,2020-01,1200000.0
Таваарын буудай,Орхон,2020-01,600000.0
Үрийн буудай,Орхон,2020-01,820000.0
Таваарын буудай,Сэлэнгэ,2020-01,560000.0
Үрийн буудай,Сэлэнгэ,2020-01,560000.0
Таваарын буудай,Төв,2020-01,570000.0
Үрийн буудай,Төв,2020-01,676667.0
Таваарын буудай,Увс,2020-01,500000.0
Таваарын буудай,Завхан,2020-01,600000.0
Таваарын буудай,Архангай,2020-02,450000.0
Үрийн буудай,Архангай,2020-02,780000.0
Таваарын буудай,Булган,2020-02,650000.0
Үрийн буудай,Булган,2020-02,850000.0
Таваарын буудай,Дорнод,2020-02,600000.0
Үрийн буудай,Дорнод,2020-02,500000.0
Таваарын буудай,Орхон,2020-02,600000.0
Үрийн буудай,Орхон,2020-02,800000.0
Таваарын буудай,Сэлэнгэ,2020-02,550000.0
Таваарын буудай,Төв,2020-02,566667.0
Үрийн буудай,Төв,2020-02,666667.0
Таваарын буудай,Увс,2020-02,500000.0
Таваарын буудай,Завхан,2020-02,600000.0
Таваарын буудай,Архангай,2020-03,450000.0
Үрийн буудай,Архангай,2020-03,780000.0
Таваарын буудай,Булган,2020-03,650000.0
Үрийн буудай,Булган,2020-03,850000.0
Таваарын буудай,Дорнод,2020-03,600000.0
Үрийн буудай,Дорнод,2020-03,500000.0
Таваарын буудай,Орхон,2020-03,700000.0
Үрийн буудай,Орхон,2020-03,850000.0
Таваарын буудай,Сэлэнгэ,2020-03,550000.0
Таваарын буудай,Төв,2020-03,566667.0
Үрийн буудай,Төв,2020-03,670000.0
Таваарын буудай,Увс,2020-03,500000.0
Таваарын буудай,Завхан,2020-03,600000.0
Таваарын буудай,Архангай,2020-04,450000.0
Үрийн буудай,Архангай,2020-04,850000.0
Таваарын буудай,Булган,2020-04,650000.0
Үрийн буудай,Булган,2020-04,900000.0
Таваарын буудай,Дорнод,2020-04,600000.0
Үрийн буудай,Дорнод,2020-04,950000.0
Таваарын буудай,Хэнтий,2020-04,550000.0
Үрийн буудай,Хэнтий,2020-04,550000.0
Таваарын буудай,Орхон,2020-04,700000.0
Үрийн буудай,Орхон,2020-04,750000.0
Таваарын буудай,Сэлэнгэ,2020-04,550000.0
Таваарын буудай,Төв,2020-04,525000.0
Үрийн буудай,Төв,2020-04,782000.0
Үрийн буудай,Увс,2020-04,625000.0
Таваарын буудай,Өвөрхангай,2020-04,800000.0
Таваарын буудай,Завхан,2020-04,600000.0
Таваарын буудай,Архангай,2020-05,450000.0
Үрийн буудай,Архангай,2020-05,900000.0
Таваарын буудай,Булган,2020-05,650000.0
Үрийн буудай,Булган,2020-05,912500.0
Таваарын буудай,Дорнод,2020-05,600000.0
Үрийн буудай,Дорнод,2020-05,950000.0
Таваарын буудай,Хэнтий,2020-05,550000.0
Үрийн буудай,Хэнтий,2020-05,550000.0
Таваарын буудай,Орхон,2020-05,690000.0
Үрийн буудай,Орхон,2020-05,750000.0
Таваарын буудай,Сэлэнгэ,2020-05,600000.0
Үрийн буудай,Сэлэнгэ,2020-05,842500.0
Таваарын буудай,Төв,2020-05,690000.0
Үрийн буудай,Төв,2020-05,816000.0
Таваарын буудай,Увс,2020-05,800000.0
Үрийн буудай,Увс,2020-05,675000.0
Таваарын буудай,Завхан,2020-05,600000.0
Таваарын буудай,Булган,2020-06,650000.0
Үрийн буудай,Булган,2020-06,875000.0
Таваарын буудай,Дорнод,2020-06,600000.0
Үрийн буудай,Дорнод,2020-06,950000.0
Таваарын буудай,Хэнтий,2020-06,550000.0
Үрийн буудай,Хэнтий,2020-06,550000.0
Таваарын буудай,Орхон,2020-06,600000.0
Үрийн буудай,Орхон,2020-06,800000.0
Таваарын буудай,Сэлэнгэ,2020-06,550000.0
