он,зарлага_төгрөг
1997,56311
1998,69098
1999,71804
2000,108011
2001,111119
2002,163654
2003,165552
2004,182630
2005,194078
2006,228172
2007,292488
2008,367466
2009,437602
2010,450206
2011,577406
2012,820263
2013,961677
2014,1076557
2015,1064808
2016,966197
2017,1092384
2018,1240731
2019,1416640
2020,1519398
2021,1499180
2022,1851637
2023,2196615
2024,2638159
2025,3141317
