сар,үзүүлэлт,утга
2025-02,Өссөн дүнгийн гүйцэтгэл,64607.3
2025-03,Жилийн төлөвлөгөө,407301.0
2025-03,Өссөн дүнгийн гүйцэтгэл,87232.7
2025-04,Жилийн төлөвлөгөө,407301.0
2025-04,Өссөн дүнгийн гүйцэтгэл,94912.8
2025-05,Жилийн төлөвлөгөө,407301.0
2025-05,Өссөн дүнгийн гүйцэтгэл,122208.3
2025-06,Жилийн төлөвлөгөө,407301.0
2025-06,Өссөн дүнгийн гүйцэтгэл,212056.0
2025-07,Жилийн төлөвлөгөө,407301.0
2025-07,Өссөн дүнгийн гүйцэтгэл,243638.2
2025-08,Жилийн төлөвлөгөө,407301.0
2025-08,Өссөн дүнгийн гүйцэтгэл,282696.6
2025-09,Жилийн төлөвлөгөө,309089.4
2025-09,Өссөн дүнгийн гүйцэтгэл,305051.2
2025-10,Жилийн төлөвлөгөө,309089.6
2025-10,Өссөн дүнгийн гүйцэтгэл,326666.8
2025-11,Жилийн төлөвлөгөө,309089.6
2025-11,Өссөн дүнгийн гүйцэтгэл,345286.4
2025-12,Жилийн төлөвлөгөө,309089.6
2025-12,Өссөн дүнгийн гүйцэтгэл,422604.5
2026-01,Жилийн төлөвлөгөө,293986.8
2026-01,Өссөн дүнгийн гүйцэтгэл,6958.9
2026-02,Жилийн төлөвлөгөө,293986.8
2026-02,Өссөн дүнгийн гүйцэтгэл,56706.2
2026-03,Жилийн төлөвлөгөө,293986.9
2026-03,Өссөн дүнгийн гүйцэтгэл,83947.1
2026-04,Жилийн төлөвлөгөө,293986.9
2026-04,Өссөн дүнгийн гүйцэтгэл,113803.7
2026-05,Жилийн төлөвлөгөө,293986.9
2026-05,Өссөн дүнгийн гүйцэтгэл,166871.8
2026-06,Жилийн төлөвлөгөө,293986.9
2026-06,Өссөн дүнгийн гүйцэтгэл,191971.7
2026-07,Жилийн төлөвлөгөө,293986.9
2026-07,Өссөн дүнгийн гүйцэтгэл,226834.3
