Салбар,Он,Цалин (мян.төг)
Улсын дундаж,2001,65.2
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2001,50.3
"Уул уурхай, олборлолт",2001,57.3
Боловсруулах үйлдвэрлэл,2001,66.6
"Цахилгаан, хий, агааржуулалт",2001,77.5
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2001,
Барилга,2001,73.7
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2001,54.9
Тээвэр ба агуулахын үйл ажиллагаа,2001,84.1
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2001,70.8
"Мэдээлэл, холбоо",2001,
Санхүүгийн болон даатгалын үйл ажиллагаа,2001,59.2
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2001,58.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2001,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2001,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2001,59.3
Боловсрол,2001,60.8
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2001,48.4
"Урлаг, үзвэр, тоглоом, наадам",2001,
Үйлчилгээний бусад үйл ажиллагаа,2001,47.9
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2001,0.0
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2001,
Улсын дундаж,2002,71.3
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2002,46.2
"Уул уурхай, олборлолт",2002,77.4
Боловсруулах үйлдвэрлэл,2002,68.7
"Цахилгаан, хий, агааржуулалт",2002,81.0
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2002,
Барилга,2002,90.6
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2002,57.6
Тээвэр ба агуулахын үйл ажиллагаа,2002,90.9
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2002,80.4
"Мэдээлэл, холбоо",2002,
Санхүүгийн болон даатгалын үйл ажиллагаа,2002,83.2
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2002,55.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2002,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2002,
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2002,66.5
Боловсрол,2002,64.5
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2002,51.5
"Урлаг, үзвэр, тоглоом, наадам",2002,
Үйлчилгээний бусад үйл ажиллагаа,2002,50.7
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2002,
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2002,
Улсын дундаж,2003,81.5
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2003,48.0
"Уул уурхай, олборлолт",2003,88.7
Боловсруулах үйлдвэрлэл,2003,82.7
"Цахилгаан, хий, агааржуулалт",2003,97.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2003,
Барилга,2003,85.9
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2003,64.6
Тээвэр ба агуулахын үйл ажиллагаа,2003,106.1
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2003,88.0
"Мэдээлэл, холбоо",2003,
Санхүүгийн болон даатгалын үйл ажиллагаа,2003,103.8
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2003,65.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2003,
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2003,
