үзүүлэлт,байршил,он,хувь
Ядуурлын гүнзгийрэлт,Хангайн бүс,2009,17.4
Ядуурлын гүнзгийрэлт,Төвийн бүс,2009,7.7
Ядуурлын гүнзгийрэлт,Зүүн бүс,2009,12.4
Ядуурлын гүнзгийрэлт,Улаанбаатар,2009,6.4
Ядуурлын гүнзгийрэлт,Аймгийн төв,2009,10.3
Ядуурлын гүнзгийрэлт,Сумын төв,2009,12.9
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2009,15.1
Ядуурлын мэдрэмж,Улсын дундаж,2009,4.1
Ядуурлын мэдрэмж,Хот,2009,2.9
Ядуурлын мэдрэмж,Хөдөө,2009,5.6
Ядуурлын мэдрэмж,Баруун бүс,2009,4.6
Ядуурлын мэдрэмж,Хангайн бүс,2009,7.2
Ядуурлын мэдрэмж,Төвийн бүс,2009,2.8
Ядуурлын мэдрэмж,Зүүн бүс,2009,4.8
Ядуурлын мэдрэмж,Улаанбаатар,2009,2.3
Ядуурлын мэдрэмж,Аймгийн төв,2009,4.0
Ядуурлын мэдрэмж,Сумын төв,2009,5.3
Ядуурлын мэдрэмж,Хөдөө нутаг,2009,5.8
Ядуурлын хамралтын хүрээ,Улсын дундаж,2010,38.8
Ядуурлын хамралтын хүрээ,Хот,2010,33.2
Ядуурлын хамралтын хүрээ,Хөдөө,2010,49.0
Ядуурлын хамралтын хүрээ,Баруун бүс,2010,52.7
Ядуурлын хамралтын хүрээ,Хангайн бүс,2010,51.9
Ядуурлын хамралтын хүрээ,Төвийн бүс,2010,29.9
Ядуурлын хамралтын хүрээ,Зүүн бүс,2010,42.3
Ядуурлын хамралтын хүрээ,Улаанбаатар,2010,31.2
Ядуурлын хамралтын хүрээ,Аймгийн төв,2010,37.3
Ядуурлын хамралтын хүрээ,Сумын төв,2010,39.7
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2010,56.1
Ядуурлын гүнзгийрэлт,Улсын дундаж,2010,11.5
Ядуурлын гүнзгийрэлт,Хот,2010,9.4
Ядуурлын гүнзгийрэлт,Хөдөө,2010,15.2
Ядуурлын гүнзгийрэлт,Баруун бүс,2010,16.9
Ядуурлын гүнзгийрэлт,Хангайн бүс,2010,16.1
Ядуурлын гүнзгийрэлт,Төвийн бүс,2010,8.3
Ядуурлын гүнзгийрэлт,Зүүн бүс,2010,13.2
Ядуурлын гүнзгийрэлт,Улаанбаатар,2010,8.5
Ядуурлын гүнзгийрэлт,Аймгийн төв,2010,11.2
Ядуурлын гүнзгийрэлт,Сумын төв,2010,11.9
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2010,17.7
Ядуурлын мэдрэмж,Улсын дундаж,2010,4.6
Ядуурлын мэдрэмж,Хот,2010,3.7
Ядуурлын мэдрэмж,Хөдөө,2010,6.4
Ядуурлын мэдрэмж,Баруун бүс,2010,7.2
Ядуурлын мэдрэмж,Хангайн бүс,2010,6.8
Ядуурлын мэдрэмж,Төвийн бүс,2010,3.2
Ядуурлын мэдрэмж,Зүүн бүс,2010,5.6
Ядуурлын мэдрэмж,Улаанбаатар,2010,3.2
Ядуурлын мэдрэмж,Аймгийн төв,2010,4.6
Ядуурлын мэдрэмж,Сумын төв,2010,4.9
Ядуурлын мэдрэмж,Хөдөө нутаг,2010,7.5
Ядуурлын хамралтын хүрээ,Улсын дундаж,2011,33.7
Ядуурлын хамралтын хүрээ,Хот,2011,28.7
Ядуурлын хамралтын хүрээ,Хөдөө,2011,43.2
Ядуурлын хамралтын хүрээ,Баруун бүс,2011,40.5
Ядуурлын хамралтын хүрээ,Хангайн бүс,2011,49.1
Ядуурлын хамралтын хүрээ,Төвийн бүс,2011,28.1
Ядуурлын хамралтын хүрээ,Зүүн бүс,2011,40.0
Ядуурлын хамралтын хүрээ,Улаанбаатар,2011,25.8
Ядуурлын хамралтын хүрээ,Аймгийн төв,2011,34.6
Ядуурлын хамралтын хүрээ,Сумын төв,2011,35.8
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2011,47.2
Ядуурлын гүнзгийрэлт,Улсын дундаж,2011,9.2
Ядуурлын гүнзгийрэлт,Хот,2011,7.7
Ядуурлын гүнзгийрэлт,Хөдөө,2011,11.8
Ядуурлын гүнзгийрэлт,Баруун бүс,2011,11.2
Ядуурлын гүнзгийрэлт,Хангайн бүс,2011,13.6
Ядуурлын гүнзгийрэлт,Төвийн бүс,2011,7.4
Ядуурлын гүнзгийрэлт,Зүүн бүс,2011,12.1
Ядуурлын гүнзгийрэлт,Улаанбаатар,2011,6.6
Ядуурлын гүнзгийрэлт,Аймгийн төв,2011,9.9
Ядуурлын гүнзгийрэлт,Сумын төв,2011,9.9
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2011,12.8
Ядуурлын мэдрэмж,Улсын дундаж,2011,3.5
Ядуурлын мэдрэмж,Хот,2011,3.0
Ядуурлын мэдрэмж,Хөдөө,2011,4.5
Ядуурлын мэдрэмж,Баруун бүс,2011,4.4
Ядуурлын мэдрэмж,Хангайн бүс,2011,5.2
Ядуурлын мэдрэмж,Төвийн бүс,2011,2.8
Ядуурлын мэдрэмж,Зүүн бүс,2011,5.0
Ядуурлын мэдрэмж,Улаанбаатар,2011,2.5
Ядуурлын мэдрэмж,Аймгийн төв,2011,4.0
Ядуурлын мэдрэмж,Сумын төв,2011,3.9
Ядуурлын мэдрэмж,Хөдөө нутаг,2011,4.8
Ядуурлын хамралтын хүрээ,Улсын дундаж,2012,27.4
Ядуурлын хамралтын хүрээ,Хот,2012,23.3
Ядуурлын хамралтын хүрээ,Хөдөө,2012,35.4
Ядуурлын хамралтын хүрээ,Баруун бүс,2012,32.3
Ядуурлын хамралтын хүрээ,Хангайн бүс,2012,38.5
Ядуурлын хамралтын хүрээ,Төвийн бүс,2012,28.2
Ядуурлын хамралтын хүрээ,Зүүн бүс,2012,33.4
Ядуурлын хамралтын хүрээ,Улаанбаатар,2012,19.9
Ядуурлын хамралтын хүрээ,Аймгийн төв,2012,30.4
Ядуурлын хамралтын хүрээ,Сумын төв,2012,27.5
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2012,39.6
Ядуурлын гүнзгийрэлт,Улсын дундаж,2012,7.1
Ядуурлын гүнзгийрэлт,Хот,2012,6.2
Ядуурлын гүнзгийрэлт,Хөдөө,2012,8.8
Ядуурлын гүнзгийрэлт,Баруун бүс,2012,7.7
Ядуурлын гүнзгийрэлт,Хангайн бүс,2012,10.1
Ядуурлын гүнзгийрэлт,Төвийн бүс,2012,7.2
Ядуурлын гүнзгийрэлт,Зүүн бүс,2012,9.8
Ядуурлын гүнзгийрэлт,Улаанбаатар,2012,5.1
Ядуурлын гүнзгийрэлт,Аймгийн төв,2012,8.4
Ядуурлын гүнзгийрэлт,Сумын төв,2012,7.3
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2012,9.6
Ядуурлын мэдрэмж,Улсын дундаж,2012,2.7
Ядуурлын мэдрэмж,Хот,2012,2.4
Ядуурлын мэдрэмж,Хөдөө,2012,3.2
Ядуурлын мэдрэмж,Баруун бүс,2012,2.6
Ядуурлын мэдрэмж,Хангайн бүс,2012,3.7
Ядуурлын мэдрэмж,Төвийн бүс,2012,2.7
Ядуурлын мэдрэмж,Зүүн бүс,2012,4.0
Ядуурлын мэдрэмж,Улаанбаатар,2012,2.0
Ядуурлын мэдрэмж,Аймгийн төв,2012,3.3
Ядуурлын мэдрэмж,Сумын төв,2012,2.8
Ядуурлын мэдрэмж,Хөдөө нутаг,2012,3.3
Ядуурлын хамралтын хүрээ,Улсын дундаж,2014,21.6
Ядуурлын хамралтын хүрээ,Хот,2014,18.8
Ядуурлын хамралтын хүрээ,Хөдөө,2014,26.4
Ядуурлын хамралтын хүрээ,Баруун бүс,2014,26.0
Ядуурлын хамралтын хүрээ,Хангайн бүс,2014,25.3
Ядуурлын хамралтын хүрээ,Төвийн бүс,2014,22.2
Ядуурлын хамралтын хүрээ,Зүүн бүс,2014,31.4
Ядуурлын хамралтын хүрээ,Улаанбаатар,2014,16.4
Ядуурлын хамралтын хүрээ,Аймгийн төв,2014,23.8
Ядуурлын хамралтын хүрээ,Сумын төв,2014,24.7
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2014,27.9
Ядуурлын гүнзгийрэлт,Улсын дундаж,2014,5.2
Ядуурлын гүнзгийрэлт,Хот,2014,4.9
Ядуурлын гүнзгийрэлт,Хөдөө,2014,5.8
Ядуурлын гүнзгийрэлт,Баруун бүс,2014,5.3
Ядуурлын гүнзгийрэлт,Хангайн бүс,2014,5.4
Ядуурлын гүнзгийрэлт,Төвийн бүс,2014,5.5
Ядуурлын гүнзгийрэлт,Зүүн бүс,2014,8.6
Ядуурлын гүнзгийрэлт,Улаанбаатар,2014,4.5
Ядуурлын гүнзгийрэлт,Аймгийн төв,2014,5.8
Ядуурлын гүнзгийрэлт,Сумын төв,2014,5.7
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2014,6.0
Ядуурлын мэдрэмж,Улсын дундаж,2014,1.9
Ядуурлын мэдрэмж,Хот,2014,1.9
Ядуурлын мэдрэмж,Хөдөө,2014,2.0
Ядуурлын мэдрэмж,Баруун бүс,2014,1.7
Ядуурлын мэдрэмж,Хангайн бүс,2014,1.7
Ядуурлын мэдрэмж,Төвийн бүс,2014,2.1
Ядуурлын мэдрэмж,Зүүн бүс,2014,3.3
Ядуурлын мэдрэмж,Улаанбаатар,2014,1.7
Ядуурлын мэдрэмж,Аймгийн төв,2014,2.1
Ядуурлын мэдрэмж,Сумын төв,2014,2.0
Ядуурлын мэдрэмж,Хөдөө нутаг,2014,1.9
Ядуурлын хамралтын хүрээ,Улсын дундаж,2016,29.6
Ядуурлын хамралтын хүрээ,Хот,2016,27.1
Ядуурлын хамралтын хүрээ,Хөдөө,2016,34.9
Ядуурлын хамралтын хүрээ,Баруун бүс,2016,36.0
Ядуурлын хамралтын хүрээ,Хангайн бүс,2016,33.6
Ядуурлын хамралтын хүрээ,Төвийн бүс,2016,26.8
Ядуурлын хамралтын хүрээ,Зүүн бүс,2016,43.9
Ядуурлын хамралтын хүрээ,Улаанбаатар,2016,24.8
Ядуурлын хамралтын хүрээ,Аймгийн төв,2016,31.8
Ядуурлын хамралтын хүрээ,Сумын төв,2016,32.3
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2016,38.0
Ядуурлын гүнзгийрэлт,Улсын дундаж,2016,7.7
Ядуурлын гүнзгийрэлт,Хот,2016,7.2
Ядуурлын гүнзгийрэлт,Хөдөө,2016,8.8
Ядуурлын гүнзгийрэлт,Баруун бүс,2016,9.7
Ядуурлын гүнзгийрэлт,Хангайн бүс,2016,8.2
Ядуурлын гүнзгийрэлт,Төвийн бүс,2016,7.0
Ядуурлын гүнзгийрэлт,Зүүн бүс,2016,12.5
Ядуурлын гүнзгийрэлт,Улаанбаатар,2016,6.4
Ядуурлын гүнзгийрэлт,Аймгийн төв,2016,8.8
Ядуурлын гүнзгийрэлт,Сумын төв,2016,8.5
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2016,9.2
Ядуурлын мэдрэмж,Улсын дундаж,2016,2.9
Ядуурлын мэдрэмж,Хот,2016,2.8
Ядуурлын мэдрэмж,Хөдөө,2016,3.2
Ядуурлын мэдрэмж,Баруун бүс,2016,3.7
Ядуурлын мэдрэмж,Хангайн бүс,2016,2.9
Ядуурлын мэдрэмж,Төвийн бүс,2016,2.7
Ядуурлын мэдрэмж,Зүүн бүс,2016,4.8
Ядуурлын мэдрэмж,Улаанбаатар,2016,2.5
