сар,нас_баралт
2016-01,1317
2016-02,1372
2016-03,1457
2016-04,1411
2016-05,1441
2016-06,1297
2016-07,1341
2016-08,1355
2016-09,1301
2016-10,1255
2016-11,1348
2016-12,1286
2017-01,1357
2017-02,1112
2017-03,1428
2017-04,1206
2017-05,1362
2017-06,1280
2017-07,1279
2017-08,1347
2017-09,1360
2017-10,1378
2017-11,1292
2017-12,1411
2018-01,1486
2018-02,1370
2018-03,1486
2018-04,1375
2018-05,1432
2018-06,1367
2018-07,1533
2018-08,1391
2018-09,1460
2018-10,1461
2018-11,1361
2018-12,1609
2019-01,1573
2019-02,1358
2019-03,1373
2019-04,1431
2019-05,1508
2019-06,1280
2019-07,1410
2019-08,1425
2019-09,1365
2019-10,1542
2019-11,1266
2019-12,1674
2020-01,1366
2020-02,1298
2020-03,1292
2020-04,1310
2020-05,1288
2020-06,1306
2020-07,1402
2020-08,1331
2020-09,1405
2020-10,1427
2020-11,1278
2020-12,1219
2021-01,1151
2021-02,1237
2021-03,1381
2021-04,1484
2021-05,1403
2021-06,1715
2021-07,1819
2021-08,1678
2021-09,2026
2021-10,2302
2021-11,1950
2021-12,1785
2022-01,1345
2022-02,1487
2022-03,1496
2022-04,1558
2022-05,1506
2022-06,1424
2022-07,1438
2022-08,1609
2022-09,1490
2022-10,1485
2022-11,1472
2022-12,1671
2023-01,1430
2023-02,1336
2023-03,1587
2023-04,1344
2023-05,1323
2023-06,1593
2023-07,1519
2023-08,1442
2023-09,1347
2023-10,1325
2023-11,1596
2023-12,1691
2024-01,1483
2024-02,1384
2024-03,1398
2024-04,1405
2024-05,1545
2024-06,1428
2024-07,1566
2024-08,1506
2024-09,1504
2024-10,1596
2024-11,1592
2024-12,1706
2025-01,1482
2025-02,1196
2025-03,1563
2025-04,1496
2025-05,1482
2025-06,1500
2025-07,1493
2025-08,1400
2025-09,1551
2025-10,1572
2025-11,1550
2025-12,1622
2026-01,1473
2026-02,1318
2026-03,1725
